"SampleType","Antibiotic","Pathogen","Week","N","Rho","P_value","P_adjusted","Significant"
"Stool","Meropenem_cumulative_w3","Candida.parapsilosis","Week3_Cumulative",106,0.489921051868974,9.81182456135106e-08,1.14798347367807e-05,"Yes"
"Axilla","Penicillin_cumulative_w3","Enterococcus.faecium","Week3_Cumulative",102,-0.387632297073116,5.69267198411173e-05,0.00666042622141072,"Yes"
"Axilla","Penicillin_w1","Enterococcus.faecium","Week1",103,-0.370704945667371,0.000115915552538158,0.0135621196469645,"Yes"
"Groin","Penicillin_cumulative_w3","Enterococcus.faecalis","Week3_Cumulative",92,-0.358994396440229,0.000441107965713296,0.01796208679104,"Yes"
"Groin","Penicillin_cumulative_w3","Escherichia.coli","Week3_Cumulative",92,-0.357900139141282,0.000460566327975385,0.01796208679104,"Yes"
"Groin","Cefotaxime_cumulative_w3","Enterococcus.faecalis","Week3_Cumulative",92,-0.359588348342365,0.000430864860053916,0.01796208679104,"Yes"
"Axilla","Cefotaxime_cumulative_w3","Enterococcus.faecium","Week3_Cumulative",102,-0.346272370620138,0.000363808671567925,0.0212828072867236,"Yes"
"Axilla","Moxalactam_cumulative_w3","Enterococcus.faecium","Week3_Cumulative",102,-0.335094101948337,0.00057599935688592,0.0224639749185509,"Yes"
"Axilla","Moxalactam_cumulative_w3","Staphylococcus.aureus","Week3_Cumulative",102,-0.318128430500488,0.00112030536781444,0.0327689320085723,"Yes"
"Stool","Penicillin_cumulative_w3","Klebsiella.oxytoca","Week3_Cumulative",106,-0.325723199231943,0.000656386637964961,0.0383986183209502,"Yes"
"Groin","Nafcillin_cumulative_w3","Candida.parapsilosis","Week3_Cumulative",92,0.323197184471377,0.00167567436159624,0.0406830472187747,"Yes"
"Groin","Moxalactam_cumulative_w3","Enterococcus.faecalis","Week3_Cumulative",92,-0.322145616037971,0.0017385917614861,0.0406830472187747,"Yes"
