name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Piptocephalis	78916	G	32	0	32	0.00000
Syncephalis	78910	G	40	4	44	0.00000
Calonectria	57138	G	51	3	54	0.00000
Ruminococcus	1263	G	41	12	53	0.00000
Cordyceps	45234	G	150	10	160	0.00001
Sclerotinia	5179	G	911	103	1014	0.00006
Pyrenochaeta	285810	G	44	1	45	0.00000
Vibrio	662	G	2130	8	2138	0.00013
Botryotinia	40558	G	829	39	868	0.00005
Fusarium	5506	G	1254	224	1478	0.00009
Penicillium	5073	G	865	2018	2883	0.00018
Trichothecium	231006	G	27	2	29	0.00000
Mycobacteroides	670516	G	4034	738	4772	0.00029
Curvularia	5502	G	69	8	77	0.00000
Emmonsia	73229	G	39	0	39	0.00000
Streptococcus	1301	G	4749	300	5049	0.00031
Plasmodium	5820	G	79	0	79	0.00000
Ascocoryne	139060	G	37	1	38	0.00000
Exophiala	5583	G	189	4	193	0.00001
Beauveria	5581	G	26	1	27	0.00000
Rhizopogon	5375	G	25	0	25	0.00000
Leuconostoc	1243	G	449	50	499	0.00003
Collybia	5624	G	29	2	31	0.00000
Batrachochytrium	100474	G	75	0	75	0.00000
Candidatus Pelagibacter	198251	G	55	0	55	0.00000
Hymenotorrendiella	2082975	G	2896	222	3118	0.00019
Cantharellus	36065	G	24	0	24	0.00000
Bifidobacterium	1678	G	53	8	61	0.00000
Enterobacter	547	G	78	17	95	0.00001
Candidatus Kryptonium	1855365	G	36	9	45	0.00000
Allomyces	28581	G	63	0	63	0.00000
Bacteroides	816	G	173	71	244	0.00001
Pseudomonas	286	G	1648	3969	5617	0.00034
Smittium	4888	G	30	0	30	0.00000
Saccharomyces	4930	G	156	2635	2791	0.00017
Starmerella	75735	G	105	13	118	0.00001
Zasmidium	395590	G	2227	135	2362	0.00014
Monosporascus	155415	G	80	5	85	0.00001
Salinibacter	146918	G	108047	314	108361	0.00660
Chaetomium	5149	G	997	170	1167	0.00007
Microbacterium	33882	G	3898	32	3930	0.00024
Capniomyces	4884	G	278	3	281	0.00002
Homolaphlyctis	1142504	G	451	0	451	0.00003
Neurospora	5140	G	114	10	124	0.00001
Mycosphaerella	41254	G	546	24	570	0.00003
Grammothele	139412	G	3370	98	3468	0.00021
Pseudonectria	40628	G	498	40	538	0.00003
Xylaria	37991	G	93	2	95	0.00001
Paramyrothecium	1859940	G	49	2	51	0.00000
Cladophialophora	82105	G	138	2	140	0.00001
Eutypa	97095	G	43	2	45	0.00000
Sphingomonas	13687	G	333	45	378	0.00002
Glomus	4875	G	34	11	45	0.00000
Wickerhamomyces	599737	G	65	3	68	0.00000
Hirsutella	42367	G	43	0	43	0.00000
Melampsora	5260	G	2694	1384	4078	0.00025
Kodamaea	77850	G	29	0	29	0.00000
Chrysoporthe	305399	G	24	11	35	0.00000
Neobulgaria	45424	G	38	1	39	0.00000
Ramularia	112497	G	44	0	44	0.00000
Mrakia	29901	G	54	12	66	0.00000
Trypanosoma	5690	G	264	0	264	0.00002
Colwellia	28228	G	3552	47	3599	0.00022
Tetrasphaera	99479	G	55	0	55	0.00000
Bacillus	1386	G	4367	433	4800	0.00029
Arthrobacter	1663	G	169	7	176	0.00001
Lecanosticta	687950	G	1119	199	1318	0.00008
Chroogomphus	5390	G	55	42	97	0.00001
Clostridioides	1870884	G	107	86	193	0.00001
Streptobacillus	34104	G	102	4	106	0.00001
