name	taxonomy_id	taxonomy_lvl	kraken_assigned_reads	added_reads	new_est_reads	fraction_total_reads
Endocarpon pusillum	364733	S	707	88	795	0.00005
Microbacterium sp. AR7-10	1891970	S	3890	35	3925	0.00024
Prevotella ruminicola	839	S	24	5	29	0.00000
Streptomyces turgidiscabies	85558	S	160	17	177	0.00001
Batrachochytrium salamandrivorans	1357716	S	29	0	29	0.00000
Streptococcus oralis	1303	S	44	13	57	0.00000
Helicobacter bizzozeronii	56877	S	29	0	29	0.00000
Scheffersomyces shehatae	45589	S	30	0	30	0.00000
Xylaria hypoxylon	37992	S	31	2	33	0.00000
Eutypa lata	97096	S	43	3	46	0.00000
Lactobacillus brevis	1580	S	149	214	363	0.00002
Botrytis cinerea	40559	S	172	14	186	0.00001
Dendrothele bispora	1314803	S	24	0	24	0.00000
Geosmithia flava	240216	S	28	2	30	0.00000
Mycobacteroides abscessus	36809	S	4033	751	4784	0.00029
Tilletia controversa	13291	S	78	16	94	0.00001
Fusarium oxysporum	5507	S	100	140	240	0.00001
Fusarium kuroshium	2010991	S	48	198	246	0.00002
Salinibacter ruber	146919	S	102425	5961	108386	0.00661
Saturnispora saitoi	58634	S	26	1	27	0.00000
Bacillus sp. S2-R3J1-FB-BA1	1973490	S	48	30	78	0.00000
Bacillus sp. S1-R5C1-FB	1973491	S	85	16	101	0.00001
Ascocoryne sarcoides	139061	S	37	1	38	0.00000
Bacillus sp. S1-R2T1-FB	1973493	S	166	37	203	0.00001
Stereum hirsutum	40492	S	48	0	48	0.00000
[Candida] restingae	77849	S	27	1	28	0.00000
Mycolicibacterium smegmatis	1772	S	243	1	244	0.00001
Psilocybe cyanescens	93625	S	91	0	91	0.00001
Paramyrothecium roridum	1859971	S	49	2	51	0.00000
Lactobacillus taiwanensis	508451	S	161	2	163	0.00001
Tilletia walkeri	117179	S	81	2	83	0.00001
cyanobacterium G8-9	2137193	S	1426	302	1728	0.00011
Apiotrichum domesticum	82514	S	142	8	150	0.00001
Planctomycetes bacterium	2026780	S	116	0	116	0.00001
Curvularia sp. IFB-Z10	1526222	S	55	34	89	0.00001
Sphingomonas paucimobilis	13689	S	145	24	169	0.00001
Blastomyces parvus	2060905	S	392	35	427	0.00003
Zasmidium angulare	1194242	S	2225	176	2401	0.00015
Allomyces macrogynus	28583	S	63	1	64	0.00000
Klebsiella aerogenes	548	S	29	3	32	0.00000
Cordyceps pruinosa	129524	S	106	11	117	0.00001
Sphingomonas echinoides	59803	S	103	24	127	0.00001
Klebsiella oxytoca	571	S	93	20	113	0.00001
Pseudomonas aeruginosa	287	S	413	3772	4185	0.00026
Bacteroides fragilis	817	S	54	134	188	0.00001
Phialocephala sp. D728	2316158	S	96	8	104	0.00001
Streptomyces sp. ICC1	2099583	S	123	30	153	0.00001
Cryphonectria radicalis	40262	S	32	41	73	0.00000
Streptococcus pneumoniae	1313	S	40	1630	1670	0.00010
Cloacibacterium normanense	237258	S	72	9	81	0.00000
Exophiala xenobiotica	348802	S	51	2	53	0.00000
Vibrio parahaemolyticus	670	S	2074	92	2166	0.00013
Sclerotinia sclerotiorum	5180	S	344	52	396	0.00002
Colletotrichum tofieldiae	708197	S	91	9	100	0.00001
Neurospora crassa	5141	S	26	3	29	0.00000
Kwoniella bestiolae	324769	S	65	0	65	0.00000
Zancudomyces culisetae	1213189	S	26	0	26	0.00000
Neurospora sublineolata	165293	S	37	3	40	0.00000
Huntiella omanensis	1580864	S	101	21	122	0.00001
Venturia effusa	50376	S	25	0	25	0.00000
Clostridioides difficile	1496	S	107	106	213	0.00001
Colletotrichum trifolii	5466	S	33	11	44	0.00000
Mycosphaerella sp. PB-2012b	1169138	S	308	24	332	0.00002
Cladosporium sphaerospermum	92950	S	175	790	965	0.00006
Batrachochytrium dendrobatidis	109871	S	46	4	50	0.00000
Homolaphlyctis polyrhiza	1142505	S	451	5	456	0.00003
Hypoxylon pulicicidum	1243767	S	1121	48	1169	0.00007
Cronobacter sakazakii	28141	S	43	0	43	0.00000
Thielaviopsis ethacetica	1526549	S	37	1	38	0.00000
Blyttiomyces helicus	388810	S	34	0	34	0.00000
Hymenoscyphus fraxineus	746836	S	103	2	105	0.00001
Monilinia laxa	61186	S	208	16	224	0.00001
Rhizobiaceae bacterium	1913961	S	1807	21	1828	0.00011
