Variable,Coefficient,P-value,Significant
C(SampleType)[T.Stool],10.721767163478349,2.05470744687756e-111,True
C(SampleType)[T.Groin],4.957245774257939,3.794241350286626e-22,True
C(SampleCollectionWeek)[T.Week.3],1.730331283060565,2.3010077162366216e-05,True
Intercept,-4.827458965064664,0.0005350858777381966,True
C(Delivery)[T.Vaginal],-2.0037263178604685,0.004313831660764762,True
C(PICC)[T.PICC_Neck],-4.267439273717437,0.009303688688343326,True
C(UVC)[T.UVC],-1.3532062803652594,0.07085291797281532,False
C(PostNatalAbxCohort)[T.No.Infant.Abx],-1.207687696382013,0.09283805440607901,False
C(AnyMilk)[T.Mother],1.2210679598481795,0.16151750878221727,False
C(PICC)[T.axillary],-1.910068535796131,0.17625390842577404,False
C(GestationCohort)[T.28-32 Weeks],-1.034607125104698,0.2506281365595713,False
C(PICC)[T.PICC_UE],-0.7567171152258554,0.2616926434047352,False
Group Var,0.03614108841881548,0.2719669269199967,False
C(PICC)[T.peripheral_UE],-1.1959493120426672,0.4016547839652467,False
C(MaternalAntibiotics)[T.None.Mat.Abx],0.43238080215168057,0.4700140329542315,False
C(PICC)[T.PICC_LE],-0.55705542589306,0.4820666692818254,False
C(Location)[T.Hangzhou],0.4830940023458003,0.49717762424931544,False
C(AnyMilk)[T.No.Milk],0.4008588830151296,0.7369552603526434,False
C(GestationCohort)[T.33-36 Weeks],-0.3342594666442422,0.7673827394115833,False
C(PostNatalAbxCohort)[T.Low.Infant.Abx],0.06500723124885992,0.9321060164471822,False
