sample_name	num_species	total_mutations	species_with_mutations
N01_1_2	0	0	0
N01_1_3	0	0	0
N01_1_4	0	0	0
N01_2_2	0	0	0
N01_2_3	0	0	0
N01_2_4	0	0	0
N02_1_2	0	0	0
N02_1_3	0	0	0
N02_1_4	0	0	0
N02_2_2	0	0	0
N02_2_3	0	0	0
N02_2_4	0	0	0
N03_1_4	0	0	0
N03_2_2	0	0	0
N03_2_3	0	0	0
N03_2_4	0	0	0
N04_1_2	0	0	0
N04_1_3	0	0	0
N04_1_4	0	0	0
N04_2_2	0	0	0
N04_2_3	0	0	0
N04_2_4	0	0	0
N05_1_2	0	0	0
N05_1_3	0	0	0
N05_1_4	0	0	0
N05_2_2	0	0	0
N05_2_3	0	0	0
N05_2_4	0	0	0
N06_1_2	0	0	0
N06_1_3	0	0	0
N06_1_4	0	0	0
N07_1_2	0	0	0
N07_1_3	0	0	0
N07_1_4	0	0	0
N07_2_2	0	0	0
N07_2_3	0	0	0
N07_2_4	0	0	0
N08_1_2	0	0	0
N08_1_3	0	0	0
N08_1_4	0	0	0
N08_2_2	0	0	0
N08_2_3	0	0	0
N08_2_4	0	0	0
N09_1_2	0	0	0
N09_1_3	0	0	0
N09_1_4	0	0	0
N09_2_2	0	0	0
N09_2_3	0	0	0
N09_2_4	0	0	0
N10_1_2	0	0	0
N10_1_3	0	0	0
N10_1_4	0	0	0
N10_2_2	0	0	0
N10_2_3	0	0	0
N10_2_4	0	0	0
N11_1_2	0	0	0
N11_1_3	0	0	0
N11_1_4	0	0	0
N11_2_2	0	0	0
N11_2_3	0	0	0
N11_2_4	0	0	0
N12_1_2	0	0	0
N12_1_3	0	0	0
N12_1_4	0	0	0
N13_1_2	0	0	0
N13_1_3	0	0	0
N13_1_4	0	0	0
N13_2_2	0	0	0
N13_2_3	0	0	0
N13_2_4	0	0	0
N14_1_2	0	0	0
N14_1_3	0	0	0
N14_1_4	0	0	0
N14_2_2	0	0	0
N14_2_3	0	0	0
N14_2_4	0	0	0
N15_1_2	0	0	0
N15_1_3	0	0	0
N15_1_4	0	0	0
N15_2_2	0	0	0
N15_2_3	0	0	0
N15_2_4	0	0	0
N16_1_2	0	0	0
N16_1_3	0	0	0
N16_1_4	0	0	0
N16_2_2	0	0	0
N16_2_3	0	0	0
N16_2_4	0	0	0
N17_1_2	0	0	0
N17_1_3	0	0	0
N17_1_4	0	0	0
N17_2_2	0	0	0
N17_2_3	0	0	0
N17_2_4	0	0	0
N18_1_2	0	0	0
N18_1_3	0	0	0
N18_1_4	0	0	0
N18_2_2	0	0	0
N18_2_3	0	0	0
N18_2_4	0	0	0
N19_1_2	0	0	0
N19_1_3	0	0	0
N19_1_4	0	0	0
N19_2_2	0	0	0
N19_2_3	0	0	0
N19_2_4	0	0	0
N20_1_2	0	0	0
N20_1_3	0	0	0
N20_1_4	0	0	0
N20_2_2	0	0	0
N20_2_3	0	0	0
N20_2_4	0	0	0
N21_1_2	0	0	0
N21_1_3	0	0	0
N21_1_4	0	0	0
N21_2_2	0	0	0
N21_2_3	0	0	0
N21_2_4	0	0	0
N22_1_2	0	0	0
N22_1_3	0	0	0
N22_1_4	0	0	0
N22_2_2	0	0	0
N22_2_3	0	0	0
N22_2_4	0	0	0
N23_1_4	0	0	0
N23_2_2	0	0	0
N23_2_3	0	0	0
N23_2_4	0	0	0
N24_1_2	0	0	0
N24_1_3	0	0	0
N24_1_4	0	0	0
N24_2_3	0	0	0
N24_2_4	0	0	0
N25_1_2	0	0	0
N25_1_3	0	0	0
N25_1_4	0	0	0
N25_2_2	0	0	0
N25_2_3	0	0	0
N25_2_4	0	0	0
N26_1_4	0	0	0
N27_1_2	0	0	0
N27_1_3	0	0	0
N27_1_4	0	0	0
N27_2_3	0	0	0
N27_2_4	0	0	0
N28_1_2	0	0	0
N28_1_3	0	0	0
N28_1_4	0	0	0
N28_2_3	0	0	0
N28_2_4	0	0	0
N29_1_2	0	0	0
N29_1_3	0	0	0
N29_1_4	0	0	0
N29_2_2	0	0	0
N29_2_3	0	0	0
N29_2_4	0	0	0
N30_1_2	0	0	0
N30_1_3	0	0	0
N30_1_4	0	0	0
N30_2_2	0	0	0
N30_2_4	0	0	0
N31_1_2	0	0	0
N31_1_3	0	0	0
N31_1_4	0	0	0
N31_2_2	0	0	0
N31_2_4	0	0	0
N32_1_2	0	0	0
N32_1_3	0	0	0
N32_1_4	0	0	0
N32_2_3	0	0	0
N32_2_4	0	0	0
N33_1_3	0	0	0
N33_1_4	0	0	0
N33_2_3	0	0	0
N33_2_4	0	0	0
N34_1_2	0	0	0
N34_1_3	0	0	0
N34_1_4	0	0	0
N34_2_2	0	0	0
N34_2_3	0	0	0
N35_1_2	0	0	0
N35_1_3	0	0	0
N35_1_4	0	0	0
N35_2_2	0	0	0
N35_2_3	0	0	0
N36_1_2	0	0	0
N36_1_3	0	0	0
N36_1_4	0	0	0
N36_2_2	0	0	0
N36_2_3	0	0	0
N37_1_2	0	0	0
N37_1_3	0	0	0
N38_1_2	0	0	0
N38_1_3	0	0	0
N38_1_4	0	0	0
N38_2_2	0	0	0
N38_2_3	0	0	0
N38_2_4	0	0	0
N39_1_2	0	0	0
N39_1_3	0	0	0
N39_1_4	0	0	0
N39_2_2	0	0	0
N39_2_3	0	0	0
N39_2_4	0	0	0
N40_1_2	0	0	0
N40_1_3	0	0	0
N40_1_4	0	0	0
N40_2_2	0	0	0
N40_2_3	0	0	0
N41_1_2	0	0	0
N41_1_3	0	0	0
N41_1_4	0	0	0
N41_2_2	0	0	0
N41_2_3	0	0	0
N42_1_2	0	0	0
N42_1_4	0	0	0
N42_2_2	0	0	0
N42_2_3	0	0	0
N43_1_2	0	0	0
N43_1_3	0	0	0
N43_2_2	0	0	0
N43_2_3	0	0	0
N44_1_2	0	0	0
N44_1_3	0	0	0
N44_2_2	0	0	0
N44_2_3	0	0	0
N45_1_2	0	0	0
N45_1_3	0	0	0
N45_1_4	0	0	0
N45_2_2	0	0	0
N45_2_3	0	0	0
N46_1_2	0	0	0
N46_1_3	0	0	0
N46_2_2	0	0	0
N46_2_3	0	0	0
N46_2_4	0	0	0
N47_1_2	0	0	0
N47_1_3	0	0	0
N47_2_2	0	0	0
N47_2_3	0	0	0
N47_2_4	0	0	0
N48_1_2	0	0	0
N48_1_3	0	0	0
N48_2_2	0	0	0
N48_2_3	0	0	0
N48_2_4	0	0	0
N49_1_2	0	0	0
N49_1_3	0	0	0
N49_1_4	0	0	0
N49_2_2	0	0	0
N49_2_3	0	0	0
N49_2_4	0	0	0
N50_1_2	0	0	0
N50_1_3	0	0	0
N50_2_2	0	0	0
N50_2_3	0	0	0
N50_2_4	0	0	0
N51_1_2	0	0	0
N51_1_3	0	0	0
N51_1_4	0	0	0
N51_2_2	0	0	0
N51_2_3	0	0	0
N51_2_4	0	0	0
N52_1_2	0	0	0
N52_1_3	0	0	0
N52_1_4	0	0	0
N52_2_2	0	0	0
N52_2_3	0	0	0
N52_2_4	0	0	0
N53_1_2	0	0	0
N53_1_3	0	0	0
N53_1_4	0	0	0
N53_2_2	0	0	0
N53_2_3	0	0	0
N53_2_4	0	0	0
N54_1_2	0	0	0
N54_1_3	0	0	0
N54_1_4	0	0	0
N54_2_2	0	0	0
N54_2_3	0	0	0
N54_2_4	0	0	0
N55_1_2	0	0	0
N55_1_3	0	0	0
N55_1_4	0	0	0
N55_2_2	0	0	0
N55_2_3	0	0	0
N55_2_4	0	0	0
N56_1_2	0	0	0
N56_1_3	0	0	0
N56_1_4	0	0	0
N57_1_2	0	0	0
N57_1_3	0	0	0
N57_1_4	0	0	0
N57_2_2	0	0	0
N57_2_3	0	0	0
N57_2_4	0	0	0
N58_1_2	0	0	0
N58_1_3	0	0	0
N58_1_4	0	0	0
N58_2_2	0	0	0
N58_2_3	0	0	0
N58_2_4	0	0	0
N59_1_2	0	0	0
N59_1_3	0	0	0
N59_1_4	0	0	0
N60_1_2	0	0	0
N60_1_3	0	0	0
N60_1_4	0	0	0
N60_2_2	0	0	0
N60_2_3	0	0	0
N60_2_4	0	0	0
N61_1_2	0	0	0
N61_1_3	0	0	0
N61_1_4	0	0	0
N61_2_2	0	0	0
N61_2_3	0	0	0
N61_2_4	0	0	0
N62_1_2	0	0	0
N62_1_3	0	0	0
N62_1_4	0	0	0
N62_2_2	0	0	0
N62_2_3	0	0	0
N62_2_4	0	0	0
N63_1_2	0	0	0
N63_1_3	0	0	0
N63_1_4	0	0	0
N63_2_2	0	0	0
N63_2_3	0	0	0
N63_2_4	0	0	0
N64_1_2	0	0	0
N64_1_3	0	0	0
N64_1_4	0	0	0
N64_2_2	0	0	0
N64_2_3	0	0	0
N64_2_4	0	0	0
N65_1_2	0	0	0
N65_1_3	0	0	0
N65_1_4	0	0	0
N65_2_2	0	0	0
N65_2_3	0	0	0
N65_2_4	0	0	0
N66_1_2	0	0	0
N66_1_3	0	0	0
N66_1_4	0	0	0
N66_2_2	0	0	0
N66_2_3	0	0	0
N66_2_4	0	0	0
N67_1_2	0	0	0
N67_1_3	0	0	0
N67_1_4	0	0	0
N67_2_2	0	0	0
N67_2_3	0	0	0
N67_2_4	0	0	0
N68_1_2	0	0	0
N68_1_3	0	0	0
N68_1_4	0	0	0
N68_2_2	0	0	0
N68_2_3	0	0	0
N68_2_4	0	0	0
ZJH_N01_1_2	0	0	0
ZJH_N01_1_3	0	0	0
ZJH_N01_1_4	0	0	0
ZJH_N01_2_2	0	0	0
ZJH_N01_2_3	0	0	0
ZJH_N01_2_4	0	0	0
ZJH_N02_1_2	0	0	0
ZJH_N02_1_3	0	0	0
ZJH_N02_1_4	0	0	0
ZJH_N02_2_2	0	0	0
ZJH_N02_2_3	0	0	0
ZJH_N02_2_4	0	0	0
ZJH_N03_1_2	0	0	0
ZJH_N03_1_3	0	0	0
ZJH_N03_2_2	0	0	0
ZJH_N03_2_4	0	0	0
ZJH_N04_1_2	0	0	0
ZJH_N04_1_3	0	0	0
ZJH_N04_1_4	0	0	0
ZJH_N04_2_2	0	0	0
ZJH_N04_2_3	0	0	0
ZJH_N04_2_4	0	0	0
ZJH_N05_1_2	0	0	0
ZJH_N05_1_4	0	0	0
ZJH_N05_2_2	0	0	0
ZJH_N05_2_3	0	0	0
ZJH_N05_2_4	0	0	0
ZJH_N06_1_2	0	0	0
ZJH_N06_1_3	0	0	0
ZJH_N06_1_4	0	0	0
ZJH_N06_2_2	0	0	0
ZJH_N06_2_3	0	0	0
ZJH_N06_2_4	0	0	0
ZJH_N07_1_2	0	0	0
ZJH_N07_1_3	0	0	0
ZJH_N07_1_4	0	0	0
ZJH_N07_2_3	0	0	0
ZJH_N07_2_4	0	0	0
ZJH_N08_1_2	0	0	0
ZJH_N08_1_3	0	0	0
ZJH_N08_1_4	0	0	0
ZJH_N08_2_2	0	0	0
ZJH_N08_2_3	0	0	0
ZJH_N08_2_4	0	0	0
ZJH_N09_1_2	0	0	0
ZJH_N09_1_3	0	0	0
ZJH_N09_2_2	0	0	0
ZJH_N09_2_4	0	0	0
ZJH_N10_1_2	0	0	0
ZJH_N10_1_4	0	0	0
ZJH_N10_2_2	0	0	0
ZJH_N10_2_3	0	0	0
ZJH_N10_2_4	0	0	0
ZJH_N11_1_2	0	0	0
ZJH_N11_1_3	0	0	0
ZJH_N11_1_4	0	0	0
ZJH_N11_2_2	0	0	0
ZJH_N11_2_3	0	0	0
ZJH_N11_2_4	0	0	0
ZJH_N12_1_2	0	0	0
ZJH_N12_1_3	0	0	0
ZJH_N12_1_4	0	0	0
ZJH_N12_2_2	0	0	0
ZJH_N12_2_4	0	0	0
ZJH_N13_1_2	0	0	0
ZJH_N13_1_3	0	0	0
ZJH_N13_1_4	0	0	0
ZJH_N13_2_2	0	0	0
ZJH_N13_2_3	0	0	0
ZJH_N13_2_4	0	0	0
ZJH_N14_1_2	0	0	0
ZJH_N14_1_3	0	0	0
ZJH_N14_1_4	0	0	0
ZJH_N14_2_2	0	0	0
ZJH_N14_2_3	0	0	0
ZJH_N14_2_4	0	0	0
ZJH_N15_1_2	0	0	0
ZJH_N15_1_4	0	0	0
ZJH_N16_1_2	0	0	0
ZJH_N16_1_3	0	0	0
ZJH_N16_2_2	0	0	0
ZJH_N16_2_3	0	0	0
ZJH_N16_2_4	0	0	0
ZJH_N17_1_2	0	0	0
ZJH_N17_1_3	0	0	0
ZJH_N17_1_4	0	0	0
ZJH_N17_2_2	0	0	0
ZJH_N17_2_3	0	0	0
ZJH_N17_2_4	0	0	0
ZJH_N18_1_2	0	0	0
ZJH_N18_1_3	0	0	0
ZJH_N18_1_4	0	0	0
ZJH_N18_2_2	0	0	0
ZJH_N18_2_3	0	0	0
ZJH_N18_2_4	0	0	0
ZJH_N19_1_2	0	0	0
ZJH_N19_1_3	0	0	0
ZJH_N19_1_4	0	0	0
ZJH_N19_2_2	0	0	0
ZJH_N19_2_4	0	0	0
ZJH_N20_1_3	0	0	0
ZJH_N20_1_4	0	0	0
ZJH_N20_2_2	0	0	0
ZJH_N20_2_3	0	0	0
ZJH_N20_2_4	0	0	0
ZJH_N21_1_2	0	0	0
ZJH_N21_1_4	0	0	0
ZJH_N21_2_2	0	0	0
ZJH_N21_2_4	0	0	0
ZJH_N22_1_3	0	0	0
ZJH_N22_1_4	0	0	0
ZJH_N22_2_2	0	0	0
ZJH_N22_2_3	0	0	0
ZJH_N22_2_4	0	0	0
ZJH_N23_1_2	0	0	0
ZJH_N23_1_3	0	0	0
ZJH_N23_1_4	0	0	0
ZJH_N23_2_2	0	0	0
ZJH_N23_2_3	0	0	0
ZJH_N23_2_4	0	0	0
ZJH_N24_1_2	0	0	0
ZJH_N24_1_3	0	0	0
ZJH_N24_1_4	0	0	0
ZJH_N24_2_2	0	0	0
ZJH_N24_2_3	0	0	0
ZJH_N24_2_4	0	0	0
ZJH_N25_1_2	0	0	0
ZJH_N25_1_3	0	0	0
ZJH_N25_1_4	0	0	0
ZJH_N25_2_2	0	0	0
ZJH_N25_2_4	0	0	0
ZJH_N26_1_2	0	0	0
ZJH_N26_1_4	0	0	0
ZJH_N26_2_2	0	0	0
ZJH_N26_2_4	0	0	0
ZJH_N27_1_4	0	0	0
ZJH_N27_2_2	0	0	0
ZJH_N27_2_3	0	0	0
ZJH_N27_2_4	0	0	0
ZJH_N28_1_2	0	0	0
ZJH_N28_1_4	0	0	0
ZJH_N28_2_2	0	0	0
ZJH_N28_2_3	0	0	0
ZJH_N28_2_4	0	0	0
ZJH_N29_1_2	0	0	0
ZJH_N29_1_4	0	0	0
ZJH_N30_1_3	0	0	0
ZJH_N30_1_4	0	0	0
ZJH_N30_2_3	0	0	0
ZJH_N30_2_4	0	0	0
ZJH_N31_1_2	0	0	0
ZJH_N31_1_4	0	0	0
ZJH_N31_2_2	0	0	0
ZJH_N31_2_3	0	0	0
ZJH_N31_2_4	0	0	0
ZJH_N32_1_2	0	0	0
ZJH_N32_1_4	0	0	0
ZJH_N32_2_2	0	0	0
ZJH_N32_2_3	0	0	0
ZJH_N32_2_4	0	0	0
ZJH_N33_1_2	0	0	0
ZJH_N33_1_3	0	0	0
ZJH_N33_1_4	0	0	0
ZJH_N33_2_2	0	0	0
ZJH_N33_2_4	0	0	0
ZJH_N34_1_2	0	0	0
ZJH_N34_1_3	0	0	0
ZJH_N34_1_4	0	0	0
ZJH_N35_1_2	0	0	0
ZJH_N35_1_4	0	0	0
ZJH_N36_1_2	0	0	0
ZJH_N36_1_3	0	0	0
ZJH_N36_1_4	0	0	0
ZJH_N36_2_2	0	0	0
ZJH_N36_2_3	0	0	0
ZJH_N36_2_4	0	0	0
ZJH_N37_1_2	0	0	0
ZJH_N37_1_3	0	0	0
ZJH_N38_1_2	0	0	0
ZJH_N38_1_3	0	0	0
ZJH_N38_1_4	0	0	0
ZJH_N39_1_4	0	0	0
ZJH_N39_2_2	0	0	0
ZJH_N39_2_3	0	0	0
ZJH_N39_2_4	0	0	0
ZJH_N40_1_2	0	0	0
ZJH_N40_1_4	0	0	0
ZJH_N41_1_2	0	0	0
ZJH_N41_1_3	0	0	0
ZJH_N41_1_4	0	0	0
ZJH_N42_1_3	0	0	0
ZJH_N42_1_4	0	0	0
ZJH_N42_2_2	0	0	0
ZJH_N42_2_3	0	0	0
ZJH_N42_2_4	0	0	0
ZJH_N43_1_2	0	0	0
ZJH_N43_1_3	0	0	0
ZJH_N43_1_4	0	0	0
ZJH_N43_2_2	0	0	0
ZJH_N43_2_3	0	0	0
ZJH_N43_2_4	0	0	0
ZJH_N44_1_2	0	0	0
ZJH_N44_1_3	0	0	0
ZJH_N44_1_4	0	0	0
ZJH_N45_1_2	0	0	0
ZJH_N45_1_3	0	0	0
ZJH_N45_1_4	0	0	0
ZJH_N45_2_2	0	0	0
ZJH_N45_2_3	0	0	0
ZJH_N45_2_4	0	0	0
ZJH_N46_1_2	0	0	0
ZJH_N46_1_4	0	0	0
ZJH_N46_2_2	0	0	0
ZJH_N46_2_3	0	0	0
ZJH_N46_2_4	0	0	0
ZJH_N47_1_2	0	0	0
ZJH_N47_1_3	0	0	0
ZJH_N47_1_4	0	0	0
ZJH_N47_2_2	0	0	0
ZJH_N47_2_3	0	0	0
ZJH_N47_2_4	0	0	0
ZJH_N48_1_3	0	0	0
ZJH_N48_1_4	0	0	0
ZJH_N48_2_2	0	0	0
ZJH_N48_2_4	0	0	0
ZJH_N49_1_2	0	0	0
ZJH_N49_1_3	0	0	0
ZJH_N49_1_4	0	0	0
ZJH_N49_2_2	0	0	0
ZJH_N49_2_4	0	0	0
ZJH_N50_1_2	0	0	0
ZJH_N50_1_3	0	0	0
ZJH_N50_1_4	0	0	0
ZJH_N50_2_2	0	0	0
ZJH_N50_2_3	0	0	0
ZJH_N50_2_4	0	0	0
ZJH_N51_1_2	0	0	0
ZJH_N51_1_3	0	0	0
ZJH_N51_1_4	0	0	0
ZJH_N51_2_3	0	0	0
ZJH_N51_2_4	0	0	0
ZJH_N52_1_2	0	0	0
ZJH_N52_1_3	0	0	0
ZJH_N52_1_4	0	0	0
ZJH_N52_2_2	0	0	0
ZJH_N52_2_3	0	0	0
ZJH_N52_2_4	0	0	0
ZJH_N53_1_4	0	0	0
ZJH_N53_2_2	0	0	0
ZJH_N53_2_3	0	0	0
ZJH_N53_2_4	0	0	0
ZJH_N54_1_2	0	0	0
ZJH_N54_1_3	0	0	0
ZJH_N54_1_4	0	0	0
ZJH_N54_2_2	0	0	0
ZJH_N54_2_3	0	0	0
ZJH_N54_2_4	0	0	0
ZJH_N55_1_2	0	0	0
ZJH_N55_1_3	0	0	0
ZJH_N55_1_4	0	0	0
ZJH_N55_2_2	0	0	0
ZJH_N55_2_3	0	0	0
ZJH_N55_2_4	0	0	0
ZJH_N56_1_2	0	0	0
ZJH_N56_1_3	0	0	0
ZJH_N56_1_4	0	0	0
ZJH_N56_2_2	0	0	0
ZJH_N56_2_3	0	0	0
ZJH_N56_2_4	0	0	0
ZJH_N57_1_2	0	0	0
ZJH_N57_1_3	0	0	0
ZJH_N57_1_4	0	0	0
ZJH_N58_1_2	0	0	0
ZJH_N58_1_3	0	0	0
ZJH_N58_1_4	0	0	0
ZJH_N58_2_2	0	0	0
ZJH_N58_2_3	0	0	0
ZJH_N58_2_4	0	0	0
ZJH_N59_1_2	0	0	0
ZJH_N59_1_3	0	0	0
ZJH_N59_1_4	0	0	0
ZJH_N59_2_3	0	0	0
ZJH_N59_2_4	0	0	0
