sample_name	species	likely_resistant	fq_resistance_mutations	qrdr_mutations	genes_affected
N01_1_2	Enterococcus_faecalis	False	0	21	gyrA,gyrB,parC,parE
N01_1_2	Enterococcus_faecium	False	0	20	gyrA,gyrB,parC,parE
N01_1_2	Escherichia_coli	False	0	13	gyrA,gyrB,parC,parE
N01_1_2	Klebsiella_oxytoca	False	0	8	gyrA,gyrB,parC,parE
N01_1_2	Klebsiella_pneumoniae	False	0	9	gyrA,gyrB,parE
N01_1_2	Pseudomonas_aeruginosa	True	2	21	gyrA,gyrB,parC,parE
N01_1_2	Staphylococcus_aureus	True	39	389	gyrA,gyrB,parC,parE
N01_1_2	Streptococcus_mitis	False	0	3	gyrA,gyrB,parC,parE
N01_1_2	Streptococcus_oralis	False	0	4	gyrA,gyrB,parC,parE
N01_1_2	Streptococcus_pneumoniae	False	0	9	gyrA,gyrB,parC,parE
N01_1_3	Enterococcus_faecalis	False	0	29	gyrA,gyrB,parC,parE
N01_1_3	Enterococcus_faecium	False	0	24	gyrA,gyrB,parC,parE
N01_1_3	Escherichia_coli	False	0	13	gyrA,gyrB,parE
N01_1_3	Klebsiella_oxytoca	False	0	5	gyrA,gyrB,parC,parE
N01_1_3	Klebsiella_pneumoniae	False	0	1	gyrA,gyrB,parE
N01_1_3	Pseudomonas_aeruginosa	False	0	10	gyrA,gyrB,parC,parE
N01_1_3	Staphylococcus_aureus	True	34	433	gyrA,gyrB,parC,parE
N01_1_3	Streptococcus_mitis	True	1	2	gyrA,gyrB,parC,parE
N01_1_3	Streptococcus_oralis	True	1	13	gyrA,gyrB,parC,parE
N01_1_3	Streptococcus_pneumoniae	False	0	18	gyrA,gyrB,parC,parE
N01_1_4	Enterococcus_faecalis	True	1	159	gyrA,gyrB,parC,parE
N01_1_4	Enterococcus_faecium	True	1	392	gyrA,gyrB,parC,parE
N01_1_4	Escherichia_coli	True	3	163	gyrA,gyrB,parC,parE
N01_1_4	Klebsiella_oxytoca	False	0	75	gyrA,gyrB,parC,parE
N01_1_4	Klebsiella_pneumoniae	False	0	97	gyrA,gyrB,parE
N01_1_4	Pseudomonas_aeruginosa	False	0	45	gyrA,gyrB,parC,parE
N01_1_4	Staphylococcus_aureus	True	778	2490	gyrA,gyrB,parC,parE
N01_1_4	Streptococcus_mitis	False	0	167	gyrA,gyrB,parC,parE
N01_1_4	Streptococcus_oralis	False	0	201	gyrA,gyrB,parC,parE
N01_1_4	Streptococcus_pneumoniae	False	0	185	gyrA,gyrB,parC,parE
N01_2_2	Enterococcus_faecalis	False	0	18	gyrA,gyrB,parC,parE
N01_2_2	Enterococcus_faecium	False	0	15	gyrA,gyrB,parC,parE
N01_2_2	Escherichia_coli	False	0	6	gyrA,gyrB,parC,parE
N01_2_2	Klebsiella_oxytoca	False	0	2	gyrA,gyrB,parC,parE
N01_2_2	Klebsiella_pneumoniae	False	0	6	gyrA,gyrB,parE
N01_2_2	Pseudomonas_aeruginosa	True	1	48	gyrA,gyrB,parC,parE
N01_2_2	Staphylococcus_aureus	True	223	2736	gyrA,gyrB,parC,parE
N01_2_2	Streptococcus_mitis	True	13	29	gyrA,gyrB,parC,parE
N01_2_2	Streptococcus_oralis	True	13	64	gyrA,gyrB,parC,parE
N01_2_2	Streptococcus_pneumoniae	False	0	54	gyrA,gyrB,parC,parE
N01_2_3	Enterococcus_faecalis	True	1	71	gyrA,gyrB,parC,parE
N01_2_3	Enterococcus_faecium	True	1	86	gyrA,gyrB,parC,parE
N01_2_3	Escherichia_coli	True	2	175	gyrA,gyrB,parC,parE
N01_2_3	Klebsiella_oxytoca	False	0	158	gyrA,gyrB,parC,parE
N01_2_3	Klebsiella_pneumoniae	True	3	130	gyrA,gyrB,parE
N01_2_3	Pseudomonas_aeruginosa	False	0	54	gyrA,gyrB,parC,parE
N01_2_3	Staphylococcus_aureus	True	91	571	gyrA,gyrB,parC,parE
N01_2_3	Streptococcus_mitis	False	0	30	gyrA,gyrB,parC,parE
N01_2_3	Streptococcus_oralis	False	0	73	gyrA,gyrB,parC,parE
N01_2_3	Streptococcus_pneumoniae	False	0	56	gyrA,gyrB,parC,parE
N01_2_4	Enterococcus_faecalis	True	1	202	gyrA,gyrB,parC,parE
N01_2_4	Enterococcus_faecium	True	1	516	gyrA,gyrB,parC,parE
N01_2_4	Escherichia_coli	True	2	537	gyrA,gyrB,parC,parE
N01_2_4	Klebsiella_oxytoca	True	4	356	gyrA,gyrB,parC,parE
N01_2_4	Klebsiella_pneumoniae	True	2	342	gyrA,gyrB,parE
N01_2_4	Pseudomonas_aeruginosa	False	0	79	gyrA,gyrB,parC,parE
N01_2_4	Staphylococcus_aureus	False	0	442	gyrA,gyrB,parC,parE
N01_2_4	Streptococcus_mitis	False	0	177	gyrA,gyrB,parC,parE
N01_2_4	Streptococcus_oralis	False	0	257	gyrA,gyrB,parC,parE
N01_2_4	Streptococcus_pneumoniae	False	0	194	gyrA,gyrB,parC,parE
N02_1_2	Enterococcus_faecalis	False	0	41	gyrA,gyrB,parC,parE
N02_1_2	Enterococcus_faecium	False	0	24	gyrA,gyrB,parC,parE
N02_1_2	Escherichia_coli	False	0	21	gyrA,gyrB,parC,parE
N02_1_2	Klebsiella_oxytoca	False	0	9	gyrA,gyrB,parC,parE
N02_1_2	Klebsiella_pneumoniae	False	0	20	gyrA,gyrB,parE
N02_1_2	Pseudomonas_aeruginosa	False	0	65	gyrA,gyrB,parC,parE
N02_1_2	Staphylococcus_aureus	True	65	441	gyrA,gyrB,parC,parE
N02_1_2	Streptococcus_mitis	False	0	13	gyrA,gyrB,parC,parE
N02_1_2	Streptococcus_oralis	False	0	59	gyrA,gyrB,parC,parE
N02_1_2	Streptococcus_pneumoniae	False	0	43	gyrA,gyrB,parC,parE
