sample_name	has_fq_resistance	has_qrdr_mutations	resistance_confidence	total_reads	reads_with_mutations	reads_with_fq_resistance	num_species	num_resistant_species	total_fq_resistance_mutations	total_qrdr_mutations
N01_1_2	True	True	0.95	27848578	3910	41	10	2	41	497
N01_1_3	True	True	0.95	32477126	3294	36	10	3	36	548
N01_1_4	True	True	0.95	32574979	41243	782	10	4	783	3974
N01_2_2	True	True	0.95	24619957	16227	250	10	4	250	2978
N01_2_3	True	True	0.95	28118845	11295	98	10	5	98	1404
N01_2_4	True	True	0.95	23601853	17601	10	10	5	10	3102
N02_1_2	True	True	0.95	26354065	7055	65	10	1	65	736
N02_1_3	True	True	0.95	19831116	216	6	10	1	6	112
N02_1_4	True	True	0.95	36939615	39624	274	10	5	274	5449
N02_2_2	True	True	0.95	22852182	5016	31	10	3	31	863
N02_2_3	True	True	0.95	26086163	2319	7	10	3	7	349
N02_2_4	True	True	0.95	28226667	17742	24	10	5	24	2989
N03_1_4	True	True	0.95	31307463	23386	146	10	5	146	6309
N03_2_2	True	True	0.95	14600796	3699	7	10	2	7	1262
N03_2_3	True	True	0.8	22777493	1373	1	10	1	1	279
N03_2_4	True	True	0.95	21033303	17097	18	10	5	18	6262
N04_1_2	True	True	0.95	15804543	3494	44	10	3	44	558
N04_1_3	True	True	0.95	4772334	4405	14	10	5	14	1365
N04_1_4	True	True	0.95	13703869	23161	81	10	5	105	3586
N04_2_2	True	True	0.95	11841427	1520	6	10	1	6	492
N04_2_3	True	True	0.95	14109432	3249	19	10	3	19	649
N04_2_4	True	True	0.95	12600781	15769	24	10	4	24	3739
N05_1_2	True	True	0.95	9498538	3964	3	10	1	3	443
N05_1_3	True	True	0.95	6553893	333	9	10	1	9	62
N05_1_4	True	True	0.95	16374935	19530	91	10	2	92	5048
N05_2_2	True	True	0.6	14318818	3534	2	10	1	2	1828
N05_2_3	True	True	0.95	16099520	6658	11	10	4	11	1068
N05_2_4	True	True	0.95	12954797	13948	29	10	4	29	4592
N06_1_2	True	True	0.95	20203972	13034	178	10	3	178	2363
N06_1_3	True	True	0.95	12115933	2065	16	10	3	16	186
N06_1_4	True	True	0.95	8910005	11511	56	10	3	57	2563
N07_1_2	True	True	0.95	6677637	3353	3	10	1	3	1791
N07_1_3	True	True	0.95	11355447	4427	28	10	3	28	600
N07_1_4	True	True	0.95	9675995	12691	50	10	3	50	3773
N07_2_2	True	True	0.95	9481359	768	11	10	1	11	122
N07_2_3	True	True	0.95	10799812	8305	48	10	5	48	1589
N07_2_4	True	True	0.95	5696995	7160	15	10	5	17	834
N08_1_2	True	True	0.95	19640209	21594	240	10	3	241	2116
N08_1_3	True	True	0.95	11800286	5298	27	10	4	27	1899
N08_1_4	True	True	0.95	15045555	19285	100	10	4	101	6986
N08_2_2	True	True	0.95	13949833	5647	7	10	3	7	2237
N08_2_3	True	True	0.95	14989716	1572	4	10	3	4	405
N08_2_4	True	True	0.95	8536725	7029	24	10	6	24	1526
N09_1_2	True	True	0.95	8995260	1940	55	10	1	55	290
N09_1_3	True	True	0.6	12084914	1340	1	10	1	1	741
N09_1_4	False	True	0.4	13233835	60	0	10	0	0	59
N09_2_2	True	True	0.95	13843178	1046	3	10	1	3	366
N09_2_3	False	True	0.4	14525484	90	0	10	0	0	25
N09_2_4	True	True	0.95	8282919	5595	20	10	4	20	561
N10_1_2	True	True	0.95	10378198	1060	3	10	1	3	331
N10_1_3	True	True	0.95	13798922	18905	11	10	3	11	1266
N10_1_4	True	True	0.95	10008592	19045	267	10	4	268	1334
N10_2_2	True	True	0.95	15636071	3128	21	10	1	21	1216
N10_2_3	True	True	0.95	14098190	14975	47	10	4	47	2782
N10_2_4	True	True	0.95	7671052	9919	3	10	3	3	2350
N11_1_2	True	True	0.95	14454121	10352	38	10	4	38	3390
N11_1_3	True	True	0.95	9763417	441	4	10	1	4	58
N11_1_4	True	True	0.95	12371093	27667	356	10	5	358	2836
N11_2_2	True	True	0.95	16034016	8772	25	10	4	25	3218
N11_2_3	True	True	0.95	5445326	3980	10	10	4	10	491
N11_2_4	True	True	0.95	7485698	9031	5	10	3	5	755
N12_1_2	True	True	0.95	15647235	22219	224	10	4	224	2318
N12_1_3	True	True	0.95	14257733	4586	28	10	2	28	772
N12_1_4	True	True	0.95	13412171	4457	7	10	5	8	582
N13_1_2	True	True	0.6	11327123	465	3	9	1	3	27
N13_1_3	True	True	0.8	15305536	1080	1	10	1	1	553
N13_1_4	True	True	0.95	14466736	1549	19	10	2	19	343
N13_2_2	True	True	0.95	13658879	4815	7	10	4	7	1835
N13_2_3	False	True	0.4	9782752	404	0	10	0	0	23
N13_2_4	True	True	0.95	15388673	19348	4	10	2	4	997
N14_1_2	True	True	0.95	16923280	3025	6	10	1	6	1062
N14_1_3	False	True	0.4	12333275	45	0	8	0	0	8
N14_1_4	False	True	0.4	5742082	1619	0	10	0	0	154
N14_2_2	False	True	0.4	22043686	1669	0	10	0	0	797
N14_2_3	True	True	0.95	14089661	2085	2	10	2	2	479
N14_2_4	True	True	0.95	8908508	5201	4	10	3	4	1171
N15_1_2	True	True	0.95	17739637	4905	9	10	5	9	1413
N15_1_3	True	True	0.95	12785566	2197	2	10	2	2	633
N15_1_4	True	True	0.95	11221826	11665	27	10	4	27	2956
N15_2_2	False	True	0.4	8831860	228	0	10	0	0	115
N15_2_3	True	True	0.95	9278984	10419	6	10	3	6	1612
N15_2_4	True	True	0.95	3370554	1970	3	10	3	3	426
N16_1_2	True	True	0.95	12343504	1305	3	10	1	3	466
N16_1_3	True	True	0.95	8351025	3086	24	10	3	24	1422
N16_1_4	True	True	0.95	10524956	12234	28	10	5	28	4111
N16_2_2	True	True	0.95	16293292	4176	5	10	1	5	2022
N16_2_3	True	True	0.95	11233266	9336	11	10	5	11	1202
