hdf5_output	total_alignments	total_translated_alignments	total_reads_processed	sample_name
/fastpool/analysis/nicu_amr_stress/resistance/N01_1_2/N01_1_2.h5	2119	24650000	0	N01_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N01_1_3/N01_1_3.h5	3067	26967126	0	N01_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N01_1_4/N01_1_4.h5	4846	32574979	0	N01_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N01_2_2/N01_2_2.h5	5795	24619957	0	N01_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N01_2_3/N01_2_3.h5	26587	28098845	0	N01_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N01_2_4/N01_2_4.h5	15351	23601853	0	N01_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N02_1_2/N02_1_2.h5	3903	26104065	0	N02_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N02_1_3/N02_1_3.h5	539	3250000	0	N02_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N02_1_4/N02_1_4.h5	2784	36939615	0	N02_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N02_2_2/N02_2_2.h5	5467	22342182	0	N02_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N02_2_3/N02_2_3.h5	3368	20706163	0	N02_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N02_2_4/N02_2_4.h5	18802	28226667	0	N02_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N03_1_4/N03_1_4.h5	11893	31307463	0	N03_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N03_2_2/N03_2_2.h5	1269	13860000	0	N03_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N03_2_3/N03_2_3.h5	1820	14050000	0	N03_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N03_2_4/N03_2_4.h5	5802	21030000	0	N03_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N04_1_2/N04_1_2.h5	584	15484543	0	N04_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N04_1_3/N04_1_3.h5	47	4772334	0	N04_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N04_1_4/N04_1_4.h5	1900	13703869	0	N04_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N04_2_2/N04_2_2.h5	607	10011427	0	N04_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N04_2_3/N04_2_3.h5	4443	13889432	0	N04_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N04_2_4/N04_2_4.h5	2249	12600000	0	N04_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N05_1_2/N05_1_2.h5	718	9478538	0	N05_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N05_1_3/N05_1_3.h5	67	3320000	0	N05_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N05_1_4/N05_1_4.h5	6866	16374935	0	N05_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N05_2_2/N05_2_2.h5	214	13588818	0	N05_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N05_2_3/N05_2_3.h5	670	16079520	0	N05_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N05_2_4/N05_2_4.h5	4455	12954797	0	N05_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N06_1_2/N06_1_2.h5	530	20203972	0	N06_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N06_1_3/N06_1_3.h5	1808	11495933	0	N06_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N06_1_4/N06_1_4.h5	1258	8910000	0	N06_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N07_1_2/N07_1_2.h5	0	6677637	0	N07_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N07_1_3/N07_1_3.h5	0	11305447	0	N07_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N07_1_4/N07_1_4.h5	21	9675995	0	N07_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N07_2_2/N07_2_2.h5	57	6310000	0	N07_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N07_2_3/N07_2_3.h5	186	10799812	0	N07_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N07_2_4/N07_2_4.h5	170	5696995	0	N07_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N08_1_2/N08_1_2.h5	261	19640000	0	N08_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N08_1_3/N08_1_3.h5	4342	11800000	0	N08_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N08_1_4/N08_1_4.h5	11471	15045555	0	N08_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N08_2_2/N08_2_2.h5	439	13839833	0	N08_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N08_2_3/N08_2_3.h5	2189	12849716	0	N08_2_3
/fastpool/analysis/nicu_amr_stress/resistance/N08_2_4/N08_2_4.h5	5005	8536725	0	N08_2_4
/fastpool/analysis/nicu_amr_stress/resistance/N09_1_2/N09_1_2.h5	6419	8985260	0	N09_1_2
/fastpool/analysis/nicu_amr_stress/resistance/N09_1_3/N09_1_3.h5	1316	9664914	0	N09_1_3
/fastpool/analysis/nicu_amr_stress/resistance/N09_1_4/N09_1_4.h5	52	980000	0	N09_1_4
/fastpool/analysis/nicu_amr_stress/resistance/N09_2_2/N09_2_2.h5	76	8383178	0	N09_2_2
/fastpool/analysis/nicu_amr_stress/resistance/N09_2_3/N09_2_3.h5	38	1600000	0	N09_2_3
