gene_name	n_samples	mean_reads	median_reads	total_reads	mean_rpm	median_rpm	total_rpm	mean_coverage	median_coverage	mean_depth_avg	median_depth	drug_class	gene_family
silP	642	4267.09	1078.0	2739469	36.3	12.91	23303.51	52.42	41.88	285.34	92.23	SILVER	silP
bimA_Bm	642	50899.55	10023.0	32677509	788.46	235.64	506192.31	23.1	22.43	16140.81	4283.03		bimA_Bm
cueA	642	2024.48	860.5	1299716	17.65	12.02	11333.23	35.04	31.58	242.04	101.42	COPPER	cueA
mchF	641	966.31	267.0	619402	9.12	3.89	5845.6	22.37	16.45	186.41	71.35		mchF
copA_Ehir	641	2562.37	1147.0	1642479	23.84	15.56	15283.58	44.98	43.96	246.63	121.8	COPPER	copA_Ehir
lmrC_abcf	641	2121.9	838.0	1360137	27.07	17.76	17354.69	32.26	34.48	299.97	123.2	FOSFOMYCIN	lmrC_abcf
cvaB	641	969.82	264.0	621654	9.15	3.84	5862.45	22.21	16.31	186.87	73.45		cvaB
golT	641	1594.11	723.0	1021825	14.4	9.75	9232.18	37.25	31.19	201.28	87.75	COPPER/GOLD	golT
merA	638	48.16	8.0	30724	0.66	0.14	418.61	11.55	8.26	19.62	3.87	MERCURY	merA
cesC	637	903.5	412.0	575527	21.72	15.06	13833.27	28.73	27.74	292.27	137.62		cesC
clpL	636	2014.44	748.0	1281187	19.1	9.85	12149.19	55.74	57.8	160.69	71.29		clpL
bonA	633	356.41	102.0	225610	0.34	0.11	214.18	2.71	2.16	41.19	15.41		bonA
cesB	631	445.42	184.0	281059	1.14	0.62	720.62	5.61	6.0	69.39	30.9		cesB
ybtQ	629	1376.98	322.0	866118	17.95	5.08	11288.84	35.47	21.8	167.13	53.61		ybtQ
acrF	627	9262.16	191.0	5807376	62.39	1.68	39120.27	66.1	80.87	370.26	9.53	EFFLUX	acrF
copR	625	899.96	358.0	562477	27.77	16.03	17358.51	52.83	57.76	226.14	92.84	COPPER	copR
arsB_pI258	624	2113.63	606.0	1318908	34.66	14.52	21629.56	75.08	85.58	206.44	58.87	ARSENIC	arsB_pI258
copB_Ehir	622	1311.54	423.5	815780	11.6	6.08	7212.46	33.49	24.93	154.67	62.87	COPPER/SILVER	copB_Ehir
srpB	622	3258.09	121.5	2026529	21.38	0.95	13298.07	38.9	41.81	198.12	10.09	EFFLUX	srpB
arsA	616	1603.77	158.5	987925	21.94	2.19	13513.83	44.58	36.39	135.49	24.5	ARSENIC	arsA
tbtB	614	3150.43	108.5	1934361	20.81	0.91	12779.93	39.38	42.79	195.02	8.99	EFFLUX	tbtB
