sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
N01_1_2	abaF	abaF	FOSFOMYCIN	2	8.13953	2.0	86.5669	0.0185574	Coverage	LOW
N01_1_2	acrF	acrF	EFFLUX	11	13.0435	2.46667	197.807	0.042404	Coverage	MODERATE
N01_1_2	adeD	adeD	EFFLUX	4	9.86667	4.0	198.527	0.0425582	Coverage	LOW
N01_1_2	adeE	adeE	EFFLUX	5	10.3182	1.73832	89.7391	0.0192374	Coverage	MODERATE
N01_1_2	alpha-1	alpha-1	INTIMIN	2	2.34043	2.0	39.5998	0.008489	Coverage	LOW
N01_1_2	arsA	arsA	ARSENIC	80	30.6507	13.6983	2549.57	0.546552	Coverage	HIGH
N01_1_2	arsB_R773	arsB_R773	ARSENIC	413	40.2326	80.3468	17876.1	3.83209	Coverage	HIGH
N01_1_2	arsB_pI258	arsB_pI258	ARSENIC	1409	93.2558	114.234	60986.4	13.0737	Coverage	HIGH
N01_1_2	arsB_pYV	arsB_pYV	ARSENIC	272	36.7442	56.0	11773.1	2.5238	Coverage	HIGH
N01_1_2	arsC_gluta	arsC_gluta	ARSENIC	1	15.493	1.0	131.07	0.0280974	Coverage	MODERATE
N01_1_2	arsC_thio	arsC_thio	ARSENIC	214	91.6667	47.9504	30173.8	6.46836	Coverage	HIGH
N01_1_2	arsD	arsD	ARSENIC	7	25.6198	5.25806	1076.72	0.230817	Coverage	HIGH
N01_1_2	arsP	arsP	ARSENIC	26	16.4557	20.0	1531.36	0.328277	Coverage	MODERATE
N01_1_2	arsR_pI258	arsR_pI258	ARSENIC	104	74.2857	42.9359	18434.6	3.95183	Coverage	HIGH
N01_1_2	arsR_pSX267	arsR_pSX267	ARSENIC	104	70.4762	44.9324	18434.6	3.95183	Coverage	HIGH
N01_1_2	bepE	bepE	EFFLUX	15	9.88593	4.76923	265.379	0.0568892	Coverage	LOW
N01_1_2	bepG	bepG	EFFLUX	10	7.81395	4.04762	173.134	0.0371147	Coverage	LOW
N01_1_2	bimA_Bm	bimA_Bm		3116	16.8865	1819.89	153020.0	32.8029	Coverage	MODERATE
N01_1_2	bind_CopB	bind_CopB	COPPER	2	10.6383	2.0	113.142	0.0242543	Coverage	MODERATE
N01_1_2	bonA	bonA		13	0.632191	6.28	30.5923	0.00655807	Coverage	LOW
N01_1_2	bont_F3	bont_F3		2	1.5625	2.0	29.0811	0.00623411	Coverage	LOW
N01_1_2	bont_F4	bont_F4		1	1.64319	1.0	14.5633	0.00312193	Coverage	LOW
N01_1_2	bont_F6	bont_F6		2	1.56863	2.0	29.1951	0.00625856	Coverage	LOW
N01_1_2	cadC_Sa	cadC_Sa	CADMIUM/LEAD/ZINC	19	39.0244	12.875	2875.01	0.616315	Coverage	HIGH
N01_1_2	capB	capB		185	27.7419	49.5349	7404.73	1.58735	Coverage	HIGH
N01_1_2	capC	capC		166	70.0	53.0	20597.2	4.41541	Coverage	HIGH
N01_1_2	capD	capD		5	4.34783	4.65217	175.916	0.0377111	Coverage	LOW
N01_1_2	cesB	cesB		206	5.33184	44.7552	1429.55	0.306452	Coverage	LOW
N01_1_2	cesC	cesC		171	26.0274	60.6447	10899.4	2.33651	Coverage	HIGH
N01_1_2	cesD	cesD		1	7.43494	1.0	69.1892	0.0148321	Coverage	LOW
N01_1_2	clpL	clpL		899	75.8865	61.2467	23733.5	5.08774	Coverage	HIGH
N01_1_2	cnrA	cnrA	NICKEL	8	13.5562	2.07534	138.25	0.0296366	Coverage	MODERATE
N01_1_2	copA_Ehir	copA_Ehir	COPPER	1912	45.7418	195.517	48881.8	10.4788	Coverage	HIGH
N01_1_2	copB_Ehir	copB_Ehir	COPPER/SILVER	700	24.2627	121.961	17464.2	3.74381	Coverage	HIGH
N01_1_2	copR	copR	COPPER	129	37.931	41.7159	10348.8	2.21848	Coverage	HIGH
N01_1_2	copS	copS	COPPER	77	6.7623	63.6061	2936.71	0.629543	Coverage	LOW
N01_1_2	cueA	cueA	COPPER	712	24.1855	114.218	16606.1	3.55985	Coverage	HIGH
