sample_name	gene_name	gene_family	drug_class	read_count	percent_coverage	mean_depth	tpkm	rpm	evidence	confidence
N01_1_2	soxS	soxS	STRESS	14	3.04414	14.0	396.6	0.0850192	Coverage	LOW
N01_1_3	soxS	soxS	STRESS	7	3.04414	7.0	189.46	0.0364513	Coverage	LOW
N01_1_4	soxS	soxS	STRESS	195	3.04414	195.0	305.387	1.01238	Coverage	LOW
N01_2_2	soxS	soxS	STRESS	69	3.19635	65.7619	518.492	0.473973	Coverage	LOW
N01_2_3	ahpF	ahpF	STRESS	2	3.83877	2.0	10.4907	0.0151688	Coverage	LOW
N01_2_3	soxS	soxS	STRESS	46	3.04414	46.0	191.339	0.276664	Coverage	LOW
N01_2_4	clpB	clpB	STRESS	4	2.31482	4.0	3.97943	0.021795	Coverage	LOW
N01_2_4	fepA	fepA	STRESS	5	2.79627	5.0	5.72275	0.0313431	Coverage	LOW
N01_2_4	hslU	hslU	STRESS	2	4.28266	2.0	3.68118	0.0201616	Coverage	LOW
N02_1_2	soxS	soxS	STRESS	60	3.04414	60.0	960.173	0.385031	Coverage	LOW
N02_1_3	soxS	soxS	STRESS	2	3.04414	2.0	320.925	0.0170559	Coverage	LOW
N02_1_4	clpX	clpX	STRESS	4	5.22565	3.90909	38.3089	0.0285787	Coverage	LOW
N02_1_4	csgD	csgD	STRESS	2	26.6667	2.0	107.52	0.080211	Coverage	LOW
N02_1_4	soxS	soxS	STRESS	76	3.04414	76.0	466.412	0.347947	Coverage	LOW
N02_2_2	soxS	soxS	STRESS	7	3.04414	7.0	162.196	0.0518039	Coverage	LOW
N02_2_3	soxS	soxS	STRESS	2	3.04414	2.0	20.2965	0.0129662	Coverage	LOW
N02_2_4	fepA	fepA	STRESS	10	2.79627	9.90476	16.7322	0.0524153	Coverage	LOW
N02_2_4	soxS	soxS	STRESS	4	3.04414	4.0	7.65047	0.0239658	Coverage	LOW
N03_1_4	soxS	soxS	STRESS	26	3.04414	26.0	219.018	0.140449	Coverage	LOW
N03_2_3	soxS	soxS	STRESS	6	3.04414	6.0	542.301	0.0445489	Coverage	LOW
N03_2_4	soxS	soxS	STRESS	2	3.04414	2.0	16.5543	0.0160811	Coverage	LOW
N04_1_2	dinB	dinB	STRESS	2	5.66572	2.0	83.6399	0.0398319	Coverage	LOW
N04_1_4	csgD	csgD	STRESS	4	26.6667	4.0	353.536	0.432427	Coverage	LOW
N04_2_3	clpX	clpX	STRESS	2	4.98812	2.0	74.8323	0.0374107	Coverage	LOW
N05_1_2	soxS	soxS	STRESS	4	3.04414	4.0	125.834	0.0712189	Coverage	LOW
N05_1_4	soxS	soxS	STRESS	2	3.04414	2.0	17.8828	0.0206558	Coverage	LOW
N05_2_3	soxS	soxS	STRESS	2	3.04414	2.0	13.8488	0.0210092	Coverage	LOW
N06_1_2	soxS	soxS	STRESS	78	3.04414	78.0	595.305	0.652905	Coverage	LOW
N06_1_3	bgaA	bgaA	STRESS	1	2.98954	1.0	9.39048	0.013708	Coverage	LOW
N06_1_4	soxS	soxS	STRESS	4	3.04414	4.0	23.1922	0.0759231	Coverage	LOW
N07_1_3	soxS	soxS	STRESS	14	3.04414	14.0	227.565	0.208505	Coverage	LOW
N07_1_4	soxS	soxS	STRESS	2	3.04414	2.0	31.3705	0.0349564	Coverage	LOW
N07_2_2	soxS	soxS	STRESS	2	3.04414	2.0	90.6956	0.035674	Coverage	LOW
N07_2_3	soxS	soxS	STRESS	2	3.04414	2.0	6.26224	0.0313189	Coverage	LOW
N08_1_2	soxS	soxS	STRESS	42	3.04414	42.0	353.291	0.361656	Coverage	LOW
N08_1_4	soxS	soxS	STRESS	12	3.04414	12.0	90.3571	0.134885	Coverage	LOW
N08_2_2	soxS	soxS	STRESS	6	3.04414	6.0	106.323	0.0727402	Coverage	LOW
N09_1_2	soxS	soxS	STRESS	8	3.04414	8.0	152.769	0.150407	Coverage	LOW
N09_2_2	soxS	soxS	STRESS	2	3.04414	2.0	66.8778	0.0244335	Coverage	LOW
N09_2_4	fepA	fepA	STRESS	3	3.06258	2.69565	6.31493	0.0535865	Coverage	LOW
N10_1_2	soxS	soxS	STRESS	4	3.04414	4.0	128.961	0.0651824	Coverage	LOW
N10_1_3	clpB	clpB	STRESS	2	2.33372	2.0	9.96141	0.0187915	Coverage	LOW
