sample_name	total_genes	amr_genes	stress_genes	unique_amr_genes	unique_stress_genes	total_amr_reads	total_stress_reads	total_amr_rpm	total_stress_rpm	high_conf_amr	num_drug_classes	soxS_rpm	recA_rpm
N01_1_2	97	96	1	96	1	18867	14	165.61104774	0.0850192	33	17	0.0850192	0.0
N01_1_3	135	134	1	134	1	18423	7	157.73941759	0.0364513	56	19	0.0364513	0.0
N01_1_4	133	132	1	132	1	309312	195	2426.95229683	1.01238	92	17	1.01238	0.0
N01_2_2	130	129	1	129	1	73667	69	737.4780004400001	0.473973	67	20	0.473973	0.0
N01_2_3	160	158	2	158	2	131104	48	1081.0418055300001	0.2918328	105	19	0.276664	0.0
N01_2_4	179	176	3	176	3	415079	11	4014.3177633200003	0.0732997	120	21	0.0	0.0
N02_1_2	130	129	1	129	1	30840	60	333.82678983	0.385031	66	19	0.385031	0.0
N02_1_3	73	72	1	72	1	3462	2	47.83215940999998	0.0170559	16	14	0.0170559	0.0
N02_1_4	78	75	3	75	3	100525	82	619.50309264	0.4567367	33	16	0.347947	0.0
N02_2_2	169	168	1	168	1	21593	7	250.08001927	0.0518039	97	21	0.0518039	0.0
N02_2_3	162	161	1	161	1	60248	2	480.65159825	0.0129662	88	19	0.0129662	0.0
N02_2_4	163	161	2	161	2	338392	14	2384.6549954800003	0.0763811	110	22	0.0239658	0.0
N03_1_4	82	81	1	81	1	93147	26	563.08441332	0.140449	38	16	0.140449	0.0
N03_2_2	103	103	0	103	0	12793	0	184.96534477999998	0.0	46	20	0.0	0.0
N03_2_3	114	113	1	113	1	5992	6	63.8487861	0.0445489	56	18	0.0445489	0.0
N03_2_4	123	122	1	122	1	84856	2	804.86079931	0.0160811	77	18	0.0160811	0.0
N04_1_2	124	123	1	123	1	25925	2	441.9651423600001	0.0398319	60	22	0.0	0.0
N04_1_3	137	137	0	137	0	21321	0	1007.0854406999999	0.0	90	21	0.0	0.0
N04_1_4	92	91	1	91	1	66759	4	1024.15102491	0.432427	45	19	0.0	0.0
N04_2_2	119	119	0	119	0	14447	0	325.1930898099999	0.0	44	20	0.0	0.0
N04_2_3	117	116	1	116	1	25344	2	472.84389293	0.0374107	44	18	0.0	0.0
N04_2_4	88	88	0	88	0	75010	0	1148.50300087	0.0	38	15	0.0	0.0
N05_1_2	114	113	1	113	1	19320	4	529.72252202	0.0712189	39	18	0.0712189	0.0
N05_1_3	95	95	0	95	0	9921	0	434.92882606000006	0.0	29	14	0.0	0.0
N05_1_4	82	81	1	81	1	83267	2	1015.2040971	0.0206558	46	14	0.0206558	0.0
N05_2_2	136	136	0	136	0	29304	0	498.63915297000005	0.0	60	20	0.0	0.0
N05_2_3	165	164	1	164	1	99529	2	1247.54737705	0.0210092	92	22	0.0210092	0.0
N05_2_4	133	133	0	133	0	96620	0	1492.50122001	0.0	83	19	0.0	0.0
N06_1_2	115	114	1	114	1	71689	78	919.4988217999999	0.652905	50	21	0.652905	0.0
N06_1_3	134	133	1	133	1	62606	1	1184.2229997000002	0.013708	79	19	0.0	0.0
N06_1_4	123	122	1	122	1	115332	4	2639.60971967	0.0759231	78	17	0.0759231	0.0
N07_1_2	76	76	0	76	0	19144	0	684.5381521000002	0.0	31	17	0.0	0.0
N07_1_3	112	111	1	111	1	36196	14	830.2312926400001	0.208505	44	17	0.208505	0.0
N07_1_4	66	65	1	65	1	44345	2	1024.3157371	0.0349564	32	14	0.0349564	0.0
N07_2_2	109	108	1	108	1	12463	2	370.60295947	0.035674	35	19	0.035674	0.0
N07_2_3	157	156	1	156	1	135978	2	3492.7636008700006	0.0313189	99	20	0.0313189	0.0
N07_2_4	143	143	0	143	0	205152	0	10239.08916705	0.0	84	20	0.0	0.0
N08_1_2	116	115	1	115	1	70024	42	895.5941268800002	0.361656	45	20	0.361656	0.0
N08_1_3	114	114	0	114	0	34809	0	708.3301164200001	0.0	50	19	0.0	0.0
N08_1_4	69	68	1	68	1	96111	12	1389.99538329	0.134885	32	14	0.134885	0.0
N08_2_2	123	122	1	122	1	37172	6	586.23496227	0.0727402	81	18	0.0727402	0.0
N08_2_3	124	124	0	124	0	47779	0	748.6301394300001	0.0	71	17	0.0	0.0
N08_2_4	123	123	0	123	0	218794	0	5442.615252999999	0.0	86	19	0.0	0.0
N09_1_2	100	99	1	99	1	27989	8	921.9750436600001	0.150407	51	15	0.150407	0.0
N09_1_3	126	126	0	126	0	17697	0	396.07286758	0.0	57	19	0.0	0.0
N09_1_4	49	49	0	49	0	15236	0	334.9469435799999	0.0	4	10	0.0	0.0
N09_2_2	105	104	1	104	1	17440	2	345.430588	0.0244335	40	17	0.0244335	0.0
N09_2_3	78	78	0	78	0	16571	0	331.12725256000016	0.0	14	13	0.0	0.0
N09_2_4	130	129	1	129	1	247494	3	6466.41913946	0.0535865	84	17	0.0	0.0
N10_1_2	114	113	1	113	1	17734	4	472.12293386	0.0651824	36	19	0.0651824	0.0
N10_1_3	148	145	3	145	3	105456	15	1409.07204417	0.1788919	84	21	0.147071	0.0
N10_1_4	106	104	2	104	2	89297	54	1890.7293714000002	0.9181711	51	14	0.895561	0.0
N10_2_2	94	93	1	93	1	22533	2	369.48867225	0.0216319	40	18	0.0216319	0.0
N10_2_3	125	124	1	124	1	71139	2	937.5351990699999	0.0239916	57	16	0.0239916	0.0
N10_2_4	96	96	0	96	0	54263	0	1237.2083279	0.0	40	15	0.0	0.0
N11_1_2	132	132	0	132	0	38507	0	609.45169971	0.0	69	21	0.0	0.0
N11_1_3	80	80	0	80	0	14232	0	413.83481631999996	0.0	22	16	0.0	0.0
N11_1_4	76	75	1	75	1	94533	22	1813.0081731999999	0.300751	37	14	0.300751	0.0
N11_2_2	129	128	1	128	1	45260	6	662.0351664500001	0.063285	62	18	0.063285	0.0
N11_2_3	163	163	0	163	0	67291	0	2623.11168686	0.0	104	20	0.0	0.0
N11_2_4	156	156	0	156	0	167826	0	4898.6499148	0.0	103	19	0.0	0.0
N12_1_2	143	142	1	142	1	91467	2	1654.14594764	0.0216165	68	22	0.0216165	0.0
N12_1_3	132	132	0	132	0	54422	0	843.0837333300001	0.0	86	22	0.0	0.0
N12_1_4	131	131	0	131	0	54161	0	857.53790284	0.0	78	19	0.0	0.0
N13_1_2	60	60	0	60	0	15465	0	397.32244949	0.0	15	17	0.0	0.0
N13_1_3	161	160	1	160	1	22772	2	375.58410299999997	0.0342431	80	21	0.0	0.0
N13_1_4	71	71	0	71	0	33385	0	602.42612911	0.0	31	14	0.0	0.0
N13_2_2	147	147	0	147	0	54486	0	849.0591102400001	0.0	91	21	0.0	0.0
N13_2_3	124	124	0	124	0	15880	0	412.0020937200001	0.0	57	17	0.0	0.0
N13_2_4	138	134	4	134	4	329331	7	4133.91474532	0.07153222000000001	78	18	0.0	0.0
N14_1_2	124	123	1	123	1	24400	3	427.08669430000003	0.0299798	58	20	0.0299798	0.0
N14_1_3	114	114	0	114	0	11891	0	261.5884522	0.0	46	15	0.0	0.0
