antibiotic	n_exposed	n_unexposed	mean_amr_exposed	mean_amr_unexposed	spearman_rho	spearman_pvalue	mannwhitney_pvalue	spearman_fdr	mannwhitney_fdr
Piperacillin_Tazobactam	32	574	3158.98146775875	2054.7918380062	0.07895044736639033	0.052070706172106594	0.05320093203702684	0.5250562433224677	0.5551172282631976
Vancomycin	21	585	2960.7493478576193	2082.670402869793	0.07099119005056787	0.08077788358807196	0.08540265050203041	0.5250562433224677	0.5551172282631976
Azithromycin	17	589	2306.4398071517653	2107.5185827882156	0.042608238171257695	0.2950074090046949	0.30138353723584466	0.7277369696344905	0.7327417073822053
Gentamicin	47	559	2543.9546755604256	2076.873080916814	0.0381901986095437	0.3479710624396344	0.3544462155451764	0.7277369696344905	0.7327417073822053
Cefotaxime	102	504	2060.150335847157	2123.814658189343	0.025681821620558563	0.5280340476528893	0.5837712911117092	0.8189164197103223	0.7935581168925809
Meropenem	33	573	2064.7787267778785	2115.8817172777817	0.02316053416292764	0.5693265508281056	0.5728161235345568	0.8189164197103223	0.7935581168925809
Ceftazidime	6	600	2012.6118323916664	2114.103751649148	0.01800655326384122	0.6582075937592977	0.6586839116490029	0.8189164197103223	0.7935581168925809
Ampicillin	61	545	2275.4305676047543	2094.9296465320167	0.014842391863021883	0.7153787596586236	0.6714722527552608	0.8189164197103223	0.7935581168925809
Fluconazole	59	547	2014.4688026844065	2123.737226006324	0.009319045127639512	0.8189164197103223	0.8329424734409726	0.8189164197103223	0.8329424734409726
Tobramycin	12	594	1905.8679778641672	2117.2853640563453	-0.01049372279882764	0.7965624810576518	0.8111192895162835	0.8189164197103223	0.8329424734409726
Penicillin	148	458	1958.6899734608785	2162.995209414037	-0.03484424146537752	0.39185836826472564	0.3945532270519567	0.7277369696344905	0.7327417073822053
Nafcillin	23	583	1585.2011502204348	2133.9250352122967	-0.05187633989115768	0.20221530017155626	0.2014731499385809	0.6571997255575578	0.7327417073822053
Moxalactam	119	487	2021.6686273933612	2135.440154669464	-0.053858034442428517	0.18548624839167102	0.22902356002279833	0.6571997255575578	0.7327417073822053
