gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
golS	0.19482997450980394	0.0582329	56.86274509803921	0.2264391626506024	0.0786408	62.65060240963856	0.14693094016928052	0.19000458155606936	15636.0	0.9916030004967268	False	False	False
cnrA	0.34280675838235297	0.135726	84.80392156862744	0.3907267068674699	0.190778	87.95180722891565	0.14824254791121502	0.20416149433546338	15634.0	0.9916030004967268	False	False	False
MerP_Gneg	0.6100839490196077	0.19324950000000002	64.70588235294117	0.6840913722891566	0.264248	71.08433734939759	0.14303218930348638	0.20535426686533598	15658.0	0.9916030004967268	False	False	False
virF_Yersin	0.01921512107843137	0.0	21.07843137254902	0.01753720843373494	0.0	15.66265060240964	-0.020449697685368258	0.2283110128275505	17770.0	0.9916030004967268	False	False	False
mrdH	0.42423768725490196	0.07627300000000001	71.07843137254902	0.4878961409638554	0.104666	77.10843373493977	0.16534023565483674	0.24350397007283786	15749.0	0.9916030004967268	False	False	False
ncrC	0.47362337450980396	0.0782828	69.6078431372549	0.5278632301204818	0.0956694	75.90361445783132	0.13034651204772196	0.2512679292398884	15770.0	0.9916030004967268	False	False	False
tbtM	0.26492382490196076	0.109896	72.05882352941177	0.30192162771084335	0.129258	75.90361445783132	0.1393188683078044	0.26527922917024715	15802.0	0.9916030004967268	False	False	False
merR_Ps	1.000485448529412	0.3184215	69.11764705882352	1.125572639759036	0.414649	73.49397590361446	0.15531592642998435	0.29361012970523914	15870.0	0.9916030004967268	False	False	False
merT	0.6678105794117647	0.260169	73.52941176470588	0.7287605445783134	0.305861	78.3132530120482	0.11020488245331683	0.29875831121381213	15876.0	0.9916030004967268	False	False	False
tbtB	1.4319511328431376	0.383305	98.0392156862745	1.644254808433735	0.429879	98.79518072289156	0.18724053277564962	0.30225571314266475	15876.0	0.9916030004967268	False	False	False
ttgB	1.9692637746078432	0.480151	97.54901960784314	2.2625674940963854	0.539894	97.59036144578313	0.19123798386838514	0.31999277246507196	15914.0	0.9916030004967268	False	False	False
adeD	0.06017499460784314	0.01794295	55.88235294117647	0.06755046987951807	0.0293305	60.24096385542169	0.06494679051541638	0.3205621572117997	15954.0	0.9916030004967268	False	False	False
emhB	1.460118389019608	0.339021	93.62745098039215	1.6722975985542172	0.422602	95.18072289156626	0.18396536534653155	0.32473179487357917	15924.0	0.9916030004967268	False	False	False
mepA	4.183459569607844	0.09317344999999999	69.6078431372549	3.9629447060240963	0.057236	66.26506024096386	-0.07625074076879972	0.3265067849670159	17920.0	0.9916030004967268	False	False	False
splE	1.4897061882352942	0.02110105	50.49019607843137	1.3746490132530118	0.0	45.78313253012048	-0.10838853512162118	0.33372920598807676	17851.0	0.9916030004967268	False	False	False
silA	1.7442899976470592	0.408244	91.66666666666666	1.995376524216868	0.49906	92.7710843373494	0.1841439850924378	0.34723948991826437	15970.0	0.9916030004967268	False	False	False
espX1	0.047897710343137265	0.0	39.21568627450981	0.05696067349397589	0.0	43.373493975903614	0.08580341932767171	0.3519110585214843	16082.0	0.9916030004967268	False	False	False
ttgE	0.5167707380392157	0.131315	87.25490196078431	0.592675168313253	0.149806	89.1566265060241	0.16744463572787194	0.35198882413065746	15980.0	0.9916030004967268	False	False	False
selV	1.4669225406862747	0.0	44.6078431372549	1.4111421192771083	0.0	39.75903614457831	-0.052294514449202516	0.36632110854707267	17764.0	0.9916030004967268	False	False	False
acrF	3.655085145	0.6545270000000001	98.52941176470588	4.220238976987952	0.764417	98.79518072289156	0.20226549764085913	0.36934100833429806	16013.0	0.9916030004967268	False	False	False
splB	3.236312619117647	0.0	49.01960784313725	2.9586136626506025	0.0	44.57831325301205	-0.12537658873297663	0.3727451448327701	17774.0	0.9916030004967268	False	False	False
emhC	0.33078741769607845	0.135861	76.47058823529412	0.3742243742168675	0.14412	79.51807228915662	0.13859370375138813	0.3735468020688345	16026.0	0.9916030004967268	False	False	False
srpB	1.564130842156863	0.4476875	100.0	1.7822226843373496	0.538124	100.0	0.17766845259652891	0.37615545020800223	16026.0	0.9916030004967268	False	False	False
adeE	1.0128437218627453	0.28492799999999996	91.66666666666666	1.1669088160240964	0.309726	91.56626506024097	0.18706168497008258	0.37654454520531555	16027.0	0.9916030004967268	False	False	False
bepE	0.5911325970588235	0.2218975	96.07843137254902	0.6569496012048193	0.276503	95.18072289156626	0.131234721655843	0.3803690333366214	16034.0	0.9916030004967268	False	False	False
mexX	0.10583635980392156	0.0463854	70.58823529411765	0.10433686626506025	0.05366	73.49397590361446	-0.010548331252167148	0.3803818542435011	16044.0	0.9916030004967268	False	False	False
dpsA	0.29115731960784313	0.08799024999999999	62.254901960784316	0.33123241927710845	0.104024	65.06024096385542	0.14071667945092703	0.3918896146747177	16077.0	0.9916030004967268	False	False	False
bepG	0.5206217118627452	0.206309	98.0392156862745	0.5806792609638554	0.248032	97.59036144578313	0.133260985086674	0.3943389416224178	16060.0	0.9916030004967268	False	False	False
mdsB	1.1256785752941179	0.3807545	100.0	1.2588237756626508	0.417704	100.0	0.1487776736927484	0.4008840013614202	16072.0	0.9916030004967268	False	False	False
blaEC-5	0.47282188725490193	0.0	42.64705882352941	0.5643534506024096	0.0	46.98795180722892	0.21386437286026053	0.4066356738937674	16158.0	0.9916030004967268	False	False	False
sdeB	1.0458065007843138	0.180106	97.05882352941177	1.1940914166265058	0.23392	97.59036144578313	0.1755761070468195	0.40970506411941676	16088.0	0.9916030004967268	False	False	False
blaEC	0.466919866372549	0.0	44.11764705882353	0.5571394614457831	0.0	48.19277108433735	0.213054753152436	0.41368096841435253	16164.0	0.9916030004967268	False	False	False
nirD	0.015184650980392157	0.0	5.392156862745098	0.008614939759036143	0.0	3.614457831325301	-0.08472592565349303	0.41973944440356814	17232.0	0.9916030004967268	False	False	False
ranB	0.11467228921568627	0.0355358	54.41176470588235	0.12867403493975904	0.0457334	57.831325301204814	0.09115658836617944	0.42150618229748027	16145.0	0.9916030004967268	False	False	False
splA	2.4244761990196078	0.0	42.64705882352941	2.325724442168675	0.0	38.55421686746988	-0.057568403333793886	0.4315492535844102	17649.0	0.9916030004967268	False	False	False
blaEC-8	0.46769702078431374	0.0	43.13725490196079	0.5581170795180722	0.0	46.98795180722892	0.21322309279684196	0.43327393706195505	16200.0	0.9916030004967268	False	False	False
bind_CopB	0.054648592647058826	0.0236924	64.2156862745098	0.06080784457831325	0.0260877	68.67469879518072	0.05634408174328787	0.43717665086994983	16152.0	0.9916030004967268	False	False	False
ttgA	0.5378281889215686	0.0557328	73.52941176470588	0.6205378746987953	0.0727431	75.90361445783132	0.1759064077645538	0.4412167151467764	16150.0	0.9916030004967268	False	False	False
ireA	0.13474318098039215	0.0244286	63.23529411764706	0.15336105843373493	0.0342539	66.26506024096386	0.11011154959691974	0.44407173787313714	16166.0	0.9916030004967268	False	False	False
inlK	0.018830502549019607	0.0	48.529411764705884	0.01595310855421687	0.0	45.78313253012048	-0.0353637111193066	0.445962131968331	17653.0	0.9916030004967268	False	False	False
ttgD	0.4155335700980392	0.0440383	66.66666666666666	0.4806166771084337	0.0548422	69.87951807228916	0.17151963632657552	0.45765541786459385	16184.0	0.9916030004967268	False	False	False
cnrT	0.014517802450980392	0.0	24.509803921568626	0.01703991807228916	0.0	27.710843373493976	0.03142877370824166	0.4592992583390135	16348.0	0.9916030004967268	False	False	False
tbtA	0.3479444985294118	0.0492061	68.62745098039215	0.40370425662650605	0.056484	71.08433734939759	0.16925693300754382	0.46235857525378277	16190.0	0.9916030004967268	False	False	False
silC	1.129056395147059	0.13257049999999998	78.43137254901961	1.2969781096385544	0.162215	81.92771084337349	0.18475829902075983	0.47045645801016034	16196.0	0.9916030004967268	False	False	False
arsC_gluta	1.64789063872549	0.264317	74.01960784313727	1.9215130024096387	0.301583	75.90361445783132	0.20982056134559693	0.47353667946833633	16204.0	0.9916030004967268	False	False	False
mexA	0.598644950490196	0.076222	70.58823529411765	0.6775146457831326	0.0866629	73.49397590361446	0.15431038301788724	0.4794481193623046	16216.0	0.9916030004967268	False	False	False
iss	0.10883584509803922	0.0	18.627450980392158	0.128173556626506	0.0	21.686746987951807	0.1277622443492434	0.4829140005888216	16430.0	0.9916030004967268	False	False	False
selX	1.7279931725490194	0.0	44.11764705882353	1.603640706024096	0.0	40.963855421686745	-0.10163957550320978	0.4879067135084487	17572.0	0.9916030004967268	False	False	False
tccP2	0.020864274019607842	0.0	38.72549019607843	0.017760844578313256	0.0	36.144578313253014	-0.03752794131570717	0.4927550609493573	17543.0	0.9916030004967268	False	False	False
adeC	0.022182809607843135	0.0	22.54901960784314	0.026816157590361447	0.0	25.301204819277107	0.05369724947141221	0.4931071250926503	16408.0	0.9916030004967268	False	False	False
srpC	0.4153763779411765	0.16628900000000002	83.82352941176471	0.4618750795180723	0.206227	84.33734939759037	0.12462300140674593	0.49640734536385267	16237.0	0.9916030004967268	False	False	False
espF	0.14930200573529412	0.0674352	90.19607843137256	0.1662636590361446	0.0681606	91.56626506024097	0.09496104598326675	0.5027051660848778	16246.0	0.9916030004967268	False	False	False
terB	0.05727891617647059	0.0	13.23529411764706	0.07001978795180723	0.0	15.66265060240964	0.11237738080336111	0.5050323671219068	16516.0	0.9916030004967268	False	False	False
silB	0.9070443	0.07046025	72.05882352941177	1.032193091566265	0.0839169	74.69879518072288	0.168992876670381	0.5081751922963886	16261.0	0.9916030004967268	False	False	False
aafC	0.09319437848039216	0.0	34.31372549019608	0.11050442060240964	0.0	37.34939759036144	0.12379741465066786	0.5217791214059508	16370.0	0.9916030004967268	False	False	False
ncrA	0.19078048578431375	0.0386878	57.84313725490197	0.18569662891566263	0.0472478	61.44578313253012	-0.025446440293661467	0.5255608942589503	16304.0	0.9916030004967268	False	False	False
arsH	0.3897438774509804	0.05481	57.84313725490197	0.43126263734939757	0.0648991	60.24096385542169	0.11739779778302478	0.5276060613671865	16308.0	0.9916030004967268	False	False	False
sslE	0.11514897029411765	0.03900745	86.76470588235294	0.11637821024096384	0.0344855	86.74698795180723	0.008219288388512118	0.528276652333987	17577.0	0.9916030004967268	False	False	False
hlyE	0.019402352450980393	0.0	12.254901960784313	0.02353438674698795	0.0	14.457831325301203	0.04908142228756363	0.5387531844223581	16561.0	0.9916030004967268	False	False	False
emhA	0.4747838539215687	0.06578505	68.62745098039215	0.5505477481927711	0.0712366	69.87951807228916	0.17863541412660225	0.545443814214515	16322.0	0.9916030004967268	False	False	False
sodC1	0.007077192156862745	0.0	11.27450980392157	0.00846892530120482	0.0	13.253012048192772	0.0186305782939649	0.5542839950667094	16588.0	0.9916030004967268	False	False	False
aggC	0.06761264852941176	0.0	29.901960784313726	0.07975213469879516	0.0	32.53012048192771	0.10087788087560541	0.5628941893232506	16446.0	0.9916030004967268	False	False	False
hblD	0.0008062034313725489	0.0	1.9607843137254901	0.00026461927710843376	0.0	1.2048192771084338	-0.007771815448814257	0.5629259648719258	17062.0	0.9916030004967268	False	False	False
arsP	1.883685880392157	0.42349400000000004	88.23529411764706	1.8475768903614458	0.382953	87.95180722891565	-0.02650330387591001	0.5668314346512173	17518.0	0.9916030004967268	False	False	False
copC_Psyr	0.016939207843137256	0.0	17.15686274509804	0.01980685060240964	0.0	19.27710843373494	0.034951680835133815	0.5677771833383732	16539.0	0.9916030004967268	False	False	False
qacR	38.093762406862744	13.236699999999999	97.54901960784314	36.27042309638554	12.0084	97.59036144578313	-0.07057133582453534	0.568477845640907	17516.0	0.9916030004967268	False	False	False
gyrA	0.0025147412254901956	0.0	19.11764705882353	0.0028205677108433737	0.0	21.686746987951807	0.004297504236637159	0.5715815263949635	16525.0	0.9916030004967268	False	False	False
copR	13.788350088235296	11.55715	99.01960784313727	14.414302156626507	12.238	98.79518072289156	0.06359998943474665	0.5724634807118734	16354.0	0.9916030004967268	False	False	False
iota-1	0.0012682214215686274	0.0	11.27450980392157	0.0009061274698795181	0.0	9.63855421686747	-0.005167734777996916	0.586644606575591	17229.0	0.9916030004967268	False	False	False
seb	0.09023639264705884	0.0	26.47058823529412	0.07378516626506024	0.0	24.096385542168676	-0.13048831972148459	0.5883814385454178	17356.0	0.9916030004967268	False	False	False
abaF	0.008911272647058823	0.0	18.137254901960784	0.009283097590361446	0.0	15.66265060240964	0.004916996900103375	0.5915638236264926	17292.0	0.9916030004967268	False	False	False
cnf1	0.0066767429411764695	0.0	13.725490196078432	0.00807554313253012	0.0	15.66265060240964	0.018794404253168168	0.5933444132005403	16596.0	0.9916030004967268	False	False	False
sek	0.15121158725490197	0.0	27.450980392156865	0.1290352012048193	0.0	25.301204819277107	-0.13333366265738214	0.5956818199173478	17354.0	0.9916030004967268	False	False	False
mco	11.862719325490197	2.5865150000000003	97.05882352941177	11.191890857831327	2.17792	97.59036144578313	-0.08325828589662357	0.5966343896712367	17474.0	0.9916030004967268	False	False	False
sab	0.1355588268137255	0.037336999999999995	75.98039215686273	0.14822109771084338	0.0422445	77.10843373493977	0.07553835006512817	0.5990107900889673	16397.0	0.9916030004967268	False	False	False
ncrY	0.047249887254901965	0.0	7.352941176470589	0.032641279518072296	0.0	6.024096385542169	-0.150736700519589	0.6030674134715217	17164.0	0.9916030004967268	False	False	False
arsR_pSX267	11.062342916666667	2.80259	97.54901960784314	11.385444728915664	2.47915	97.59036144578313	0.04116684751878544	0.6157527297897358	17446.0	0.9916030004967268	False	False	False
arsR_pI258	11.92049036764706	2.88508	97.54901960784314	12.397316512048192	2.55663	97.59036144578313	0.056122594254255406	0.6240274447220688	17434.0	0.9916030004967268	False	False	False
merB1	0.056648272549019614	0.0	9.313725490196079	0.06887917831325302	0.0	10.843373493975903	0.10846260397327145	0.626126526400428	16672.0	0.9916030004967268	False	False	False
nreB	0.01988152549019608	0.0	30.392156862745097	0.02278573373493976	0.0	32.53012048192771	0.034533598819576496	0.6265441713350804	16522.0	0.9916030004967268	False	False	False
iroD	0.3086636950980392	0.0	26.47058823529412	0.35107885301204816	0.0	24.096385542168676	0.14246557000359766	0.6277074050977274	17312.0	0.9916030004967268	False	False	False
ttgR	0.11656282892156862	0.0	32.35294117647059	0.1331865734939759	0.0	34.93975903614458	0.10669908442467689	0.6305623714920754	16518.0	0.9916030004967268	False	False	False
chrA	0.006675461274509804	0.0	16.176470588235293	0.00744272530120482	0.0	18.072289156626507	0.010339455624463225	0.6355815638252467	16614.0	0.9916030004967268	False	False	False
terE	0.16261678137254904	0.0	47.05882352941176	0.17389805180722892	0.0	49.39759036144578	0.0606798961524173	0.6357482809976492	16482.0	0.9916030004967268	False	False	False
aadA1	0.005934194117647059	0.0	4.901960784313726	0.007292624096385541	0.0	6.024096385542169	0.018382553612697153	0.6364783910903256	16742.0	0.9916030004967268	False	False	False
merT_pI258	0.0661513950980392	0.0	4.901960784313726	0.08129448554216867	0.0	6.024096385542169	0.12583663636978937	0.6364783910903256	16742.0	0.9916030004967268	False	False	False
espC	0.02556354299019608	0.0	18.627450980392158	0.03096132325301205	0.0	20.481927710843372	0.06072316149125216	0.6412137910258625	16602.0	0.9916030004967268	False	False	False
arsC_thio	22.015578245098038	6.31349	97.05882352941177	22.175112578313254	5.70535	97.59036144578313	0.01036975897533357	0.6449201393792826	17404.0	0.9916030004967268	False	False	False
nheC	0.006109809803921569	0.0	8.333333333333332	0.007397572289156626	0.0	9.63855421686747	0.01740334279968116	0.6543243334751975	16705.0	0.9916030004967268	False	False	False
terD	0.26073713970588236	0.02053155	50.49019607843137	0.29533201445783136	0.0331012	53.01204819277109	0.13211682755800075	0.6550189872153804	16501.0	0.9916030004967268	False	False	False
cadR	0.036094110294117646	0.0	11.76470588235294	0.043580561445783136	0.0	13.253012048192772	0.07725581102667017	0.6556752771351613	16670.0	0.9916030004967268	False	False	False
