gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
bimA_Bm	318.5985660098522	264.602	100.0	268.7133786516854	252.617	100.0	-0.24558758588204047	0.29097245696928065	19200.0	0.9996260039675422	False	False	False
sek	0.6759487206896553	0.0	17.24137931034483	0.6196226235955057	0.0	13.48314606741573	-0.10872077073815119	0.30786526431343697	18756.0	0.9996260039675422	False	False	False
virF_Yersin	0.09780630197044335	0.0	16.748768472906402	0.0872221	0.0	13.48314606741573	-0.07933764705110499	0.3824446634657698	18653.0	0.9996260039675422	False	False	False
selV	5.873946292610836	0.0	24.63054187192118	5.152229198876404	0.0	21.34831460674157	-0.18575439298213714	0.4215297327501887	18704.0	0.9996260039675422	False	False	False
sec2	0.34840619310344834	0.0	18.7192118226601	0.3080802449438202	0.0	15.730337078651685	-0.13595333207166352	0.4355132495193045	18619.0	0.9996260039675422	False	False	False
sodC1	0.46709423497536945	0.0	42.364532019704434	0.4318133685393259	0.0	38.20224719101123	-0.0926684464627408	0.4436710631581049	18797.0	0.9996260039675422	False	False	False
mdsA	0.13816696	0.0	42.364532019704434	0.049958021797752813	0.0	38.20224719101123	-0.6674145882117999	0.4537318098485299	18781.0	0.9996260039675422	False	False	False
merR_Ps	29.332372361576354	0.0	41.87192118226601	26.907575367415728	0.0	38.20224719101123	-0.12403970744940832	0.4624816237777224	18766.0	0.9996260039675422	False	False	False
seh	0.0020331182266009854	0.0	3.4482758620689653	0.0011373820224719101	0.0	2.247191011235955	-0.012721163269145432	0.4824524315669453	18286.0	0.9996260039675422	False	False	False
cnrC	0.02555985596059113	0.0	9.852216748768473	0.010822014831460674	0.0	7.865168539325842	-0.18013077728269078	0.48245327942180116	18440.0	0.9996260039675422	False	False	False
merC	5.731516814285714	0.0	32.01970443349754	4.367582650561798	0.0	29.213483146067414	-0.38437676684898453	0.48305253466586073	18682.0	0.9996260039675422	False	False	False
merT	20.920494187684728	0.0	40.88669950738916	19.659529208988765	0.0	37.07865168539326	-0.08924801352966134	0.485298899746316	18726.0	0.9996260039675422	False	False	False
seb	0.3811917458128079	0.0	18.226600985221676	0.3373435471910113	0.0	15.730337078651685	-0.1378448875973951	0.4906025515697283	18552.0	0.9996260039675422	False	False	False
terW	3.2161554679802955	0.0	19.704433497536947	3.305947483146068	0.0	16.853932584269664	0.038544545201050995	0.4913062990479622	18566.0	0.9996260039675422	False	False	False
arsN2	0.013311491625615764	0.0	14.77832512315271	0.01214032359550562	0.0	12.359550561797752	-0.0149890432797919	0.511164570612486	18488.0	0.9996260039675422	False	False	False
sed	1.1710299256157637	0.0	23.15270935960591	1.1728547808988763	0.0	20.224719101123593	0.002069834463907954	0.5131321587798563	18574.0	0.9996260039675422	False	False	False
abaF	0.5607391915270936	0.0122852	52.21674876847291	0.5132602830337079	0.0	49.43820224719101	-0.10758140040713358	0.5138353238670508	18725.0	0.9996260039675422	False	False	False
inhA1	0.4106632110837438	0.0	7.389162561576355	0.45366523707865175	0.0	5.617977528089887	0.1166418134124749	0.5138786802538464	18368.0	0.9996260039675422	False	False	False
mchF	18.671807167980297	13.4537	100.0	17.82820066292135	12.9044	100.0	-0.06633684403625795	0.5306150986071312	18740.0	0.9996260039675422	False	False	False
cadR	0.17357180394088675	0.0	8.374384236453201	0.06668008539325841	0.0	6.741573033707865	-0.7148378002392152	0.5342362556116804	18374.0	0.9996260039675422	False	False	False
cvaB	18.946545985714284	13.5477	100.0	18.112714370786517	12.9044	100.0	-0.06458344103620016	0.5342886637297692	18734.0	0.9996260039675422	False	False	False
alpha-1	0.02843949738916256	0.0	13.30049261083744	0.015510121348314605	0.0	11.235955056179774	-0.15306965410801915	0.5345435537820058	18448.0	0.9996260039675422	False	False	False
mreA	7.916868126600986	0.0	21.67487684729064	5.902138230337078	0.0	19.101123595505616	-0.41756219798203287	0.5389913983477701	18532.0	0.9996260039675422	False	False	False
sepA	0.24752597349753694	0.0	44.33497536945813	0.24911736438202245	0.0	47.19101123595505	0.006591308940809505	0.5472409855431791	17475.0	0.9996260039675422	False	False	False
plcA	0.13973636256157634	0.0	5.911330049261084	0.1541683820224719	0.0	4.49438202247191	0.08433582381553176	0.5536484636112393	18313.0	0.9996260039675422	False	False	False
epeA	3.353693420197044	0.0	41.87192118226601	3.6037049578651685	0.0	44.9438202247191	0.1008291537242596	0.5591483988129868	17500.0	0.9996260039675422	False	False	False
mtrR	1.420569818226601	0.0	34.97536945812808	1.4240032550561799	0.0	31.46067415730337	0.0032539237967747813	0.565902487289139	18584.0	0.9996260039675422	False	False	False
terB	6.305413681773399	0.0	28.57142857142857	4.983285457303372	0.0	25.842696629213485	-0.333530498225445	0.5696298242432143	18546.0	0.9996260039675422	False	False	False
senB	31.440883361576354	0.0	28.078817733990146	35.85149530561798	0.0	30.337078651685395	0.18882871085319253	0.5862338589347394	17598.0	0.9996260039675422	False	False	False
entFM	0.5156266899507389	0.0	43.84236453201971	0.5215833935955057	0.0	40.44943820224719	0.01389218100636716	0.5963092438718047	18578.0	0.9996260039675422	False	False	False
iha	1.6156083814285715	0.160407	91.13300492610837	1.755984778988764	0.221815	92.13483146067416	0.11346460966793975	0.602421695324278	17508.0	0.9996260039675422	False	False	False
srpS	0.3282285039408867	0.0	9.35960591133005	0.2708693269662921	0.0	7.865168539325842	-0.20746987467564554	0.6104971650615667	18334.0	0.9996260039675422	False	False	False
merD	18.063197542857147	0.0	42.857142857142854	16.115673003370787	0.0	40.44943820224719	-0.16362930286332592	0.6110615491010702	18556.0	0.9996260039675422	False	False	False
f17a	0.6240011522167488	0.0	20.19704433497537	0.6790799741573033	0.0	17.97752808988764	0.10577943819613166	0.6111568727607354	18442.0	0.9996260039675422	False	False	False
blaEC-5	18.892495514285713	0.393257	59.11330049261084	20.65959134044944	0.737194	60.67415730337079	0.1283485635343187	0.6123866130226898	17541.0	0.9996260039675422	False	False	False
chrR_I	4.345898801970444	0.388562	74.38423645320196	4.315907534831461	0.359785	71.91011235955057	-0.009765146274170982	0.613476065312965	18604.0	0.9996260039675422	False	False	False
blaEC	18.045283133004926	0.364126	59.11330049261084	19.739542894382026	0.737194	60.67415730337079	0.12878421789875835	0.6137405217350163	17543.0	0.9996260039675422	False	False	False
bonA	0.4641034760098522	0.179669	92.11822660098522	0.4331147604494382	0.172319	91.01123595505618	-0.08151370005600854	0.6141686070798583	18608.0	0.9996260039675422	False	False	False
blaEC-8	18.11195163546798	0.378691	59.11330049261084	19.815628714606742	0.737194	60.67415730337079	0.1290154915401332	0.615095748860954	17545.0	0.9996260039675422	False	False	False
hlyE	2.96205874679803	0.0	23.645320197044335	3.2239568235955054	0.0	25.842696629213485	0.1183996806268964	0.6233910840139067	17668.0	0.9996260039675422	False	False	False
merA	1.2822483727093597	0.560032	100.0	1.187691788202247	0.480369	100.0	-0.10222955062557205	0.6261158867295773	18590.0	0.9996260039675422	False	False	False
merE	13.80984815862069	0.0	35.960591133004925	12.948028411235956	0.0	33.70786516853933	-0.0922748428130948	0.6309079583045386	18506.0	0.9996260039675422	False	False	False
splE	7.892182698029558	0.0	43.84236453201971	7.117290052808991	0.0	41.57303370786517	-0.14713232709836296	0.6338595677836181	18528.0	0.9996260039675422	False	False	False
ncrY	13.318694891625615	0.0	18.7192118226601	8.871663393258427	0.0	16.853932584269664	-0.5807969629313838	0.6343341502061206	18408.0	0.9996260039675422	False	False	False
splB	15.44495465270936	0.0	43.84236453201971	13.413297611235953	0.0	41.57303370786517	-0.202066633740103	0.6382866764567281	18522.0	0.9996260039675422	False	False	False
aafC	5.650075923054188	1.12612	68.96551724137932	6.20960026269663	1.37217	70.78651685393258	0.13396760256537804	0.6387475016442318	17570.0	0.9996260039675422	False	False	False
gyrA	0.03354349541871922	0.00320711	50.73891625615764	0.03764612179775281	0.00502829	51.68539325842697	0.04365425484309723	0.6407190832392439	17596.0	0.9996260039675422	False	False	False
pic_auto	6.0132357177832505	0.0	39.90147783251231	6.073003387078652	0.0	41.57303370786517	0.014036386486824088	0.6427705025442472	17624.0	0.9996260039675422	False	False	False
ncrB	26.358034891625614	0.0	22.167487684729064	19.995518303370787	0.0	20.224719101123593	-0.3968321249613386	0.6496776715524633	18416.0	0.9996260039675422	False	False	False
nirB	24.52747237635468	0.0	22.167487684729064	18.732520438202247	0.0	20.224719101123593	-0.3870424703919272	0.6496776715524633	18416.0	0.9996260039675422	False	False	False
terC	18.697250022660096	0.0173367	51.231527093596064	17.99932044494382	0.0	48.31460674157304	-0.05458608462765894	0.6517687522550537	18520.0	0.9996260039675422	False	False	False
tsh	1.8532755760098523	0.0	39.40886699507389	1.8667676013483148	0.0	41.57303370786517	0.009930990056839567	0.6527495328095556	17638.0	0.9996260039675422	False	False	False
sep	0.15775179901477834	0.0	9.852216748768473	0.17990795056179776	0.0	11.235955056179774	0.11896996897269708	0.661917917519411	17817.0	0.9996260039675422	False	False	False
see	0.13968201674876846	0.0	9.852216748768473	0.1593002775280899	0.0	11.235955056179774	0.11350208211962944	0.661917917519411	17817.0	0.9996260039675422	False	False	False
cpb2	0.6278739467980295	0.0	9.852216748768473	0.7160584898876404	0.0	11.235955056179774	0.16498393297222952	0.661917917519411	17817.0	0.9996260039675422	False	False	False
nirD	5.624726918226602	0.0	19.704433497536947	3.9013955168539325	0.0	17.97752808988764	-0.5167036366663827	0.6686822063166385	18381.0	0.9996260039675422	False	False	False
eatA	0.22916595009852217	0.0	45.812807881773395	0.24105614157303376	0.0	47.19101123595505	0.05119413536193994	0.6699966796947376	17646.0	0.9996260039675422	False	False	False
cnrA	0.24719383364532024	0.0	34.48275862068966	0.048550552134831476	0.0	31.46067415730337	-1.2247873575343813	0.6723855663131899	18447.0	0.9996260039675422	False	False	False
espC	2.7356828155172415	0.0	25.12315270935961	2.9719326369662924	0.0	26.96629213483146	0.11545041082857306	0.680515116301992	17726.0	0.9996260039675422	False	False	False
mtrA_Ngon	0.0022625762561576356	0.0	7.8817733990147785	0.0021115440449438203	0.0	6.741573033707865	-0.002132299935793358	0.6809445527018594	18267.0	0.9996260039675422	False	False	False
MerP_Gneg	14.323761109359603	0.0	35.467980295566505	13.017307838202248	0.0	33.70786516853933	-0.13697575233761125	0.6832851644154936	18439.0	0.9996260039675422	False	False	False
adeC	0.12285764344827586	0.0	19.704433497536947	0.13162758584269663	0.0	17.97752808988764	0.055684639736739754	0.6846575303173829	18365.0	0.9996260039675422	False	False	False
multi_CopA	19.15665658679803	2.17919	75.86206896551724	18.812778356179777	1.72879	73.03370786516854	-0.02599592275618226	0.6884173485185839	18494.0	0.9996260039675422	False	False	False
srpR	0.2739644738916256	0.0	45.812807881773395	0.2171814359550562	0.0	43.82022471910113	-0.23759288735606002	0.6898566287095405	18458.0	0.9996260039675422	False	False	False
mepA	14.9364089408867	0.164309	62.5615763546798	13.060714135955056	0.140247	61.79775280898876	-0.19222228185567283	0.693927043170119	18478.0	0.9996260039675422	False	False	False
tccP	0.03893334699507389	0.0	14.77832512315271	0.004108170449438202	0.0	13.48314606741573	-0.4163096224152364	0.6944450599619683	18323.0	0.9996260039675422	False	False	False
bind_CopB	1.865849654679803	0.212304	62.5615763546798	1.7947522943820224	0.194295	60.67415730337079	-0.05314373702046632	0.6949940519082825	18476.0	0.9996260039675422	False	False	False
