PC	variance_explained	cumulative_variance
PC1	0.30781045880561403	0.30781045880561403
PC2	0.08547031891363426	0.3932807777192483
PC3	0.07311131472661345	0.4663920924458618
PC4	0.04105348179454551	0.5074455742404073
PC5	0.03140931358077643	0.5388548878211837
PC6	0.028212872344510503	0.5670677601656943
PC7	0.026804868360887236	0.5938726285265815
PC8	0.026127299727880558	0.619999928254462
PC9	0.022853386181062557	0.6428533144355246
PC10	0.01774268418695114	0.6605959986224758
PC11	0.016744452943682778	0.6773404515661585
PC12	0.015155663683824247	0.6924961152499828
PC13	0.014486346579700018	0.7069824618296828
PC14	0.013639966497241187	0.720622428326924
PC15	0.012858245167724469	0.7334806734946485
PC16	0.012168637705398543	0.7456493112000471
PC17	0.011772800058256204	0.7574221112583033
PC18	0.01073022880162122	0.7681523400599245
PC19	0.010361924737882791	0.7785142647978073
PC20	0.009813598577354655	0.7883278633751619
PC21	0.00928577454952818	0.7976136379246901
PC22	0.00838849907680798	0.806002137001498
PC23	0.00788104929841104	0.8138831862999091
PC24	0.007519728260352637	0.8214029145602617
PC25	0.006934242778169331	0.828337157338431
PC26	0.006677088216201495	0.8350142455546326
PC27	0.006272607746318348	0.8412868533009509
PC28	0.006136921779932959	0.8474237750808838
PC29	0.005901707535806071	0.85332548261669
PC30	0.00575748622678662	0.8590829688434766
PC31	0.005530040239982093	0.8646130090834586
PC32	0.005406584058320878	0.8700195931417795
PC33	0.005247381128672615	0.8752669742704521
PC34	0.0051804345127973335	0.8804474087832495
PC35	0.004916798372279061	0.8853642071555285
PC36	0.004694408826890384	0.890058615982419
PC37	0.004432847205194227	0.8944914631876132
PC38	0.004271037309130338	0.8987625004967436
PC39	0.0041759944678861766	0.9029384949646297
PC40	0.004055846045797433	0.9069943410104272
PC41	0.003888259572125483	0.9108826005825527
PC42	0.003775832620179596	0.9146584332027322
PC43	0.003591629507542809	0.918250062710275
PC44	0.0034873774322505247	0.9217374401425255
PC45	0.003396086654663333	0.9251335267971887
PC46	0.0031915987840990087	0.9283251255812878
PC47	0.0031498261520844758	0.9314749517333722
PC48	0.003083292033535085	0.9345582437669073
PC49	0.0028894743315175174	0.9374477180984249
PC50	0.0027144750465016173	0.9401621931449264
PC51	0.002627107851259897	0.9427893009961863
PC52	0.0024500971345578367	0.9452393981307441
PC53	0.002352325591570999	0.947591723722315
PC54	0.00224143756176172	0.9498331612840768
PC55	0.0021596319943240024	0.9519927932784008
PC56	0.002097922634714679	0.9540907159131155
PC57	0.0019400121878400752	0.9560307281009556
PC58	0.0018778874067702969	0.9579086155077259
PC59	0.001782998940847888	0.9596916144485738
PC60	0.001747505788716637	0.9614391202372904
PC61	0.0016214293057134315	0.9630605495430038
PC62	0.0016038421601492667	0.9646643917031531
PC63	0.0015592025351055798	0.9662235942382587
PC64	0.0014696405157547437	0.9676932347540134
PC65	0.0013431026062070911	0.9690363373602204
PC66	0.0012538607439784293	0.9702901981041988
PC67	0.0011972905055930316	0.9714874886097918
PC68	0.0011714247209306432	0.9726589133307225
PC69	0.001091464886121519	0.9737503782168441
PC70	0.0010556917044185184	0.9748060699212626
PC71	0.0010074154498899096	0.9758134853711525
PC72	0.0009702500874168062	0.9767837354585693
PC73	0.0009339332593257414	0.9777176687178951
PC74	0.0008814762278357615	0.9785991449457309
PC75	0.0008631432951956072	0.9794622882409265
PC76	0.0008105144411905039	0.980272802682117
PC77	0.0007711522949094765	0.9810439549770265
