sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N01_1_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.9444	2	1
N01_1_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.9444	2	1
N01_1_3	Staphylococcus_aureus	UCMC	Groin	parE	1.8620999999999999	2	1
N01_1_3	Staphylococcus_aureus	ZCH	Groin	parE	1.8620999999999999	2	1
N01_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N01_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N01_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N01_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N01_1_4	Staphylococcus_aureus	UCMC	Stool	gyrA,parC,parE	2.0006	4	3
N01_1_4	Staphylococcus_aureus	ZCH	Stool	gyrA,parC,parE	2.0006	4	3
N01_2_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.9731999999999998	2	1
N01_2_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.9731999999999998	2	1
N01_2_2	Streptococcus_mitis	UCMC	Axilla	gyrA	0.6316	1	1
N01_2_2	Streptococcus_mitis	ZCH	Axilla	gyrA	0.6316	1	1
N01_2_2	Streptococcus_oralis	UCMC	Axilla	gyrA	0.5217	1	1
N01_2_2	Streptococcus_oralis	ZCH	Axilla	gyrA	0.5217	1	1
N01_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N01_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N01_2_3	Enterococcus_faecium	UCMC	Groin	gyrA	1.0	1	1
N01_2_3	Enterococcus_faecium	ZCH	Groin	gyrA	1.0	1	1
N01_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	1.0088	2	1
N01_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	1.0088	2	1
N01_2_3	Staphylococcus_aureus	UCMC	Groin	parC,parE	1.0337	2	2
N01_2_3	Staphylococcus_aureus	ZCH	Groin	parC,parE	1.0337	2	2
N01_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N01_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	1.0	1	1
N01_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N01_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N01_2_4	Klebsiella_oxytoca	UCMC	Stool	parC	0.0068	1	1
N01_2_4	Klebsiella_oxytoca	ZCH	Stool	parC	0.0068	1	1
N01_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.9985	2	1
N01_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.9985	2	1
N02_1_2	Staphylococcus_aureus	UCMC	Axilla	parC,parE	1.9531	2	2
N02_1_2	Staphylococcus_aureus	ZCH	Axilla	parC,parE	1.9531	2	2
N02_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9969	1	1
N02_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9969	1	1
N02_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N02_1_4	Enterococcus_faecium	ZCH	Stool	gyrA	1.0	1	1
N02_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0061	1	1
N02_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.0061	1	1
N02_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0	2	2
N02_1_4	Staphylococcus_aureus	ZCH	Stool	parC,parE	2.0	2	2
N02_2_2	Klebsiella_pneumoniae	UCMC	Axilla	gyrA	1.0	1	1
N02_2_2	Klebsiella_pneumoniae	ZCH	Axilla	gyrA	1.0	1	1
N02_2_2	Staphylococcus_aureus	UCMC	Axilla	parE	1.15	2	1
N02_2_2	Staphylococcus_aureus	ZCH	Axilla	parE	1.15	2	1
N02_2_3	Enterococcus_faecalis	UCMC	Groin	gyrA	1.0	1	1
N02_2_3	Enterococcus_faecalis	ZCH	Groin	gyrA	1.0	1	1
N02_2_3	Klebsiella_pneumoniae	UCMC	Groin	gyrA	0.9677	1	1
N02_2_3	Klebsiella_pneumoniae	ZCH	Groin	gyrA	0.9677	1	1
N02_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.9881	1	1
N02_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.9881	1	1
N02_2_4	Enterococcus_faecium	UCMC	Stool	gyrA	0.9892	1	1
N02_2_4	Enterococcus_faecium	ZCH	Stool	gyrA	0.9892	1	1
N02_2_4	Escherichia_coli	UCMC	Stool	parE	0.0041	1	1
N02_2_4	Escherichia_coli	ZCH	Stool	parE	0.0041	1	1
N02_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.9943	1	1
N02_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.9943	1	1
N02_2_4	Staphylococcus_aureus	UCMC	Stool	parC	1.0	1	1
N02_2_4	Staphylococcus_aureus	ZCH	Stool	parC	1.0	1	1
N03_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	1.0	1	1
N03_1_4	Enterococcus_faecium	UCMC	Stool	gyrA	1.0	1	1
N03_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0175	1	1
N03_1_4	Pseudomonas_aeruginosa	UCMC	Stool	gyrA	0.875	1	1
N03_1_4	Staphylococcus_aureus	UCMC	Stool	parC,parE	2.0	2	2
