parameter	coefficient	std_err	z_value	p_value	model
Intercept	2.3619410031521717	0.150911413474561	15.651175406625702	2.855122523737687e-45	N_mutations (OLS)
Location[T.ZCH]	-0.037833983309163655	0.1426897266722423	-0.26514861435026893	0.7910036028635762	N_mutations (OLS)
BodySite[T.Groin]	0.9706001977682205	0.1749580724449724	5.5476159756703565	4.687946655226409e-08	N_mutations (OLS)
BodySite[T.Stool]	1.379197544472345	0.16970966921819125	8.126805919933455	3.445510527252771e-15	N_mutations (OLS)
Week[T.Week 3]	0.3261710053505608	0.14013030625543196	2.3276264361829813	0.020327760991878198	N_mutations (OLS)
Intercept	0.7872362303694775	0.021362353623504703	36.85156814852519	5.2474059380876235e-145	Mean_frequency (OLS)
Location[T.ZCH]	-0.014203357209343848	0.020198527927296244	-0.7031877402387063	0.4822640955314461	Mean_frequency (OLS)
BodySite[T.Groin]	-0.06120123012743869	0.024766292534171275	-2.471150255654791	0.01379813802971577	Mean_frequency (OLS)
BodySite[T.Stool]	-0.08103207042030389	0.024023351737926323	-3.373054322489744	0.0008007166481484902	Mean_frequency (OLS)
Week[T.Week 3]	0.013068972086371016	0.019836227669441084	0.658843622091743	0.5102976670257562	Mean_frequency (OLS)
