species	BodySite	n_samples	mean_n_mutations	mean_mutation_freq	total_samples	prevalence_pct
Enterococcus_faecalis	Axilla	7	1.0	1.0	98	7.142857142857142
Enterococcus_faecalis	Groin	42	1.0	0.9980242424242425	102	41.17647058823529
Enterococcus_faecalis	Stool	61	1.0	0.9944582524271844	103	59.22330097087378
Enterococcus_faecium	Axilla	13	1.0	1.0	98	13.26530612244898
Enterococcus_faecium	Groin	48	1.0	0.9978736842105264	102	47.05882352941176
Enterococcus_faecium	Stool	64	1.0	0.9971585585585586	103	62.13592233009708
Escherichia_coli	Axilla	2	1.0	0.08395	98	2.0408163265306123
Escherichia_coli	Groin	21	1.2857142857142858	0.012705714285714285	102	20.588235294117645
Escherichia_coli	Stool	26	1.2608695652173914	0.01033913043478261	103	25.24271844660194
Klebsiella_oxytoca	Axilla	1	1.0	0.8571	98	1.0204081632653061
Klebsiella_oxytoca	Groin	15	1.0769230769230769	0.010380769230769232	102	14.705882352941178
Klebsiella_oxytoca	Stool	19	1.0	0.01413125	103	18.446601941747574
Klebsiella_pneumoniae	Axilla	21	1.2222222222222223	0.7409796296296296	98	21.428571428571427
Klebsiella_pneumoniae	Groin	48	1.294871794871795	0.6625833333333333	102	47.05882352941176
Klebsiella_pneumoniae	Stool	60	1.2912621359223302	0.7240487055016182	103	58.252427184466015
Pseudomonas_aeruginosa	Axilla	1	1.0	1.0	98	1.0204081632653061
Pseudomonas_aeruginosa	Groin	2	1.0	0.4480666666666666	102	1.9607843137254901
Pseudomonas_aeruginosa	Stool	17	1.0333333333333334	0.3497583333333333	103	16.50485436893204
Staphylococcus_aureus	Axilla	93	2.0194805194805197	0.8040002164502165	98	94.89795918367348
Staphylococcus_aureus	Groin	78	1.9516129032258065	0.7807872311827957	102	76.47058823529412
Staphylococcus_aureus	Stool	58	2.3168316831683167	0.8147026237623762	103	56.310679611650485
Streptococcus_mitis	Axilla	4	1.0	0.586475	98	4.081632653061225
Streptococcus_mitis	Groin	2	1.0	0.0611	102	1.9607843137254901
Streptococcus_mitis	Stool	1	1.0	0.8	103	0.9708737864077669
Streptococcus_oralis	Axilla	2	1.0	0.5942000000000001	98	2.0408163265306123
Streptococcus_oralis	Groin	2	1.0	0.05185	102	1.9607843137254901
Streptococcus_oralis	Stool	3	1.0	0.32808000000000004	103	2.912621359223301
