species	Location	n_samples	mean_n_mutations	mean_mutation_freq	total_samples	prevalence_pct
Enterococcus_faecalis	UCMC	110	1.0	0.9966054545454545	303	36.303630363036305
Enterococcus_faecalis	ZCH	70	1.0	0.9953171428571429	205	34.146341463414636
Enterococcus_faecium	UCMC	125	1.0	0.9974624	303	41.254125412541256
Enterococcus_faecium	ZCH	84	1.0	0.998097619047619	205	40.97560975609756
Escherichia_coli	UCMC	49	1.2653061224489797	0.013898979591836736	303	16.17161716171617
Escherichia_coli	ZCH	36	1.25	0.01597361111111111	205	17.560975609756095
Klebsiella_oxytoca	UCMC	35	1.0285714285714285	0.03877857142857143	303	11.55115511551155
Klebsiella_oxytoca	ZCH	25	1.04	0.04316199999999999	205	12.195121951219512
Klebsiella_pneumoniae	UCMC	129	1.2945736434108528	0.7042439276485788	303	42.57425742574257
Klebsiella_pneumoniae	ZCH	88	1.2613636363636365	0.7055263257575758	205	42.926829268292686
Pseudomonas_aeruginosa	UCMC	20	1.05	0.3895425	303	6.6006600660066
Pseudomonas_aeruginosa	ZCH	14	1.0	0.3604357142857143	205	6.829268292682928
Staphylococcus_aureus	UCMC	229	2.052401746724891	0.7999960116448326	303	75.57755775577559
Staphylococcus_aureus	ZCH	150	2.1133333333333333	0.7981301888888889	205	73.17073170731707
Streptococcus_mitis	UCMC	7	1.0	0.46687142857142855	303	2.31023102310231
Streptococcus_mitis	ZCH	5	1.0	0.6291800000000001	205	2.4390243902439024
Streptococcus_oralis	UCMC	7	1.0	0.30345714285714287	303	2.31023102310231
Streptococcus_oralis	ZCH	4	1.0	0.49917500000000004	205	1.951219512195122
