Species	BodySite	N_Samples	Mean_AlleleFreq	Median_AlleleFreq	SD_AlleleFreq
Staphylococcus_aureus	Axilla	93	0.8085129928315413	0.8947499999999999	0.20147221443066074
Staphylococcus_aureus	Groin	78	0.7707962606837607	0.73355	0.22019562056112543
Staphylococcus_aureus	Stool	58	0.825608103448276	1.0	0.22375875622198252
Klebsiella_pneumoniae	Axilla	21	0.7370539682539683	1.0	0.3478057679903462
Klebsiella_pneumoniae	Groin	48	0.6921715277777777	0.9981	0.3928187869249759
Klebsiella_pneumoniae	Stool	60	0.7024183333333334	0.9815	0.3622623665773603
Enterococcus_faecium	Axilla	13	1.0	1.0	0.0
Enterococcus_faecium	Groin	48	0.9971312499999999	1.0	0.010596590303669839
Enterococcus_faecium	Stool	64	0.9971953124999999	1.0	0.008603624737920193
Enterococcus_faecalis	Axilla	7	1.0	1.0	0.0
Enterococcus_faecalis	Groin	42	0.9982095238095238	1.0	0.0056664528209974556
Enterococcus_faecalis	Stool	61	0.995111475409836	1.0	0.0126992532373713
Escherichia_coli	Axilla	2	0.08395	0.08395	0.08336788950189396
Escherichia_coli	Groin	21	0.01215	0.008	0.012613772235140444
Escherichia_coli	Stool	26	0.009923076923076923	0.004325000000000001	0.012074942904786182
Klebsiella_oxytoca	Axilla	1	0.8571	0.8571	
Klebsiella_oxytoca	Groin	15	0.010236666666666665	0.0061	0.01029903717182663
Klebsiella_oxytoca	Stool	19	0.018242105263157896	0.0053	0.04972952751065255
