gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
bonA	39	0.16421609615384614	0.4312945384615385	1.0077935236016549	8.473593697999604e-05	
bimA_Bm	39	244.36348717948718	205.9315871794872	-0.24675346450679048	0.0004953546449542046	
chrR_I	39	2.91582206923077	6.676465689743589	1.1679817090092584	0.0006288769545790274	
cesC	39	15.185600410256407	29.265176410256416	0.9419330831687405	0.000749469854781637	
ybtQ	39	4.000107033333334	8.359562948717947	1.0449215586939944	0.0009973891355912201	
yfeB	39	2.6695836102564106	4.9216140615384605	0.8584820615652402	0.001115645449317526	
lmrC_abcf	39	14.706784307692304	26.550006923076925	0.8478775532335489	0.0013167040960979648	
aafC	39	0.011717302564102564	0.11204663205128203	0.9245289237089438	0.0019200688528340584	
arsC_gluta	39	0.8054554102564103	1.7153520589743592	1.0035338617857954	0.0026149379061465774	
mdtM	39	0.4595778487179487	0.8881192871794872	0.8203463630039936	0.002984803394721606	
arsA	39	3.2882356	5.464599641025643	0.7157436974668263	0.003361091596161714	
ymoA	39	0.788496923076923	1.6769810769230769	0.9999896329567286	0.0038219768150666235	
iutA	39	0.195500758974359	0.6520795461538461	1.3477234254589854	0.004389618289039615	
ranB	39	0.07405396666666667	0.1566662641025641	0.5603589890525063	0.005073873161775816	
mrdH	39	0.1917369794871795	0.42945554871794867	0.8598412970982569	0.005422984869226026	
lmrS	39	38.04705817948718	20.87715035897436	-0.8627530954413921	0.005695509342331206	
ncrC	39	0.26211849743589744	0.5428972358974359	0.8281262747136611	0.005928752580349287	
terC	39	0.01011772564102564	0.572229717948718	2.6099076046606964	0.0064246026289671515	
aut	39	0.009324922307692309	0.03638636871794872	0.3190771367015329	0.007439203931621479	
iucD	39	0.005650728205128204	0.4190987435897435	2.29670628469542	0.008774633060101173	
emrD	39	0.822847864102564	1.531830241025641	0.8223262444508492	0.010125157394938123	
blaEC	39	0.030761976923076927	0.5534037102564102	2.3210315531828	0.01099986332396481	
aggC	39	0.0070799230769230765	0.0629578076923077	0.6058104689473038	0.012274756174561622	
blaEC-5	39	0.03114795897435898	0.5680365769230767	2.3487317411177173	0.012814284489164544	
mchF	39	2.580753461538462	4.020658692307691	0.6202364260273905	0.013149019516276894	
cvaB	39	2.5825439743589746	4.0200653589743585	0.6190654029328417	0.013149019516276894	
silB	39	0.4939703384615385	1.1775340076923075	1.104898902916605	0.013639969642113952	
blaEC-8	39	0.03114795897435898	0.5605003512820513	2.332363973313422	0.013817143683192262	
fdeC	39	0.01204436076923077	0.3280776961538462	1.9338026303736504	0.014990431977029234	
sdeB	39	0.5534271302564103	0.9299164512820511	0.6564290463321489	0.016812384987133555	
kdeA	39	0.6698034307692308	1.2021823743589741	0.7583695103040189	0.016940001177748572	
iucC	39	0.004584223076923077	0.3907905333333333	2.230442189658472	0.018602929901135743	
ttgD	39	0.17046544358974358	0.4151862948717948	0.9296499371916743	0.020063134280874865	
srpA	39	0.1426120615384615	0.40959301025641015	1.070694212955183	0.02144994264690671	
espC	39	0.001530702564102564	0.05853958512820513	0.6429270464038516	0.02182427562605354	
terE	39	0.06428932564102564	0.30842045641025645	1.3138163805711534	0.02277772703207994	
silC	39	0.7165058464102564	1.4115257256410259	0.8884704123046957	0.024126809941339256	
acrF	39	1.8273781328205128	3.83094811025641	1.0282376777420925	0.024855553961970145	
ail	39	0.06844801794871795	0.1249136871794872	0.4170680063373551	0.0249069201811637	
ncrA	39	0.14696414358974358	0.34457012820512817	0.848109419327159	0.02680061581738834	
multi_CopA	39	0.155426628974359	0.22308264102564104	0.3389942997582011	0.027825374600070063	
copB_Ehir	39	5.1357007794871805	8.083002076923076	0.6442475685381002	0.027825374600070063	
cesD	39	0.010624646153846154	0.022552197435897432	0.14772351227115274	0.028420589569276063	
silA	39	1.1289128197435896	2.0691972025641028	0.8197786417733242	0.028879327754111728	
copS	39	0.5442934743589743	0.8802505358974361	0.6054325427674045	0.029966583890200127	
silE	39	0.3034647923076923	0.4552801564102563	0.4607730558630748	0.030365113315399057	
ttgA	39	0.22023301897435898	0.5063652923076923	0.9210651068982892	0.03157137719250063	
capC	39	10.709413558974358	7.282391487179486	-0.5501281043009784	0.03224418673562468	
mreA	39	0.008799064102564104	0.08689994871794872	0.7806000267587272	0.03665792867221451	
aggD	39	0.05763551282051282	0.1080409871794872	0.40027520074021905	0.03861963931866126	
sdeA	39	0.26278822820512826	0.42085680769230766	0.5217591619624641	0.03892151371737731	
iss	39	0.00889481282051282	0.20785723076923077	1.4993262208784959	0.041389404009149304	
amvA	39	0.03602669230769231	0.1048113282051282	0.5904057365711115	0.04220715353440861	
arsR_R46	39	0.5073920871794871	0.7979329025641027	0.5639795307010893	0.042501961142818866	
capA	39	0.19960774358974356	0.05389384358974359	-0.9611393929635685	0.042501961142818866	
arsB_pI258	39	29.78970458974359	21.896362512820513	-0.44238367007483087	0.0428498608598602	
lpfA-O113	39	0.0	0.48676052307692314	2.5527718105528874	0.043114446783075355	
terZ	39	0.02981012307692308	0.15315159230769232	0.963598664280631	0.0447084811656367	
arsR_pYV	39	0.0492393358974359	0.29144282564102564	1.3911737566464986	0.046399461870904636	
plcR	39	0.012967899999999997	0.003536389743589744	-0.12577496867643642	0.04685328478814715	
arsR_pSX267	39	6.817478743589745	6.006654779487179	-0.17986401638731062	0.04914561632904224	
emhA	39	0.19312731282051282	0.4855420641025641	0.9982454138442682	0.049356724390270744	
pic_auto	39	0.007275174358974359	0.07214726358974358	0.6823270024043506	0.04955245211417102	
pet	39	0.001884074358974359	0.12122435487179488	1.1185816629926495	0.05046060861109359	
ttgR	39	0.037892171794871796	0.11597033589743588	0.6472926112954498	0.051587867206812466	
sinH	39	0.013512464871794872	0.12414090076923075	0.9815552034638367	0.05222204238661496	
arsR_pI258	39	6.90449464102564	6.068207805128205	-0.18342959706941517	0.05256650934825302	
cnrT	39	0.0069460538461538456	0.019815199999999998	0.1639276928283712	0.0534743671544843	
ariR	39	0.19386561025641028	0.4154484743589744	0.8106716821656632	0.05372470829093752	
terD	39	0.08375276410256409	0.4260615564102564	1.5174656726179243	0.055773716812032845	
tbtB	39	0.8037647066666666	1.439580323076923	0.7685180138477716	0.056179127754148794	
capB	39	3.724203084615384	2.67133851025641	-0.46457619755971025	0.056179127754148794	
adeE	39	0.5039737438461537	1.0584622846153846	0.9396533372893937	0.056179127754148794	
splA	39	2.792538451282051	0.4516176871794873	-2.390595516021107	0.061933030635496676	
nirB	39	0.020447666666666666	0.1901841153846154	1.268562103047577	0.0663160312989308	
ncrB	39	0.03407948717948718	0.20721744871794875	1.1961716214609062	0.0663160312989308	
nheC	39	0.008828648717948716	0.0	-0.12205839043636629	0.06788915486182899	
merC	39	0.08863955897435898	0.2214010512820513	0.7687423974652655	0.06914397389751895	
arsR_pKW301	39	0.623875335897436	0.8026512538461539	0.3184274380270161	0.06937721794870326	
merD	39	0.18561948974358977	0.779496241025641	1.6225829840835992	0.07157001770872025	
merT	39	0.5844618128205129	0.876424176923077	0.5125379641178882	0.07159171652118779	
mexE	39	0.05431958205128205	0.14607682307692307	0.673187641714386	0.07443762498218096	
sigA	39	0.000816321794871795	0.05618711538461538	0.6315462188241754	0.07446183141740546	
ttgB	39	1.0448602051282052	1.9751745692307696	0.8580612582913819	0.07500795424857643	
nfaE	39	0.08964237435897437	0.15838092564102565	0.4462182093142002	0.07683082485338033	
sed	39	2.1326987487179485	0.34399508461538464	-2.330172995842119	0.07776744228559361	
epeA	39	0.0030505276923076924	0.08298187666666668	0.8283488721704276	0.07873081119613402	
ttgE	39	0.29163457487179484	0.5687076051282052	0.7718673882682092	0.07980852480613976	
sph	39	4.1984069820512815	3.295197648717948	-0.34030652432548536	0.08484960912392125	
bepG	39	0.39266747846153843	0.46893327692307696	0.2076452259143995	0.0874627010889526	
emhC	39	0.2263113428205128	0.34984601025641027	0.4631820900976493	0.09393171231920106	
srpB	39	0.9702330546153846	1.5563253487179487	0.6300610934051588	0.0956834299613547	
arsC_thio	39	14.331366897435897	12.269076897435898	-0.22247011802020186	0.0956834299613547	
sat_auto	39	0.006743007692307693	0.28751159282051286	1.8600979030290619	0.09948088075636449	
f17a	39	0.0	0.0039272410256410255	0.05557385772143931	0.10880943004054568	
terW	39	0.0	0.006293828205128205	0.08805783133421731	0.10880943004054568	
merR_Bc2	39	0.0	0.010479553846153847	0.1437793986293022	0.10880943004054568	
hlyE	39	0.0028280974358974357	0.04193278717948718	0.4649733675994322	0.10974463874701328	
mdsB	39	0.7784506515384617	1.0491997153846155	0.3875963929080015	0.1139247282553697	
arsH	39	0.3172591230769231	0.40973372051282053	0.2888002018387041	0.11624980613968175	
emhB	39	0.7855621387179488	1.4578602153846154	0.8149003405667455	0.1172088714374695	
tcrB	39	7.468810025641026	10.097320564102564	0.4300517196624777	0.12056508069144911	
vac_auto	39	0.006733610256410256	0.016410788717948713	0.12521022027241585	0.12209548134133213	
srpR	39	0.005392876923076923	0.013905333333333334	0.11205793486113767	0.12348527214454898	
tir	39	0.088375541025641	0.060129645384615404	-0.2343712313643213	0.12399422604721622	
merR_Ps	39	0.9160185307692308	1.2072554358974357	0.3636143541794626	0.12598254837271441	
agg3C	39	0.00486591641025641	0.02662527205128205	0.27201952022345666	0.1306650895957666	
espX1	39	0.019304953846153845	0.08776008717948718	0.6542364681794599	0.13113205733639233	
yfeD	39	0.8405194487179488	0.985699225641026	0.20709480233854172	0.13333346680342797	
splE	39	1.4852784128205128	0.2987314	-1.9912471075827864	0.1353498838175801	
lpfA1	39	0.0044525128205128205	0.027204958974358977	0.2843077141005529	0.13801073756865956	
mexA	39	0.25638416153846155	0.6221382153846154	1.018841769752992	0.14544056799114924	
beta-4	39	0.003911070769230769	0.008259885128205129	0.05914939403606915	0.14917758906284398	
eatA	39	0.018441387692307687	0.012937760512820513	-0.06864536979502898	0.14948171084849327	
eat(A)	39	1.385262858974359	1.935977669230769	0.4550034588777384	0.1501111920842959	
bepE	39	0.454125417948718	0.556238158974359	0.24400694066728384	0.1501111920842959	
qacR	39	28.01468623076923	19.566453666666668	-0.5155871174651737	0.1501111920842959	
arsB_R773	39	9.622333497435898	7.794857435897437	-0.30038940823126903	0.154153766186937	
epsilon-2	39	0.0038739817948717946	0.008213898974358974	0.05905147524702676	0.15600357596610903	
selX	39	1.9160234948717947	0.43611187692307696	-1.9109064504341287	0.16151331846754213	
splB	39	3.5087217384615386	0.7082337076923078	-2.1586434780748225	0.17086648171401575	
sek	39	0.1534858	0.07589115897435897	-0.5272219625356155	0.17123878524909952	
mdsA	39	0.12245923307692308	0.14322021794871795	0.12872218117444467	0.1721559959500647	
abaF	39	0.0040837030769230774	0.01501333076923077	0.14405689219599957	0.17295491798842066	
cnf1	39	0.0007261041025641025	0.004408510256410257	0.05180169007048099	0.17295491798842066	
selV	39	1.8447259564102563	0.28665897179487176	-2.3304332763351177	0.17421027639617592	
merB	39	0.005285553846153846	0.025712192307692304	0.25581707878198157	0.17629637444051116	
aadA1	39	0.006936397435897437	0.0004895589743589743	-0.08970736906050229	0.17971249487899976	
espP	39	0.0023888625641025644	0.05915254846153845	0.6363514651091388	0.18084118136338856	
MerP_Gneg	39	0.5590883076923077	0.6924887487179487	0.26591867575291794	0.18313858346106204	
alpha-1	39	0.003935710256410257	0.006749481538461537	0.03853764204753252	0.18418074965866182	
arsD	39	1.5153378487179485	1.7968194666666666	0.23174643722332458	0.19430325473172982	
srpC	39	0.354152423076923	0.4283478948717949	0.21831161899516402	0.19709321840494365	
hld	39	0.12826794871794872	0.041021743589743594	-0.6948106805717402	0.20757844233562428	
cadR	39	0.019138930769230768	0.030501541025641028	0.13142192637783218	0.20757844233562428	
ncrY	39	0.04171281025641026	0.12841511282051282	0.6886879302385085	0.20757844233562428	
chrA	39	0.007940338461538462	0.003284958974358974	-0.06360394130595928	0.21322298815094953	
arsP	39	1.2275084641025642	1.0392482589743588	-0.22063889378022214	0.214995896882892	
merE	39	0.21866601025641025	0.346428641025641	0.4863844417918789	0.2172414463719159	
ireA	39	0.050996341282051286	0.11872049384615387	0.5345748127614747	0.22102157481330342	
arsB_pYV	39	7.945522964102565	6.536062974358974	-0.2778586229643013	0.22479679678508546	
tbtM	39	0.18371685512820513	0.2785929948717949	0.4161958558401317	0.22549072292826333	
iroN	39	0.13212644641025642	0.1914610820512821	0.3283923576120749	0.231525779869741	
emrD3	39	0.00597392564102564	0.004366051282051283	-0.022056839423835857	0.23672357063785732	
tccC	39	0.0007662353846153847	0.0023093784615384615	0.0219260961404485	0.23672357063785732	
norM-Burk	39	0.006072732307692307	0.0030829820512820513	-0.04124765794876956	0.23931654122149526	
golT	39	9.402246153846153	11.552747025641024	0.29432961169535865	0.24127641272207256	
yfeA	39	0.6730729051282051	0.43641568205128206	-0.5272530599482965	0.2476009312007299	
farB	39	0.30754710769230764	0.33451560256410257	0.09244115448746981	0.2484941132397941	
bepD	39	0.005048661538461539	0.013158689743589745	0.107289596831677	0.26039294361048326	
cnrA	39	0.29437065282051283	0.3199408615384615	0.09063397643215934	0.2646572821729041	
mco	39	8.872724717948719	7.955841056410255	-0.1555109312355104	0.27055140661468613	
tbtA	39	0.15664229999999998	0.3599820307692308	0.8418185270486878	0.27144531440365094	
mepA	39	4.019627643589743	0.9895558666666667	-1.9187737718286368	0.27246372349830206	
pfoA	39	0.0019375820512820513	0.00889591794871795	0.09526383629439575	0.27332167829229814	
seb	39	0.13548670256410258	0.057961338461538454	-0.5760740987801141	0.2772406362261136	
rho-3	39	0.007596800512820512	0.012130202564102563	0.05953974547570955	0.2787073832496024	
mtrA_Ngon	39	0.051622740256410254	0.03507873076923077	-0.16668561534833523	0.2789649507806645	
ranA	39	1.7884426871794874	1.6102721153846153	-0.1429711142182683	0.28290080075748847	
merF	39	0.0021665794871794874	0.026552871794871796	0.3088169039736915	0.28504940740261275	
sep	39	0.3472080256410256	0.033630564102564105	-1.7426960591079492	0.28504940740261275	
cadC_Lm	39	0.0014029000000000001	0.013850282051282052	0.16703895333352486	0.28504940740261275	
see	39	0.4338114871794872	0.03569053846153846	-1.9760102245425544	0.28504940740261275	
sec2	39	0.16924401025641023	0.055765105128205136	-0.789542176576784	0.2958775226696384	
nirD	39	0.012901807692307692	0.04541146923076923	0.3650724797753895	0.3104944343172349	
sej	39	2.5510787615384616	0.26458847435897437	-2.86223867255104	0.3139380937749148	
tccP2	39	0.021380097435897437	0.03008483846153846	0.09992094024688668	0.3157546761755551	
cytK1	39	0.0	0.0005188641025641026	0.007466273477476095	0.31731050786291415	
srpS	39	0.0009744564102564102	0.0	-0.013990379402343517	0.31731050786291415	
cpb2	39	0.0	0.0018747512820512819	0.026796537139158465	0.31731050786291415	
gamma-5	39	0.0437485723076923	0.010007497179487181	-0.3859457784887908	0.32188434536878685	
copR	39	11.08863412820513	12.53895435897436	0.17584318439064328	0.3221561306017975	
