gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
mdtM	39	5.6089887076923075	32.138079820512814	2.497458702136685	2.0305182260926813e-05	0.004812328195839655
sinH	39	0.38039514102564104	3.3963011743589746	2.8635360011323225	5.7924461897570095e-05	0.004877538067605214
ybtQ	39	7.765932946153846	26.60967966666667	1.7636728805477813	9.754515485838056e-05	0.004877538067605214
silB	39	11.693188330769232	45.80091774358974	1.960569190361515	0.00012861097275163047	0.004877538067605214
iutA	39	3.5280227153846155	18.897538899999997	2.3885571380315382	0.00016289600607987897	0.004877538067605214
kdeA	39	7.57783447948718	35.954525930769236	2.231409008904765	0.00016845978825585917	0.004877538067605214
bonA	39	0.11454399282051284	0.3744359915384615	1.144939952844954	0.00018003877266892232	0.004877538067605214
copS	39	2.4376744820512823	10.344293423076923	2.0411359688287507	0.00020539695469778962	0.004877538067605214
iroE	39	0.6394638358974359	4.394241133333333	2.6035260347912854	0.0002135779026791271	0.004877538067605214
silC	39	13.071032297435899	50.83538912051283	1.9512999436774876	0.00023661629500734173	0.004877538067605214
silA	39	15.746177143076924	60.57898188717949	1.9370620440840358	0.000249561282544164	0.004877538067605214
ariR	39	2.7875665589743597	21.489004974358973	2.9023706454256426	0.0002596501474650583	0.004877538067605214
sdeA	39	2.4674836461538465	11.366733228205128	2.1590274464231833	0.0002675442821893155	0.004877538067605214
ncrC	39	2.7825669205128203	14.231663730769233	2.313780092155032	0.00032185501549975015	0.00536694234790169
yfeA	39	1.987647492307692	11.177047189743593	2.433439325591733	0.0003396798954368158	0.00536694234790169
iroN	39	1.3527240574358974	5.891750571794872	2.0442168762425648	0.00041266144762630574	0.005750932882277919
arsR_R46	39	8.773243597435897	45.548697153846156	2.3630402047587653	0.00042908719392650493	0.005750932882277919
emrD	39	10.07841774102564	43.71711167179487	2.1059810796528047	0.00043677971257806983	0.005750932882277919
alpha-5	39	0.11638553615384613	0.5397505128205129	1.5639053303171069	0.0005158688241665825	0.006434784806709476
acrF	39	21.167315484615383	93.73960761282054	2.1415590434776592	0.0005927568454353604	0.006595437980763564
rho-3	39	0.11953474384615384	0.5579810723076922	1.583596802962835	0.0006218381179514873	0.006595437980763564
ttgA	39	3.1618881256410254	14.276622617948716	2.1399455877783202	0.0006669720314675942	0.006595437980763564
ttgD	39	2.2889353820512817	10.732557576923076	2.180934168608063	0.0006690505815848993	0.006595437980763564
adeE	39	5.582305418461538	25.31398716153846	2.1610744531670023	0.0007071368054312188	0.006595437980763564
mrdH	39	2.1709925	9.760746107692308	2.1183738699028076	0.0007071368054312188	0.006595437980763564
sab	39	0.27451518820512827	1.8215428523076924	2.359169017801653	0.0007871426211323923	0.006595437980763564
srpA	39	2.3703594435897437	10.464195546153848	2.09639003354732	0.0007871426211323923	0.006595437980763564
mtrC	39	0.24756664102564102	1.6081649564102565	2.2970857758361167	0.0008074799318267016	0.006595437980763564
ail	39	0.8967351256410259	4.432006802564102	2.1848679506112876	0.0008337350354222429	0.006595437980763564
ttgB	39	10.406305061538463	45.47278039230769	2.1169170116045266	0.000841054421471199	0.006595437980763564
rho-1	39	0.11269448256410254	0.5056928358974359	1.5098037380533522	0.0008734281806367523	0.006595437980763564
srpB	39	7.701137502564102	32.76432499230769	2.074765946269914	0.0008905232716642786	0.006595437980763564
farB	39	1.5735988897435897	6.403584671794872	1.9582813281672435	0.000928172354749679	0.0066659650932022405
aggD	39	1.059239464102564	5.2542169076923075	2.207496971340741	0.0009785772519373816	0.00682125907968116
sdeB	39	4.173519876923076	18.008038925641024	2.0831335752169937	0.0010550297411100473	0.007144058532659463
hmrM	39	0.5892309871794872	2.131450941025641	1.6949226185971693	0.0010900860312951454	0.007146161391574424
ttgE	39	3.082900333589744	13.928707287179487	2.139968186512883	0.001115645449317526	0.007146161391574424
ymoA	39	9.736607179487178	49.11813135897435	2.322957189396662	0.0011496160888813044	0.007166939904541673
emhB	39	7.987966187179485	34.23743667692308	2.0859334737831317	0.0011793698577093892	0.007166939904541673
sigA	39	0.11409189564102565	1.4839480512820513	2.8872229308944806	0.0012250235420688657	0.00725114076955418
arsR_pKW301	39	10.89000495897436	46.223805205128215	2.0755617291217683	0.001269915364894096	0.00725114076955418
nfaE	39	1.3470966153846153	7.191521105128206	2.333058564100157	0.0012989228163213869	0.00725114076955418
tbtB	39	7.208908741025639	32.286731187179484	2.14767493805651	0.0013167040960979648	0.00725114076955418
espC	39	0.07999109435897436	2.430741277435897	3.8135625940549893	0.0013462033496218731	0.00725114076955418
emhA	39	2.696783943589743	12.294723476923078	2.1478853730928673	0.00138503439833865	0.00729451449791689
yfeB	39	4.273942966666667	17.554089512820507	2.0129961040281765	0.001609139571225135	0.008015161990068223
chrR_I	39	0.7075077179487179	1.5305263153846156	1.013789771324018	0.001658085377423675	0.008015161990068223
epsilon-1	39	0.01499806794871795	0.19659662564102562	1.366892561399762	0.0017130176382195042	0.008015161990068223
epsilon-7	39	0.014800503846153848	0.19505790769230766	1.3618691499198001	0.0017130176382195042	0.008015161990068223
aafC	39	0.6050590512820513	3.417791034615385	2.3188537870573462	0.0017138369235060956	0.008015161990068223
bepE	39	2.043802594871795	7.781726346153846	1.8783395939122574	0.0017247816940653138	0.008015161990068223
espP	39	0.11242045410256409	1.7789011653846154	3.1448945836258124	0.0018439083987014078	0.008325768967179906
mexA	39	2.853841605128205	16.806948735897436	2.516951943189804	0.001866203554241179	0.008325768967179906
beta-4	39	0.015319717692307692	0.19257090230769236	1.3431470829438221	0.0019200688528340584	0.008325768967179906
iucB	39	1.6733022230769232	7.325671179487179	2.0660829967401373	0.0019321404776155902	0.008325768967179906
arsB_pYV	39	17.075179341025642	59.47750827435897	1.794442623079747	0.0020207063207635656	0.008459346790214093
arsC_gluta	39	13.822570453846152	59.07747248717949	2.0876224860202015	0.0020345264432160477	0.008459346790214093
epsilon-2	39	0.020206932820512818	0.24136828512820513	1.5058089262792134	0.002234577508303178	0.009130946025307812
sodC1	39	0.010953899999999999	0.44045219743589753	2.2842066396095606	0.0023294396798343325	0.009357240747809097
silE	39	7.620778905128205	28.841512692307695	1.9063220243130312	0.0027652741969916386	0.010922833078116971
tbtA	39	2.3952617846153847	9.236186835897437	1.9036422520527199	0.0028868018767603484	0.01121593516052791
mdsB	39	3.978583405128205	14.915313115384615	1.880294499891524	0.003042842392460443	0.01144688328592262
arsB_R773	39	18.965029520512818	63.613335633333335	1.7406666049945063	0.003042842392460443	0.01144688328592262
yfeD	39	1.4559143512820514	5.377773051282052	1.8158268490223999	0.00370847198064439	0.013732935303323758
arsA	39	9.150502884615383	38.5121970051282	2.061452942853716	0.003893782097293297	0.014197328570130945
epeA	39	0.21443545282051288	2.84797350974359	3.2288877637777675	0.004137207994643546	0.014856337798947279
bepG	39	1.9171401717948715	6.187935858974358	1.6402751604152725	0.004289106353098759	0.014948797142417735
ireA	39	1.0777415333333336	3.231176825641026	1.5000089765798261	0.004289106353098759	0.014948797142417735
mexE	39	0.5320627076923077	6.045839148717949	3.2814704065467577	0.004792009505746745	0.016459510911043168
tbtM	39	0.8162564794871796	3.123745769230769	1.814914573960446	0.005133961518895217	0.017315392979686345
bimA_Bm	39	243.00986923076917	207.15538076923076	-0.2301989043712849	0.005187311820918694	0.017315392979686345
aggC	39	0.5702894294871795	2.0863861751282053	1.7056921548781014	0.005333949505961723	0.017557583790457337
pet	39	0.23302734358974356	3.9292053387179497	3.5967827894345685	0.005618046056498881	0.01823940979986623
sepA	39	0.004801551025641026	0.2678134384615385	1.8113141227291967	0.006210256590449749	0.019032885288315187
mchF	39	4.49026877948718	12.010872612820512	1.3996522807975438	0.006246893579373136	0.019032885288315187
emhC	39	0.9992218923076924	4.5460072897435895	2.07950877524853	0.006263107681825076	0.019032885288315187
blaEC	39	1.7526370282051278	10.902169212820512	2.570135837945896	0.00633256403632861	0.019032885288315187
blaEC-8	39	1.7724538358974355	11.073290315384615	2.5770520383005575	0.00633256403632861	0.019032885288315187
iucC	39	2.125149969230769	8.762887943589744	1.9938742997442815	0.006362781214140087	0.019032885288315187
srpR	39	0.02810010512820513	0.4372915384615385	2.068433458274047	0.0064246026289671515	0.019032885288315187
amvA	39	0.5244851282051283	1.8541560794871792	1.6458065804215078	0.006549193537484589	0.019162455165232687
ttgR	39	0.8984344692307693	3.1282296179487177	1.6930035517368862	0.006732426799731627	0.019388068309207755
arsH	39	2.1591052205128207	8.103098984615384	1.860417569650743	0.0067899142179925894	0.019388068309207755
emrD3	39	0.11361084358974359	0.6088685128205127	1.730533163654073	0.007013002905356987	0.01975845380691117
ncrB	39	1.118781512820513	8.591255538461539	2.83412508209401	0.007169734292803208	0.01975845380691117
nirB	39	1.0175373076923075	8.042625025641026	2.8651709716797695	0.007169734292803208	0.01975845380691117
multi_CopA	39	2.4897219520512817	10.583627574358974	2.044532475350987	0.007458006961248678	0.020189164631075934
blaEC-5	39	1.7655915487179483	11.583812264102562	2.6468060189402647	0.007496398681580937	0.020189164631075934
nirD	39	0.2668240769230769	1.8239051846153846	2.3908774607330416	0.007645761692991623	0.020239257678728258
seh	39	0.018356584615384614	0.0	-0.24313997077643895	0.007685794055213263	0.020239257678728258
agg3C	39	0.3057732515384616	1.2081877033333335	1.6888238873234196	0.00795229380300989	0.020710919025421364
