gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
capC	40	17.148983917499997	0.2363588025	-5.680366555665525	5.386223400735388e-07	0.00012765349459742872
capB	40	6.4539648624999995	0.12857559825	-4.841624637286471	1.6430389519899428e-06	0.00013182572852096187
arsC_thio	40	29.116831225	1.73533023	-3.9926881411014823	1.6686801078602769e-06	0.00013182572852096187
ybtQ	40	31.6205121975	58.69816075	0.8903549604810586	2.6737125153886154e-06	0.00015841746653677546
ariR	40	20.80965894	47.9352514	1.1999240080705769	7.174180256251363e-06	0.0002858414754449065
lmrS	40	57.61770471249999	4.33324663	-3.7025783988914784	7.984491494520765e-06	0.0002858414754449065
qacR	40	33.6160455	1.5795191525	-4.327315182213038	8.442575224111161e-06	0.0002858414754449065
sinH	40	2.072797673	7.127428675	1.7339286266992258	1.2242096855256038e-05	0.00036267211933696015
sph	40	7.233760612500001	0.323394975	-4.1144771224365435	1.5446644624899894e-05	0.00040676164178903056
acrF	40	102.18223802825	203.4853260625	0.9930779456794598	1.9500828784657642e-05	0.00046216964219638614
arsP	40	3.2877323849999995	0.2865324475	-3.1316584815092936	2.3772920020891243e-05	0.0005121983677228386
arsR_pSX267	40	21.7660057	3.289548175	-2.689524824130863	3.136775520963842e-05	0.0005687844110299273
arsR_pYV	40	13.5963068325	43.8171894575	1.6809988026994602	3.234830771347174e-05	0.0005687844110299273
arsR_pI258	40	22.11289315	3.2615345	-2.724205449616988	3.359907913256955e-05	0.0005687844110299273
arsC_gluta	40	62.381492475	157.32912825	1.3332016793214678	6.074981309915873e-05	0.0009598470469667079
ireA	40	3.9399601002500004	7.53517525	0.9183202269509549	7.198017374321353e-05	0.0010662063235713504
ncrC	40	24.899522988999998	46.59963625	0.9015107452566193	8.750197930334527e-05	0.0012198805349936958
ttgB	40	49.493092718499994	91.73588871	0.8889188598552444	0.00010100967301696073	0.0013299606947233162
silA	40	72.117723235	165.167867325	1.1943814086781652	0.0001079662160918815	0.0013467364849355744
arsR_R46	40	38.8252902025	128.09597300000001	1.7195712432307566	0.0001233053575716686	0.001355493259483331
mdtM	40	29.211837253500004	61.639808425	1.0747176079884955	0.00012423029047294926	0.001355493259483331
mtrC	40	1.5593260175	4.685003168250001	1.5279225110631516	0.00012639432721805305	0.001355493259483331
emhB	40	37.63676660350001	68.55843275	0.8634661117039482	0.0001315457593591418	0.001355493259483331
bepG	40	6.606080373	11.88118175	0.837228534518238	0.00017029843002092093	0.0016816969964565942
arsH	40	8.1612587375	47.554617074999996	2.528182476530785	0.00018417555129966804	0.001745984226320853
cesB	40	2.05948759725	1.0375441825	-0.9247664495930746	0.00023327588314714376	0.0021263993963797335
emrD	40	49.23139183975	94.38755475	0.9376183277740617	0.00025597223101101564	0.002246867361096693
ttgE	40	14.40984575025	25.729265750000003	0.8319744498305152	0.00028057557574356906	0.002374871837543781
emhA	40	13.550110057500001	25.84608275	0.9266041586177732	0.0003177408881417711	0.0024917390402947603
silC	40	62.521752416999995	150.5582514575	1.2665439038348143	0.0003315502728578562	0.0024917390402947603
srpB	40	35.15643423	63.604339089999996	0.8535050714824316	0.0003364373387739761	0.0024917390402947603
tbtB	40	33.97782625425	61.65936940250001	0.8578247096451893	0.0003364373387739761	0.0024917390402947603
farB	40	7.16490898575	13.78473075	0.9344825718604884	0.0003932548554014972	0.00265565268610093
arsR_pKW301	40	46.591227100000005	127.607940745	1.451624823182739	0.0003932548554014972	0.00265565268610093
mdsB	40	15.643471432500002	27.3490364	0.8020018143184128	0.0004022172452096129	0.00265565268610093
ail	40	5.685940285	10.774929499999999	0.9103827094645549	0.0004079613697085951	0.00265565268610093
kdeA	40	45.083693595750006	87.4536114	0.9543644775791351	0.0004145955670284153	0.00265565268610093
