	coefficient	std_err	z_value	p_value	ci_lower	ci_upper
Intercept	2.7342851103906383	0.055846831224811176	48.960434288272964	0.0	2.6248273325393217	2.843742888241955
Location[T.ZCH]	-0.08388811462682814	0.11188022509306834	-0.7498028767554341	0.45337343590487555	-0.30316932639147653	0.13539309713782022
BodySite[T.Groin]	0.007902405911548114	0.06798868222930389	0.11623119690562392	0.9074693127512304	-0.1253529626142259	0.14115777443732214
BodySite[T.Stool]	0.614800593733353	0.06761150182043994	9.09313618511414	9.622261118937422e-20	0.48228448522462647	0.7473167022420797
Week[T.Week.3]	-0.0069260129376561685	0.06734225437950642	-0.10284795187616842	0.9180836469279439	-0.13891440615922346	0.12506238028391115
Location[T.ZCH]:BodySite[T.Groin]	-0.08976606718296509	0.1359773644586076	-0.660154486302685	0.5091546962715838	-0.3562768042345128	0.17674466986858262
Location[T.ZCH]:BodySite[T.Stool]	0.015013800327587572	0.1357891671387931	0.11056699620406123	0.9119597201869509	-0.2511280767551367	0.2811556774103119
Location[T.ZCH]:Week[T.Week.3]	0.09113272820060182	0.13565530567856868	0.671796268820758	0.5017134044108268	-0.17474678524116466	0.3570122416423683
BodySite[T.Groin]:Week[T.Week.3]	0.3707120672728402	0.09497071087679311	3.903435741928586	9.483673759142816e-05	0.1845728943681593	0.5568512401775211
BodySite[T.Stool]:Week[T.Week.3]	0.283560619002828	0.09508879331135434	2.9820613883946367	0.002863145815641486	0.09719000877920028	0.4699312292264557
Location[T.ZCH]:BodySite[T.Groin]:Week[T.Week.3]	0.1389758402526612	0.1917138528956813	0.7249128748577348	0.4685054818468374	-0.2367764067602841	0.5147280872656065
Location[T.ZCH]:BodySite[T.Stool]:Week[T.Week.3]	-0.06718723000920294	0.19177237569856864	-0.3503488433329369	0.7260769134491476	-0.4430541796080818	0.3086797195896759
Group Var	0.35545638126715495	0.11326232230422553	3.1383462217240248	0.001699040601743904	0.13346630874550525	0.5774464537888047
