sample_id,r1,r2
N01_1_2,/bulkpool/sequence_data/mss_data/N01_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_1_2_R2.fastq.gz
N01_1_3,/bulkpool/sequence_data/mss_data/N01_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_1_3_R2.fastq.gz
N01_1_4,/bulkpool/sequence_data/mss_data/N01_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_1_4_R2.fastq.gz
N01_2_2,/bulkpool/sequence_data/mss_data/N01_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_2_2_R2.fastq.gz
N01_2_3,/bulkpool/sequence_data/mss_data/N01_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_2_3_R2.fastq.gz
N01_2_4,/bulkpool/sequence_data/mss_data/N01_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N01_2_4_R2.fastq.gz
N02_1_2,/bulkpool/sequence_data/mss_data/N02_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_1_2_R2.fastq.gz
N02_1_3,/bulkpool/sequence_data/mss_data/N02_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_1_3_R2.fastq.gz
N02_1_4,/bulkpool/sequence_data/mss_data/N02_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_1_4_R2.fastq.gz
N02_2_2,/bulkpool/sequence_data/mss_data/N02_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_2_2_R2.fastq.gz
N02_2_3,/bulkpool/sequence_data/mss_data/N02_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_2_3_R2.fastq.gz
N02_2_4,/bulkpool/sequence_data/mss_data/N02_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N02_2_4_R2.fastq.gz
N03_1_4,/bulkpool/sequence_data/mss_data/N03_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N03_1_4_R2.fastq.gz
N03_2_2,/bulkpool/sequence_data/mss_data/N03_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N03_2_2_R2.fastq.gz
N03_2_3,/bulkpool/sequence_data/mss_data/N03_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N03_2_3_R2.fastq.gz
N03_2_4,/bulkpool/sequence_data/mss_data/N03_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N03_2_4_R2.fastq.gz
N04_1_2,/bulkpool/sequence_data/mss_data/N04_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_1_2_R2.fastq.gz
N04_1_3,/bulkpool/sequence_data/mss_data/N04_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_1_3_R2.fastq.gz
N04_1_4,/bulkpool/sequence_data/mss_data/N04_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_1_4_R2.fastq.gz
N04_2_2,/bulkpool/sequence_data/mss_data/N04_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_2_2_R2.fastq.gz
N04_2_3,/bulkpool/sequence_data/mss_data/N04_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_2_3_R2.fastq.gz
N04_2_4,/bulkpool/sequence_data/mss_data/N04_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N04_2_4_R2.fastq.gz
N05_1_2,/bulkpool/sequence_data/mss_data/N05_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_1_2_R2.fastq.gz
N05_1_3,/bulkpool/sequence_data/mss_data/N05_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_1_3_R2.fastq.gz
N05_1_4,/bulkpool/sequence_data/mss_data/N05_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_1_4_R2.fastq.gz
N05_2_2,/bulkpool/sequence_data/mss_data/N05_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_2_2_R2.fastq.gz
N05_2_3,/bulkpool/sequence_data/mss_data/N05_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_2_3_R2.fastq.gz
N05_2_4,/bulkpool/sequence_data/mss_data/N05_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N05_2_4_R2.fastq.gz
N06_1_2,/bulkpool/sequence_data/mss_data/N06_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N06_1_2_R2.fastq.gz
N06_1_3,/bulkpool/sequence_data/mss_data/N06_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N06_1_3_R2.fastq.gz
N06_1_4,/bulkpool/sequence_data/mss_data/N06_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N06_1_4_R2.fastq.gz
N07_1_2,/bulkpool/sequence_data/mss_data/N07_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_1_2_R2.fastq.gz
N07_1_3,/bulkpool/sequence_data/mss_data/N07_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_1_3_R2.fastq.gz
N07_1_4,/bulkpool/sequence_data/mss_data/N07_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_1_4_R2.fastq.gz
N07_2_2,/bulkpool/sequence_data/mss_data/N07_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_2_2_R2.fastq.gz
N07_2_3,/bulkpool/sequence_data/mss_data/N07_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_2_3_R2.fastq.gz
N07_2_4,/bulkpool/sequence_data/mss_data/N07_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N07_2_4_R2.fastq.gz
N08_1_2,/bulkpool/sequence_data/mss_data/N08_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_1_2_R2.fastq.gz
N08_1_3,/bulkpool/sequence_data/mss_data/N08_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_1_3_R2.fastq.gz
N08_1_4,/bulkpool/sequence_data/mss_data/N08_1_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_1_4_R2.fastq.gz
N08_2_2,/bulkpool/sequence_data/mss_data/N08_2_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_2_2_R2.fastq.gz
N08_2_3,/bulkpool/sequence_data/mss_data/N08_2_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_2_3_R2.fastq.gz
N08_2_4,/bulkpool/sequence_data/mss_data/N08_2_4_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N08_2_4_R2.fastq.gz
N09_1_2,/bulkpool/sequence_data/mss_data/N09_1_2_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_1_2_R2.fastq.gz
N09_1_3,/bulkpool/sequence_data/mss_data/N09_1_3_R1.fastq.gz,/bulkpool/sequence_data/mss_data/N09_1_3_R2.fastq.gz
