aro_id	effect	effect_label	coef	se	pvalue	fdr	gene_family	subclass	megares_class
ARO:3005099	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.18346172297543215	0.054854132658398565	0.0008241978223943175	0.09643114522013514	erm(A)	AZITHROMYCIN/CLARITHROMYCIN/CLINDAMYCIN/ERYTHROMYCIN/TELITHROMYCIN	MLS
ARO:3000599	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.16803388915128334	0.09334460108930213	0.07183762352762164	0.9686939300525664	erm(33)	CLINDAMYCIN/ERYTHROMYCIN/LINCOMYCIN	MLS
ARO:3002804	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0980108522591405	0.056444501672943265	0.0824911928315827	0.9686939300525664	fos_A_A2	FOSFOMYCIN	Fosfomycin
ARO:3001214	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12236797909575625	0.07226937252134902	0.09041351439545964	0.9686939300525664	mdtM	EFFLUX	Drug and biocide resistance
ARO:3000410	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.29995402106996577	0.18096867926770696	0.09742017563834163	0.9686939300525664	sul1	SULFONAMIDE	Sulfonamides
ARO:3003390	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12070783558316836	0.07557915591634358	0.11024233989365596	0.9686939300525664	ompF	CEPHALOSPORIN	betalactams
ARO:3003582	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.11105873775100876	0.07274017634030781	0.1268140463350745	0.9686939300525664	basR	COLISTIN	Cationic antimicrobial peptides
ARO:3003285	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.2260603043393047	0.15532994510376424	0.14557084349405708	0.9686939300525664	rpoB	BETA-LACTAM;DAPTOMYCIN/RIFAXIMIN;FIDAXOMICIN;RIFAMPIN;RIFAMYCIN	Multi-drug resistance
ARO:3002865	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12404085599407857	0.08615981493312713	0.1499635601122291	0.9686939300525664	dfrC	TRIMETHOPRIM	Trimethoprim
ARO:3006875	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.1065615999608604	0.07775134156423189	0.17051728946677247	0.9686939300525664	blaEC	CEPHALOSPORIN	betalactams
