effect_label	aro_id	coef	pvalue	fdr
Groin (vs Axilla)	ARO:3007752	0.5262367529225401	7.571489474898304e-18	6.643363093429894e-16
Groin (vs Axilla)	ARO:3003900	0.5235382199102165	1.6941345247470296e-17	6.643363093429894e-16
Groin (vs Axilla)	ARO:3007751	0.5143843323988473	1.9463043833595905e-17	6.643363093429894e-16
Groin (vs Axilla)	ARO:3003794	-0.5242953845043201	2.2712352456170582e-17	6.643363093429894e-16
Groin (vs Axilla)	ARO:3003899	0.44825558638405694	1.0150408207960236e-16	2.0761945280016488e-15
Groin (vs Axilla)	ARO:3000830	0.4328425152659316	1.0647151425649481e-16	2.0761945280016488e-15
Groin (vs Axilla)	ARO:3004049	0.34176953265641374	6.11052990816144e-16	1.0213314275069835e-14
Groin (vs Axilla)	ARO:3003585	0.33313646404303143	1.4822605737272903e-15	2.167806089076162e-14
Groin (vs Axilla)	ARO:3004045	0.3254502576294394	2.3181904793968427e-15	3.013647623215895e-14
Groin (vs Axilla)	ARO:3000829	0.4662926293500357	3.807979581153337e-15	4.455336109949404e-14
Groin (vs Axilla)	ARO:3000502	0.513113563451356	8.226426996219837e-15	8.749926895979281e-14
Groin (vs Axilla)	ARO:3000516	0.2809782399849944	2.4990777370502223e-14	2.436600793623967e-13
Groin (vs Axilla)	ARO:3003395	0.3206051624390467	2.904828321085841e-14	2.614345488977257e-13
Groin (vs Axilla)	ARO:3003511	0.3105266023198661	3.26990208946988e-14	2.7327038890569715e-13
Groin (vs Axilla)	ARO:3003893	0.30417556457481565	3.836130566161172e-14	2.968971446885461e-13
Groin (vs Axilla)	ARO:3000194	-0.6446114816743683	4.237510085016672e-14	2.968971446885461e-13
Groin (vs Axilla)	ARO:3003386	0.37519853556213534	4.313890136500243e-14	2.968971446885461e-13
Groin (vs Axilla)	ARO:3000828	0.3097494683277154	8.559662156592714e-14	5.563780401785264e-13
Groin (vs Axilla)	ARO:3000216	0.6081040442765078	3.4973499922092205e-13	2.1536313109919935e-12
Groin (vs Axilla)	ARO:3003923	0.783160472494192	7.534170138162478e-13	4.4074895308250495e-12
Groin (vs Axilla)	ARO:3003968	0.3439915810333386	1.112025213683163e-12	6.195569047663337e-12
Groin (vs Axilla)	ARO:3003499	-0.4487134712720707	2.045184606318131e-12	1.0876663588146423e-11
Groin (vs Axilla)	ARO:3000217	-0.5627814088306204	2.2167047878901194e-12	1.1276280877528e-11
Groin (vs Axilla)	ARO:3003735	-0.45207524890003303	3.6145156168641784e-12	1.762076363221287e-11
Groin (vs Axilla)	ARO:3000521	-0.4713209523616799	1.6453141054884273e-11	7.70007001368584e-11
Groin (vs Axilla)	ARO:3003922	0.5276958419992472	1.9887226832191663e-11	8.949252074486249e-11
Groin (vs Axilla)	ARO:3003381	0.29245643890703893	2.3242062533940727e-11	1.0071560431374314e-10
Groin (vs Axilla)	ARO:3003896	0.3192303932700815	3.3402806664270396e-11	1.395760135614156e-10
Groin (vs Axilla)	ARO:3003373	0.25402549869687263	6.122338060525389e-11	2.4700467347636916e-10
Groin (vs Axilla)	ARO:3000617	-0.6374753119521914	6.878633561709364e-11	2.682667089066652e-10
Stool (vs Axilla)	ARO:3003395	0.6855890962766156	8.058332950530823e-60	9.428249552121062e-58
Stool (vs Axilla)	ARO:3003312	1.2298005736226205	4.2281616868582026e-58	2.4734745868120482e-56
Stool (vs Axilla)	ARO:3003899	0.8434069850688902	2.2698613728661827e-55	8.852459354178113e-54
Stool (vs Axilla)	ARO:3004045	0.624489860323491	1.6099056007035883e-52	4.7089738820579954e-51
Stool (vs Axilla)	ARO:3007752	0.9243214344565471	5.9095532632881735e-52	1.374885031995603e-50
Stool (vs Axilla)	ARO:3000829	0.8961604290278397	7.050692471772324e-52	1.374885031995603e-50
Stool (vs Axilla)	ARO:3000516	0.5565319605393776	8.278321713034254e-52	1.3836623434642965e-50
Stool (vs Axilla)	ARO:3007751	0.9058787497832571	5.993238465242429e-51	8.765111255417052e-50
Stool (vs Axilla)	ARO:3000828	0.615697015816292	4.395637150838362e-50	5.71432829608987e-49
Stool (vs Axilla)	ARO:3003900	0.9084569428556863	1.0986438904728552e-49	1.2854133518532405e-48
Stool (vs Axilla)	ARO:3004049	0.6233080636899084	1.5146218524340328e-49	1.6110068794071075e-48
Stool (vs Axilla)	ARO:3003585	0.6053264782673066	6.28565975232538e-48	6.128518258517246e-47
Stool (vs Axilla)	ARO:3000830	0.746847185439914	9.072476098316307e-47	8.165228488484677e-46
Stool (vs Axilla)	ARO:3003386	0.7043888924583562	7.160352568475506e-46	5.984008932225958e-45
Stool (vs Axilla)	ARO:3003968	0.6834647242050487	1.1595303099129052e-45	9.044336417320661e-45
Stool (vs Axilla)	ARO:3000502	0.9322141170122251	1.8564886000853245e-45	1.3575572888123935e-44
Stool (vs Axilla)	ARO:3000216	1.174387980030347	4.3973833284317634e-45	3.0264344083912724e-44
Stool (vs Axilla)	ARO:3003511	0.5719474445744648	1.2086261257789065e-44	7.856069817562891e-44
Stool (vs Axilla)	ARO:3004114	0.6150578990434936	1.6023495463542351e-43	9.867099838076079e-43
Stool (vs Axilla)	ARO:3003893	0.5406152766769006	1.8056668810469582e-41	1.0563151254124705e-40
Stool (vs Axilla)	ARO:3003373	0.47544807195855143	1.161923915976112e-34	6.4735761032954815e-34
Stool (vs Axilla)	ARO:3000194	-1.0374222839287315	3.1290349078575045e-34	1.6640776555424e-33
Stool (vs Axilla)	ARO:3003922	0.9524154788916873	6.290302251101017e-34	3.1998494059948655e-33
Stool (vs Axilla)	ARO:3003896	0.5805400084403916	1.0893841843911452e-33	5.310747898906833e-33
Stool (vs Axilla)	ARO:3003381	0.5156698055871856	3.181414765982509e-32	1.4889021104798143e-31
Stool (vs Axilla)	ARO:3000149	0.5612565350412951	1.955547076756475e-31	8.799961845404137e-31
Stool (vs Axilla)	ARO:3003923	1.2547825196909215	9.843835317040246e-31	4.26566197071744e-30
Stool (vs Axilla)	ARO:3003315	0.7364225505272178	5.264039331727443e-29	2.199616435043253e-28
Stool (vs Axilla)	ARO:3003966	0.4555390820918205	8.302652430348773e-28	3.349690808106229e-27
Stool (vs Axilla)	ARO:3003079	0.3858766990200938	3.320379986009491e-27	1.2949481945437016e-26
Postnatal Week 3 (vs Week 1)	ARO:3000829	0.5247262144512514	2.5735343368984583e-26	3.011035174171196e-24
Postnatal Week 3 (vs Week 1)	ARO:3003922	0.6537497059545792	2.17423510917618e-23	1.2719275388680652e-21
Postnatal Week 3 (vs Week 1)	ARO:3000516	0.3031383697630461	5.431520507106428e-23	1.7826875300675534e-21
Postnatal Week 3 (vs Week 1)	ARO:3007752	0.5023401104557585	6.094658222453175e-23	1.7826875300675534e-21
Postnatal Week 3 (vs Week 1)	ARO:3000502	0.5350275426276865	2.2466895871261425e-22	5.257253633875174e-21
Postnatal Week 3 (vs Week 1)	ARO:3003968	0.3900088958034523	3.5664437251586666e-22	6.9545652640594e-21
Postnatal Week 3 (vs Week 1)	ARO:3003896	0.38754719204874194	4.539538860506359e-22	7.587514952560629e-21
Postnatal Week 3 (vs Week 1)	ARO:3000830	0.41867640872774475	5.868414556324495e-22	8.582556288624574e-21
Postnatal Week 3 (vs Week 1)	ARO:3003900	0.49190429677645064	8.368273229179172e-22	1.0878755197932922e-20
Postnatal Week 3 (vs Week 1)	ARO:3000822	0.35576906376628836	9.456092643860454e-22	1.1063628393316732e-20
Postnatal Week 3 (vs Week 1)	ARO:3003893	0.3198659403337866	1.295886292264428e-21	1.3783517835903462e-20
Postnatal Week 3 (vs Week 1)	ARO:3000216	0.6620451053854773	2.477894568586622e-21	2.3938016346565258e-20
Postnatal Week 3 (vs Week 1)	ARO:3007751	0.47777890968755926	2.6597795940628062e-21	2.3938016346565258e-20
Postnatal Week 3 (vs Week 1)	ARO:3004045	0.3237830815821056	2.9068443309478964e-21	2.4292913337207418e-20
Postnatal Week 3 (vs Week 1)	ARO:3003923	0.8556469552581578	5.16462935139118e-21	4.0284108940851204e-20
Postnatal Week 3 (vs Week 1)	ARO:3003511	0.31975367123405435	7.131726343139836e-21	5.215074888421005e-20
Postnatal Week 3 (vs Week 1)	ARO:3003899	0.41970036778976477	9.983123837421617e-21	6.87073817046076e-20
Postnatal Week 3 (vs Week 1)	ARO:3000828	0.32015765358632736	1.7615939689406525e-20	1.145036079811424e-19
Postnatal Week 3 (vs Week 1)	ARO:3003297	0.6059978166272428	7.942927519997468e-20	4.891171157051072e-19
Postnatal Week 3 (vs Week 1)	ARO:3000149	0.3592298129917662	4.522394832792822e-19	2.6456009771838006e-18
Postnatal Week 3 (vs Week 1)	ARO:3003585	0.3095504135866515	4.97753013301377e-19	2.7731953598219573e-18
Postnatal Week 3 (vs Week 1)	ARO:3004049	0.30844748954158974	1.7432153344799975e-18	9.27073609700726e-18
Postnatal Week 3 (vs Week 1)	ARO:3003381	0.31780231814839993	2.7621282564874467e-18	1.4050826348218752e-17
Postnatal Week 3 (vs Week 1)	ARO:3003395	0.3032186382581223	5.303305065463223e-18	2.5853612194133214e-17
Postnatal Week 3 (vs Week 1)	ARO:3003373	0.27608737657645716	1.4901086468692742e-17	6.973708467348204e-17
Postnatal Week 3 (vs Week 1)	ARO:3003966	0.29264539370487835	4.512312760373651e-17	2.030540742168143e-16
Postnatal Week 3 (vs Week 1)	ARO:3004126	0.2910774403762471	6.330383641336443e-17	2.743166244579125e-16
Postnatal Week 3 (vs Week 1)	ARO:3003386	0.3454889889329861	7.340062630830886e-17	3.0670975993114773e-16
Postnatal Week 3 (vs Week 1)	ARO:3003312	0.5234534147993254	2.533020856108922e-16	1.0219428971198066e-15
Postnatal Week 3 (vs Week 1)	ARO:3003285	0.5318859137198284	2.7682644915010956e-16	1.0796231516854274e-15
Low infant abx (vs None)	ARO:3003291	-0.4460022652175766	4.3000253391794155e-05	0.005031029646839916
Low infant abx (vs None)	ARO:3000186	-0.515984570640413	0.00017167882509117684	0.010043211267833843
Low infant abx (vs None)	ARO:3003735	-0.2883427080011408	0.0013242507127563658	0.051645777797498266
Low infant abx (vs None)	ARO:3003797	-0.16599779631549882	0.005021286433034163	0.14687262816624924
Low infant abx (vs None)	ARO:3003499	-0.2509784655487186	0.006375046226497877	0.14917608170005034
Low infant abx (vs None)	ARO:3000412	0.2526265941824437	0.009283981052098668	0.1741310380047819
Low infant abx (vs None)	ARO:3003805	-0.15212746380900022	0.010445883633348082	0.1741310380047819
Low infant abx (vs None)	ARO:3003729	-0.2165548995599705	0.012662360395166666	0.1741310380047819
Low infant abx (vs None)	ARO:3000194	-0.31334477920709597	0.013456926692104495	0.1741310380047819
Low infant abx (vs None)	ARO:3003285	-0.2682820993952375	0.014882994701263412	0.1741310380047819
Low infant abx (vs None)	ARO:3003737	-0.12917392925251162	0.021778564309807756	0.23164472947704615
Low infant abx (vs None)	ARO:3003079	-0.10920688937104693	0.027824737525618568	0.26455565805157333
Low infant abx (vs None)	ARO:3002865	-0.1328212896525636	0.02939507311684148	0.26455565805157333
Low infant abx (vs None)	ARO:3003297	-0.23616559631549366	0.03699485350777954	0.30917127574358616
Low infant abx (vs None)	ARO:3003078	-0.09825056514251888	0.04588021176843257	0.33456469708438114
Low infant abx (vs None)	ARO:3003303	-0.1920914035248086	0.0577919187177068	0.33456469708438114
Low infant abx (vs None)	ARO:3003395	-0.13190722737052796	0.05962663913995052	0.33456469708438114
Low infant abx (vs None)	ARO:3003901	-0.1353213157180469	0.059778303571927156	0.33456469708438114
Low infant abx (vs None)	ARO:3001387	0.12601163675408486	0.0601807206491092	0.33456469708438114
Low infant abx (vs None)	ARO:3000217	-0.22472996091433547	0.0606846073746448	0.33456469708438114
Low infant abx (vs None)	ARO:3001044	0.12859319155994314	0.062211633129309406	0.33456469708438114
Low infant abx (vs None)	ARO:3003077	-0.07530161497493498	0.06290960116116569	0.33456469708438114
Low infant abx (vs None)	ARO:3000621	-0.2034826749265648	0.06662591339937206	0.33892312468376223
Low infant abx (vs None)	ARO:3000172	-0.09477839573598915	0.08346863319315653	0.40690958681663814
Low infant abx (vs None)	ARO:3000617	-0.22903589574266486	0.09901813984290332	0.46340489446478755
Low infant abx (vs None)	ARO:3003794	-0.12849477967784767	0.11071858031489717	0.4736200204425307
Low infant abx (vs None)	ARO:3003092	-0.11858145713908794	0.11218017690827001	0.4736200204425307
Low infant abx (vs None)	ARO:3003751	0.09737022327972032	0.1170984668644017	0.4736200204425307
Low infant abx (vs None)	ARO:3000565	-0.11914645361828868	0.11855664806767399	0.4736200204425307
Low infant abx (vs None)	ARO:3003315	-0.16795234947651863	0.1253009709467077	0.4736200204425307
High infant abx (vs None)	ARO:3003291	-0.6937747298771734	1.1931566373045598e-11	1.3959932656463348e-09
High infant abx (vs None)	ARO:3003735	-0.4690951366581155	2.532157131138993e-08	1.4813119217163108e-06
High infant abx (vs None)	ARO:3003729	-0.40787691229351136	5.117032520760874e-07	1.628635958498409e-05
High infant abx (vs None)	ARO:3002865	-0.2854383593257161	5.567986182900543e-07	1.628635958498409e-05
High infant abx (vs None)	ARO:3003737	-0.2535261365564933	1.5478246662253414e-06	3.26683118094064e-05
High infant abx (vs None)	ARO:3003901	-0.3206145949236349	1.6752980415080204e-06	3.26683118094064e-05
High infant abx (vs None)	ARO:3000621	-0.46426877264393696	7.759827817162426e-06	0.00012969997922971483
High infant abx (vs None)	ARO:3003797	-0.24456868702010723	9.599851086653207e-06	0.0001371071692890822
High infant abx (vs None)	ARO:3000186	-0.563811215710731	1.0546705329929401e-05	0.0001371071692890822
High infant abx (vs None)	ARO:3000617	-0.5650224905641316	1.3714136927049351e-05	0.00014737838009545103
High infant abx (vs None)	ARO:3000215	-0.2987976714261455	1.3856087017521038e-05	0.00014737838009545103
High infant abx (vs None)	ARO:3003805	-0.23921334363308788	1.666783701718496e-05	0.00016251141091755338
High infant abx (vs None)	ARO:3003499	-0.3690539295354278	1.906246069126833e-05	0.000171562146221415
High infant abx (vs None)	ARO:3000217	-0.47488017190871396	2.1735059036205128e-05	0.00018164299337399998
High infant abx (vs None)	ARO:3003285	-0.41753818070478127	5.165725910962578e-05	0.00040172297282042234
High infant abx (vs None)	ARO:3000194	-0.47857649745084135	5.4936474915613316e-05	0.00040172297282042234
High infant abx (vs None)	ARO:3000172	-0.20239729999367945	8.420970300111107e-05	0.0005795608971252938
High infant abx (vs None)	ARO:3003303	-0.3682120351182766	9.632385776437581e-05	0.0005952383160514933
High infant abx (vs None)	ARO:3003930	-0.2126213692738373	9.666263252118269e-05	0.0005952383160514933
High infant abx (vs None)	ARO:3003092	-0.2613725081661022	0.00017935325327918779	0.0010492165316832486
High infant abx (vs None)	ARO:3003323	-0.15520451900324203	0.00019748162908102341	0.0011002547905942734
High infant abx (vs None)	ARO:3003937	-0.2671498065388056	0.00027466602510459973	0.001460723860783553
High infant abx (vs None)	ARO:3000565	-0.2506584009471423	0.0003886707871983963	0.0019510625732459793
High infant abx (vs None)	ARO:3003794	-0.2678036990049165	0.00040590827199436715	0.0019510625732459793
High infant abx (vs None)	ARO:3000124	-0.10248660899608339	0.0004168937122320468	0.0019510625732459793
High infant abx (vs None)	ARO:3003890	-0.31545199565948046	0.0007044334798664806	0.003169950659399163
High infant abx (vs None)	ARO:3003079	-0.15396350005458248	0.000935587915243271	0.004054214299387507
High infant abx (vs None)	ARO:3003297	-0.3453482275949891	0.0011171177828462589	0.004667956449750439
High infant abx (vs None)	ARO:3003315	-0.3285264489350622	0.0012571972729168812	0.005072140721768106
High infant abx (vs None)	ARO:3003078	-0.14652029874686695	0.0014983929431809091	0.005843732478405546
Maternal abx (vs None)	ARO:3000502	0.33108797474697554	0.0017236912237335513	0.20167187317682547
Maternal abx (vs None)	ARO:3003077	-0.09713136111323693	0.010963867224952559	0.3786905606166799
Maternal abx (vs None)	ARO:3003499	0.21641502840617502	0.012649728221564063	0.3786905606166799
Maternal abx (vs None)	ARO:3000194	0.2921139841725835	0.01458508013291832	0.3786905606166799
Maternal abx (vs None)	ARO:3003078	-0.11067303749502092	0.017113231457742187	0.3786905606166799
Maternal abx (vs None)	ARO:3004114	0.1704909423358656	0.019420028749573326	0.3786905606166799
Maternal abx (vs None)	ARO:3003079	-0.101781405483575	0.029701493406524615	0.46535904727465505
Maternal abx (vs None)	ARO:3003210	0.030515434405585833	0.03985178848145985	0.46535904727465505
Maternal abx (vs None)	ARO:3007752	0.20014664476607863	0.049419822776660016	0.46535904727465505
Maternal abx (vs None)	ARO:3000829	0.19552454003212452	0.05245405751602784	0.46535904727465505
Maternal abx (vs None)	ARO:3003805	-0.1048441713858873	0.06140492963049647	0.46535904727465505
