aro_id	gene_family	subclass	resistance_type	megares_class	aro_match_method	n_rows
ARO:3000005	vanD	VANCOMYCIN	acquired	Glycopeptides	gene_name	12
ARO:3000026	mepA	TIGECYCLINE	acquired	Drug and biocide resistance	accession;gene_name	138
ARO:3000027	emrA-sm	EFFLUX	intrinsic	Multi-drug resistance	gene_family	1
ARO:3000074	emrB-sm	EFFLUX	intrinsic	Multi-drug resistance	gene_family	1
ARO:3000090	bla1	BETA-LACTAM	acquired	betalactams	gene_name	6
ARO:3000124	mecI_of_mecA	METHICILLIN	acquired	betalactams	gene_family	208
ARO:3000149	fosA5_fam;fosA_PA1129;fosA_gen;fos_A_A2	FOSFOMYCIN	acquired	Fosfomycin	gene_family;gene_name	801
ARO:3000165	tet(A)	TETRACYCLINE	acquired	Tetracyclines	gene_name	341
ARO:3000166	tet(B)	TETRACYCLINE	acquired	Tetracyclines	gene_name	252
ARO:3000167	tet(C)	TETRACYCLINE	acquired	Tetracyclines	gene_name	126
ARO:3000168	tet(D)	TETRACYCLINE	acquired	Tetracyclines	gene_name	12
ARO:3000172	fosB-Saur;fosB-Sepi;fosB_gen;fosBx1-fam	FOSFOMYCIN	acquired	Fosfomycin	gene_family;gene_name	523
ARO:3000173	tet(E)	TETRACYCLINE	acquired	Tetracyclines	gene_name	3
ARO:3000175	tet(H)	TETRACYCLINE	acquired	Tetracyclines	gene_name	4
ARO:3000177	tet(J)	TETRACYCLINE	acquired	Tetracyclines	gene_name	22
ARO:3000178	tet(K)	TETRACYCLINE	acquired	Tetracyclines	gene_name	74
ARO:3000179	tet(L)	TETRACYCLINE	acquired	Tetracyclines	gene_name	336
ARO:3000180	tetA(P)	TETRACYCLINE	acquired	Tetracyclines	gene_name	72
ARO:3000186	tet(M)	TETRACYCLINE	acquired	Tetracyclines	gene_name	3681
ARO:3000190	tet(O)	TETRACYCLINE	acquired	Tetracyclines	gene_name	218
ARO:3000191	tet(Q)	TETRACYCLINE	acquired	Tetracyclines	gene_name	25
ARO:3000194	tet(W)	TETRACYCLINE	acquired	Tetracyclines	gene_name	2418
ARO:3000195	tetB(P)	TETRACYCLINE	acquired	Tetracyclines	gene_name	18
ARO:3000215	mecR1	METHICILLIN	acquired	betalactams	gene_name	170
ARO:3000216	acrB	AZITHROMYCIN;AZITHROMYCIN/CLARITHROMYCIN/ERYTHROMYCIN;CEFTIBUTEN-AVIBACTAM;CEPHALOSPORIN	intrinsic	Drug and biocide resistance	gene_name	870
ARO:3000217	blaR1;blaR1-2	BETA-LACTAM	acquired	betalactams	gene_family;gene_name	1203
ARO:3000377	mexA	EFFLUX	intrinsic	Drug and biocide resistance	gene_name	5
ARO:3000378	mexB	CARBAPENEM/VABORBACTAM	acquired	Drug and biocide resistance	gene_name	6
ARO:3000410	sul1	SULFONAMIDE	acquired	Sulfonamides	gene_name	2230
ARO:3000412	sul2	SULFONAMIDE	acquired	Sulfonamides	gene_name	519
ARO:3000502	acrF	EFFLUX	intrinsic	Drug and biocide resistance	accession	216
ARO:3000506	mexR	AZTREONAM/AZTREONAM-AVIBACTAM/CARBAPENEM/VABORBACTAM	acquired	Drug and biocide resistance	gene_name	3
ARO:3000516	emrR	NITROXOLINE	intrinsic	Drug and biocide resistance	gene_name	219
ARO:3000521	mupA	MUPIROCIN	acquired	Mupirocin	gene_name	518
ARO:3000549	adeS	EFFLUX	intrinsic	Drug and biocide resistance	gene_name	3
ARO:3000553	adeR	EFFLUX	intrinsic	Drug and biocide resistance	gene_name	3
ARO:3000556	tet(44)	TETRACYCLINE	acquired	Tetracyclines	gene_name	4
ARO:3000565	tet(38)	TETRACYCLINE	acquired	Tetracyclines	gene_name	432
