aro_id	PostNatalAbxCohort	n_samples	prevalence_pct	median_rpm	mean_rpm
ARO:3000005	No.Infant.Abx	289	1.0380622837370241	0.0	0.16258377162629759
ARO:3000005	Low.Infant.Abx	133	0.0	0.0	0.0
ARO:3000005	High.Infant.Abx	220	0.0	0.0	0.0
ARO:3000026	No.Infant.Abx	289	16.608996539792386	0.0	2.72408437716263
ARO:3000026	Low.Infant.Abx	133	12.030075187969924	0.0	1.5656213609022558
ARO:3000026	High.Infant.Abx	220	2.272727272727273	0.0	0.9299307272727272
ARO:3000027	No.Infant.Abx	289	0.0	0.0	0.0
ARO:3000027	Low.Infant.Abx	133	0.7518796992481203	0.0	0.011076992481203009
ARO:3000027	High.Infant.Abx	220	0.0	0.0	0.0
ARO:3000074	No.Infant.Abx	289	0.0	0.0	0.0
ARO:3000074	Low.Infant.Abx	133	0.7518796992481203	0.0	0.008307744360902255
ARO:3000074	High.Infant.Abx	220	0.0	0.0	0.0
ARO:3000090	No.Infant.Abx	289	0.6920415224913495	0.0	0.004253249134948097
ARO:3000090	Low.Infant.Abx	133	0.7518796992481203	0.0	0.01353187969924812
ARO:3000090	High.Infant.Abx	220	1.3636363636363635	0.0	0.04119695454545455
ARO:3000124	No.Infant.Abx	289	22.837370242214533	0.0	0.5889887245674741
ARO:3000124	Low.Infant.Abx	133	21.052631578947366	0.0	0.7376614285714286
ARO:3000124	High.Infant.Abx	220	4.545454545454546	0.0	0.0703779909090909
ARO:3000149	No.Infant.Abx	289	34.602076124567475	0.0	7.628885581314879
ARO:3000149	Low.Infant.Abx	133	25.563909774436087	0.0	6.5307788345864655
ARO:3000149	High.Infant.Abx	220	27.727272727272727	0.0	11.603703936363635
ARO:3000165	No.Infant.Abx	289	3.1141868512110724	0.0	3.7796632249134947
ARO:3000165	Low.Infant.Abx	133	9.022556390977442	0.0	24.629925368421056
ARO:3000165	High.Infant.Abx	220	4.545454545454546	0.0	12.86398119090909
ARO:3000166	No.Infant.Abx	289	5.190311418685121	0.0	4.841144089965399
ARO:3000166	Low.Infant.Abx	133	2.2556390977443606	0.0	12.607886390977443
ARO:3000166	High.Infant.Abx	220	0.0	0.0	0.0
