aro_id	SampleType	SampleCollectionWeek	n_samples	prevalence_pct	median_rpm	mean_rpm
ARO:3000005	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000005	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000005	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000005	Groin	Week.3	100	1.0	0.0	0.0500675
ARO:3000005	Stool	Week.1	116	0.0	0.0	0.0
ARO:3000005	Stool	Week.3	102	1.9607843137254901	0.0	0.4115682352941176
ARO:3000026	Axilla	Week.1	114	11.403508771929824	0.0	1.1146918859649124
ARO:3000026	Axilla	Week.3	103	8.737864077669903	0.0	0.2591680873786408
ARO:3000026	Groin	Week.1	107	9.345794392523365	0.0	0.9494876261682244
ARO:3000026	Groin	Week.3	100	8.0	0.0	0.4167263799999999
ARO:3000026	Stool	Week.1	116	14.655172413793101	0.0	6.786326655172414
ARO:3000026	Stool	Week.3	102	11.76470588235294	0.0	1.1355087450980392
ARO:3000027	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000027	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000027	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000027	Groin	Week.3	100	0.0	0.0	0.0
ARO:3000027	Stool	Week.1	116	0.8620689655172413	0.0	0.012700344827586208
ARO:3000027	Stool	Week.3	102	0.0	0.0	0.0
ARO:3000074	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000074	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000074	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000074	Groin	Week.3	100	0.0	0.0	0.0
ARO:3000074	Stool	Week.1	116	0.8620689655172413	0.0	0.009525258620689654
ARO:3000074	Stool	Week.3	102	0.0	0.0	0.0
ARO:3000090	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000090	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000090	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000090	Groin	Week.3	100	0.0	0.0	0.0
ARO:3000090	Stool	Week.1	116	2.586206896551724	0.0	0.026111456896551727
ARO:3000090	Stool	Week.3	102	2.941176470588235	0.0	0.08885617647058824
ARO:3000124	Axilla	Week.1	114	23.684210526315788	0.0	0.6220976929824561
ARO:3000124	Axilla	Week.3	103	8.737864077669903	0.0	0.10652046601941748
ARO:3000124	Groin	Week.1	107	17.75700934579439	0.0	0.3452190504672897
ARO:3000124	Groin	Week.3	100	17.0	0.0	0.21308962
ARO:3000124	Stool	Week.1	116	21.551724137931032	0.0	1.097352327586207
ARO:3000124	Stool	Week.3	102	6.862745098039216	0.0	0.160577
ARO:3000149	Axilla	Week.1	114	5.263157894736842	0.0	0.6039723771929825
ARO:3000149	Axilla	Week.3	103	14.563106796116504	0.0	1.4001516893203882
ARO:3000149	Groin	Week.1	107	16.822429906542055	0.0	2.61355576635514
ARO:3000149	Groin	Week.3	100	56.99999999999999	2.117753	11.97474125
ARO:3000149	Stool	Week.1	116	25.0	0.0	9.414118344827584
ARO:3000149	Stool	Week.3	102	68.62745098039215	11.43851	27.88162342156863
ARO:3000165	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000165	Axilla	Week.3	103	3.8834951456310676	0.0	1.0183731067961166
ARO:3000165	Groin	Week.1	107	1.8691588785046727	0.0	4.437379345794392
ARO:3000165	Groin	Week.3	100	10.0	0.0	23.689599209999997
ARO:3000165	Stool	Week.1	116	3.4482758620689653	0.0	9.073956344827586
ARO:3000165	Stool	Week.3	102	10.784313725490197	0.0	31.342624813725493
ARO:3000166	Axilla	Week.1	114	1.7543859649122806	0.0	2.2225082456140353
ARO:3000166	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000166	Groin	Week.1	107	0.9345794392523363	0.0	0.2571603738317757
ARO:3000166	Groin	Week.3	100	3.0	0.0	3.6005963399999996
ARO:3000166	Stool	Week.1	116	6.0344827586206895	0.0	17.229609051724136
ARO:3000166	Stool	Week.3	102	4.901960784313726	0.0	4.278070078431372
ARO:3000167	Axilla	Week.1	114	6.140350877192982	0.0	1.2767086315789473
ARO:3000167	Axilla	Week.3	103	4.854368932038835	0.0	2.3139252815533977
ARO:3000167	Groin	Week.1	107	4.672897196261682	0.0	3.45341261682243
ARO:3000167	Groin	Week.3	100	0.0	0.0	0.0
ARO:3000167	Stool	Week.1	116	0.0	0.0	0.0
ARO:3000167	Stool	Week.3	102	0.0	0.0	0.0
ARO:3000168	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000168	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000168	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000168	Groin	Week.3	100	1.0	0.0	1.281256
ARO:3000168	Stool	Week.1	116	0.8620689655172413	0.0	0.02822451724137931
ARO:3000168	Stool	Week.3	102	0.9803921568627451	0.0	1.962806862745098
ARO:3000172	Axilla	Week.1	114	50.0	0.18485400000000002	3.709404675438597
ARO:3000172	Axilla	Week.3	103	55.33980582524271	0.634536	3.056740368932039
ARO:3000172	Groin	Week.1	107	28.971962616822427	0.0	1.2739967757009345
ARO:3000172	Groin	Week.3	100	38.0	0.0	1.71934078
ARO:3000172	Stool	Week.1	116	36.206896551724135	0.0	4.005151405172414
ARO:3000172	Stool	Week.3	102	22.54901960784314	0.0	2.222698147058823
ARO:3000173	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000173	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000173	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000173	Groin	Week.3	100	0.0	0.0	0.0
ARO:3000173	Stool	Week.1	116	0.0	0.0	0.0
ARO:3000173	Stool	Week.3	102	0.9803921568627451	0.0	0.036137843137254905
ARO:3000175	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000175	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000175	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000175	Groin	Week.3	100	1.0	0.0	0.300184
ARO:3000175	Stool	Week.1	116	0.0	0.0	0.0
ARO:3000175	Stool	Week.3	102	0.0	0.0	0.0
ARO:3000177	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000177	Axilla	Week.3	103	0.9708737864077669	0.0	0.00666673786407767
ARO:3000177	Groin	Week.1	107	0.0	0.0	0.0
ARO:3000177	Groin	Week.3	100	4.0	0.0	0.4455214
ARO:3000177	Stool	Week.1	116	1.7241379310344827	0.0	0.18644827586206897
ARO:3000177	Stool	Week.3	102	3.9215686274509802	0.0	0.28426715686274506
ARO:3000178	Axilla	Week.1	114	4.385964912280701	0.0	0.13610122807017544
ARO:3000178	Axilla	Week.3	103	5.825242718446602	0.0	0.24731871844660194
ARO:3000178	Groin	Week.1	107	2.803738317757009	0.0	0.22634955140186916
ARO:3000178	Groin	Week.3	100	7.000000000000001	0.0	1.14173818
ARO:3000178	Stool	Week.1	116	7.758620689655173	0.0	2.200729206896552
ARO:3000178	Stool	Week.3	102	6.862745098039216	0.0	1.993238450980392
ARO:3000179	Axilla	Week.1	114	1.7543859649122806	0.0	1.3924578508771928
ARO:3000179	Axilla	Week.3	103	2.912621359223301	0.0	0.6462624466019418
ARO:3000179	Groin	Week.1	107	4.672897196261682	0.0	0.607594
ARO:3000179	Groin	Week.3	100	8.0	0.0	3.31922723
ARO:3000179	Stool	Week.1	116	8.620689655172415	0.0	16.141795913793104
ARO:3000179	Stool	Week.3	102	15.686274509803921	0.0	16.75884605882353
ARO:3000180	Axilla	Week.1	114	0.0	0.0	0.0
ARO:3000180	Axilla	Week.3	103	0.0	0.0	0.0
ARO:3000180	Groin	Week.1	107	0.9345794392523363	0.0	0.062365981308411214
ARO:3000180	Groin	Week.3	100	9.0	0.0	3.2318990599999995
ARO:3000180	Stool	Week.1	116	1.7241379310344827	0.0	0.7705356034482759
ARO:3000180	Stool	Week.3	102	14.705882352941178	0.0	4.968184509803921
ARO:3000186	Axilla	Week.1	114	7.017543859649122	0.0	11.38517592105263
ARO:3000186	Axilla	Week.3	103	14.563106796116504	0.0	19.078496796116504
ARO:3000186	Groin	Week.1	107	13.084112149532709	0.0	20.711326869158878
ARO:3000186	Groin	Week.3	100	35.0	0.0	75.44750943000001
ARO:3000186	Stool	Week.1	116	37.93103448275862	0.0	359.7935807413793
ARO:3000186	Stool	Week.3	102	51.9607843137255	2.6343550000000002	321.61027675490203
ARO:3000190	Axilla	Week.1	114	0.8771929824561403	0.0	0.06936611403508772
ARO:3000190	Axilla	Week.3	103	1.9417475728155338	0.0	0.20422135922330098
