category	effect	effect_label	coef	se	pvalue	fdr
Vancomycin (VRE)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.04818544311417893	0.03167346893363624	0.12817985971214818	0.5111166451738223
ESBL	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.36806315114375443	0.24396096564372596	0.13137625963082022	0.5111166451738223
Sulfonamide	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.27778062153402433	0.18793772940837405	0.13939544868376968	0.5111166451738223
Colistin (mcr)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.06342108616469286	0.04841565250802932	0.19021972354214078	0.5231042397408872
Aminoglycoside	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.16801253181159928	0.17867380671190927	0.3470477672990149	0.6539864482806517
Methicillin (mecA)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.18161304508416265	0.2015726537802615	0.3675986490008587	0.6539864482806517
Tetracycline	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.17920989742751153	0.22040916345590505	0.41617319436041467	0.6539864482806517
Carbapenemase	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0440228891717998	0.14052985246457483	0.7540803932287701	0.992000714595819
Trimethoprim	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.03470003515660482	0.15388997399308982	0.8216012129119408	0.992000714595819
Fluoroquinolone	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.018029253545931587	0.1598079451918532	0.9101746451759185	0.992000714595819
Macrolide (MLS)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0016866851791018233	0.1682347172521505	0.992000714595819	0.992000714595819
Aminoglycoside	BodySite[T.Groin]	Groin (vs Axilla)	-0.7649481135735328	0.08674379894633547	1.1602801468128402e-18	1.2763081614941242e-17
Macrolide (MLS)	BodySite[T.Groin]	Groin (vs Axilla)	-0.7672108352393036	0.09291316735633479	1.4901884165977544e-16	8.196036291287649e-16
Fluoroquinolone	BodySite[T.Groin]	Groin (vs Axilla)	0.45796288314586614	0.06493448618212405	1.7548994841761496e-12	6.434631441979216e-12
Methicillin (mecA)	BodySite[T.Groin]	Groin (vs Axilla)	-0.6562397729446623	0.10054091058719505	6.705886192326345e-11	1.8441187028897448e-10
ESBL	BodySite[T.Groin]	Groin (vs Axilla)	0.551697351259304	0.08747914100734955	2.852022269700379e-10	6.274448993340834e-10
Tetracycline	BodySite[T.Groin]	Groin (vs Axilla)	-0.37611084435128617	0.09036114799725367	3.15048308201419e-05	5.7758856503593484e-05
Sulfonamide	BodySite[T.Groin]	Groin (vs Axilla)	0.27179302810249173	0.07834974740293361	0.0005224551883436076	0.0008210010102542406
Trimethoprim	BodySite[T.Groin]	Groin (vs Axilla)	-0.10995504203898147	0.06131615234871358	0.07293334459432829	0.1002833488172014
Carbapenemase	BodySite[T.Groin]	Groin (vs Axilla)	0.057766758129803336	0.04406528446429512	0.1898794607473342	0.232074896468964
Colistin (mcr)	BodySite[T.Groin]	Groin (vs Axilla)	0.025656949725869675	0.023768172718421576	0.28037975410299143	0.3084177295132906
Vancomycin (VRE)	BodySite[T.Groin]	Groin (vs Axilla)	0.012166727527343968	0.016874267414828503	0.47089563323070016	0.47089563323070016
Fluoroquinolone	BodySite[T.Stool]	Stool (vs Axilla)	0.8115064743176436	0.06471637953671008	4.542542983754571e-36	4.996797282130027e-35
ESBL	BodySite[T.Stool]	Stool (vs Axilla)	0.8194296765414216	0.08722800941618684	5.770257312787154e-21	3.1736415220329343e-20
Methicillin (mecA)	BodySite[T.Stool]	Stool (vs Axilla)	-0.7333233788282844	0.10019602310933406	2.5003588166291707e-13	9.167982327640294e-13
Sulfonamide	BodySite[T.Stool]	Stool (vs Axilla)	0.5430689728254995	0.07810139826882904	3.566275153833805e-12	9.807256673042963e-12
Vancomycin (VRE)	BodySite[T.Stool]	Stool (vs Axilla)	0.09769521977978785	0.016811810085824032	6.2061244319917464e-09	1.3653473750381843e-08
Aminoglycoside	BodySite[T.Stool]	Stool (vs Axilla)	-0.46201405733676426	0.08643618662501948	9.034408587335167e-08	1.6563082410114474e-07
Macrolide (MLS)	BodySite[T.Stool]	Stool (vs Axilla)	-0.4835309333741773	0.09256351714565884	1.7531233087646748e-07	2.7549080566302033e-07
Carbapenemase	BodySite[T.Stool]	Stool (vs Axilla)	0.18887722606056062	0.043944555190862926	1.7228376806384273e-05	2.3689018108778376e-05
Tetracycline	BodySite[T.Stool]	Stool (vs Axilla)	0.32105083658949113	0.09005879734579982	0.0003639913989782674	0.00044487837652899343
