effect_label	category	coef	pvalue	fdr
Groin (vs Axilla)	Aminoglycoside	-0.7649481135735328	1.1602801468128402e-18	1.2763081614941242e-17
Groin (vs Axilla)	Macrolide (MLS)	-0.7672108352393036	1.4901884165977544e-16	8.196036291287649e-16
Groin (vs Axilla)	Fluoroquinolone	0.45796288314586614	1.7548994841761496e-12	6.434631441979216e-12
Groin (vs Axilla)	Methicillin (mecA)	-0.6562397729446623	6.705886192326345e-11	1.8441187028897448e-10
Groin (vs Axilla)	ESBL	0.551697351259304	2.852022269700379e-10	6.274448993340834e-10
Groin (vs Axilla)	Tetracycline	-0.37611084435128617	3.15048308201419e-05	5.7758856503593484e-05
Groin (vs Axilla)	Sulfonamide	0.27179302810249173	0.0005224551883436076	0.0008210010102542406
Groin (vs Axilla)	Trimethoprim	-0.10995504203898147	0.07293334459432829	0.1002833488172014
Groin (vs Axilla)	Carbapenemase	0.057766758129803336	0.1898794607473342	0.232074896468964
Groin (vs Axilla)	Colistin (mcr)	0.025656949725869675	0.28037975410299143	0.3084177295132906
Groin (vs Axilla)	Vancomycin (VRE)	0.012166727527343968	0.47089563323070016	0.47089563323070016
Stool (vs Axilla)	Fluoroquinolone	0.8115064743176436	4.542542983754571e-36	4.996797282130027e-35
Stool (vs Axilla)	ESBL	0.8194296765414216	5.770257312787154e-21	3.1736415220329343e-20
Stool (vs Axilla)	Methicillin (mecA)	-0.7333233788282844	2.5003588166291707e-13	9.167982327640294e-13
Stool (vs Axilla)	Sulfonamide	0.5430689728254995	3.566275153833805e-12	9.807256673042963e-12
Stool (vs Axilla)	Vancomycin (VRE)	0.09769521977978785	6.2061244319917464e-09	1.3653473750381843e-08
Stool (vs Axilla)	Aminoglycoside	-0.46201405733676426	9.034408587335167e-08	1.6563082410114474e-07
Stool (vs Axilla)	Macrolide (MLS)	-0.4835309333741773	1.7531233087646748e-07	2.7549080566302033e-07
Stool (vs Axilla)	Carbapenemase	0.18887722606056062	1.7228376806384273e-05	2.3689018108778376e-05
Stool (vs Axilla)	Tetracycline	0.32105083658949113	0.0003639913989782674	0.00044487837652899343
Stool (vs Axilla)	Colistin (mcr)	0.0792684455053337	0.0008234391377849338	0.0009057830515634272
Stool (vs Axilla)	Trimethoprim	0.08798997749330927	0.15007400918428607	0.15007400918428607
Postnatal Week 3 (vs Week 1)	Tetracycline	0.7548566576918427	1.021342766689837e-23	1.1234770433588206e-22
Postnatal Week 3 (vs Week 1)	Fluoroquinolone	0.5090037908433704	4.58723205925544e-21	2.522977632590492e-20
Postnatal Week 3 (vs Week 1)	ESBL	0.6398407589060215	2.0202742959934637e-18	7.407672418642701e-18
Postnatal Week 3 (vs Week 1)	Aminoglycoside	0.58651512317537	3.309653614122408e-16	9.101547438836622e-16
Postnatal Week 3 (vs Week 1)	Sulfonamide	0.5106400750325732	4.7117909515326856e-15	1.0365940093371908e-14
Postnatal Week 3 (vs Week 1)	Macrolide (MLS)	0.5233130929810652	8.605690812351072e-12	1.5777099822643632e-11
Postnatal Week 3 (vs Week 1)	Colistin (mcr)	0.06650990163939852	0.0007241371470656726	0.0011379298025317713
Postnatal Week 3 (vs Week 1)	Carbapenemase	0.09026165008458054	0.014533720305161077	0.01998386541959648
Postnatal Week 3 (vs Week 1)	Trimethoprim	0.08338369343691834	0.10254858895599267	0.12533716427954658
Postnatal Week 3 (vs Week 1)	Vancomycin (VRE)	0.016609430802497174	0.2336889776265021	0.2570578753891523
Postnatal Week 3 (vs Week 1)	Methicillin (mecA)	-0.07121441460425168	0.3920769979919537	0.3920769979919537
Low infant abx (vs None)	Tetracycline	-0.49379729066412975	0.001343126408640675	0.014774390495047423
Low infant abx (vs None)	Vancomycin (VRE)	-0.051825447678609124	0.021776870967372026	0.11977279032054615
Low infant abx (vs None)	Methicillin (mecA)	-0.23835327263716924	0.09509170365420166	0.3486695800654061
Low infant abx (vs None)	Carbapenemase	0.12649111002437138	0.18542000836925943	0.5099050230154634
Low infant abx (vs None)	ESBL	0.1738588995494925	0.30151966467654157	0.6633432622883915
Low infant abx (vs None)	Aminoglycoside	-0.11446821696566674	0.3650166280067383	0.6691971513456869
Low infant abx (vs None)	Trimethoprim	-0.0809995865061958	0.4508311080859776	0.7084488841351076
Low infant abx (vs None)	Sulfonamide	0.08325872200400673	0.5265098718552201	0.7239510738009277
Low infant abx (vs None)	Macrolide (MLS)	-0.059641121309068165	0.6189806359926147	0.7565318884354179
Low infant abx (vs None)	Fluoroquinolone	-0.00653301463864069	0.9533437270241432	0.9649012579043101
Low infant abx (vs None)	Colistin (mcr)	-0.0015081911746438479	0.9649012579043101	0.9649012579043101
High infant abx (vs None)	Methicillin (mecA)	-0.582360932986841	1.3156727991531928e-05	0.00013219463845062465
High infant abx (vs None)	Tetracycline	-0.6027328713328536	2.403538880920448e-05	0.00013219463845062465
High infant abx (vs None)	Carbapenemase	0.30651200041853943	0.0005106497942083855	0.0018723825787640804
High infant abx (vs None)	Vancomycin (VRE)	-0.06670148027102848	0.0016198956226569218	0.004454712962306534
High infant abx (vs None)	Trimethoprim	-0.2936477989445368	0.003093366338162954	0.006805405943958499
High infant abx (vs None)	Macrolide (MLS)	-0.3256224619959578	0.003909079653735869	0.007166646031849093
High infant abx (vs None)	Aminoglycoside	-0.10180091104873486	0.38893902817406845	0.6111899014163933
High infant abx (vs None)	Sulfonamide	0.07005946876402502	0.5656690223814826	0.7355350593976164
High infant abx (vs None)	ESBL	0.0809189700401079	0.6018014122344135	0.7355350593976164
High infant abx (vs None)	Fluoroquinolone	0.030341612577142345	0.7690799102595276	0.8459879012854804
High infant abx (vs None)	Colistin (mcr)	-0.0036969889326159927	0.9081223564311395	0.9081223564311395
Maternal abx (vs None)	Carbapenemase	-0.1422303016939824	0.1228552201985273	0.6388496277670851
Maternal abx (vs None)	Sulfonamide	0.13421828191103163	0.28133417255354465	0.6388496277670851
Maternal abx (vs None)	Trimethoprim	0.10150377868614466	0.3186691393551728	0.6388496277670851
Maternal abx (vs None)	ESBL	0.13952150130509858	0.3854568692634128	0.6388496277670851
Maternal abx (vs None)	Colistin (mcr)	0.02490826276703556	0.4411038510967682	0.6388496277670851
Maternal abx (vs None)	Fluoroquinolone	0.07951124834010324	0.4523519624662906	0.6388496277670851
Maternal abx (vs None)	Methicillin (mecA)	-0.10027029533176154	0.45683058748747796	0.6388496277670851
Maternal abx (vs None)	Tetracycline	0.1067513130713724	0.4646179111033346	0.6388496277670851
Maternal abx (vs None)	Aminoglycoside	0.0662903182506592	0.5784834816471138	0.7070353664575835
Maternal abx (vs None)	Vancomycin (VRE)	0.00542999240846942	0.798369623486658	0.8782065858353237
Maternal abx (vs None)	Macrolide (MLS)	-0.008240610761472592	0.9419898329584717	0.9419898329584717
Donor milk (vs Mother's)	Vancomycin (VRE)	0.04818544311417893	0.12817985971214818	0.5111166451738223
Donor milk (vs Mother's)	ESBL	-0.36806315114375443	0.13137625963082022	0.5111166451738223
Donor milk (vs Mother's)	Sulfonamide	-0.27778062153402433	0.13939544868376968	0.5111166451738223
Donor milk (vs Mother's)	Colistin (mcr)	0.06342108616469286	0.19021972354214078	0.5231042397408872
Donor milk (vs Mother's)	Aminoglycoside	0.16801253181159928	0.3470477672990149	0.6539864482806517
Donor milk (vs Mother's)	Methicillin (mecA)	0.18161304508416265	0.3675986490008587	0.6539864482806517
Donor milk (vs Mother's)	Tetracycline	0.17920989742751153	0.41617319436041467	0.6539864482806517
Donor milk (vs Mother's)	Carbapenemase	-0.0440228891717998	0.7540803932287701	0.992000714595819
Donor milk (vs Mother's)	Trimethoprim	-0.03470003515660482	0.8216012129119408	0.992000714595819
Donor milk (vs Mother's)	Fluoroquinolone	0.018029253545931587	0.9101746451759185	0.992000714595819
Donor milk (vs Mother's)	Macrolide (MLS)	-0.0016866851791018233	0.992000714595819	0.992000714595819
Gestational age (per week)	Methicillin (mecA)	-0.08126935706409674	0.004508804847211336	0.049596853319324695
Gestational age (per week)	Fluoroquinolone	0.04441197506042017	0.048320602918967	0.23652992785097648
Gestational age (per week)	ESBL	0.06320633665947312	0.0645081621411754	0.23652992785097648
Gestational age (per week)	Carbapenemase	0.024059053299948382	0.21996296532903703	0.45179145538749776
Gestational age (per week)	Aminoglycoside	-0.030322890476053282	0.23129389979142956	0.45179145538749776
Gestational age (per week)	Vancomycin (VRE)	0.004994237303064228	0.2680680982343101	0.45179145538749776
Gestational age (per week)	Colistin (mcr)	0.007301971776886319	0.28750365342840767	0.45179145538749776
Gestational age (per week)	Trimethoprim	-0.020101379614365554	0.3529872098345338	0.48535741352248396
Gestational age (per week)	Sulfonamide	0.015037084651594401	0.5700828820393897	0.6967679669370318
Gestational age (per week)	Macrolide (MLS)	-0.005044633162043054	0.8335314725033539	0.9168846197536893
Gestational age (per week)	Tetracycline	0.0020115075875714095	0.9483196881019571	0.9483196881019571
