category	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue
ESBL	552	True	0.551697351259304	2.852022269700379e-10	0.8194296765414216	5.770257312787154e-21	0.6398407589060215	2.0202742959934637e-18	0.1738588995494925	0.30151966467654157	0.0809189700401079	0.6018014122344135	0.13952150130509858	0.3854568692634128	-0.36806315114375443	0.13137625963082022	0.06320633665947312	0.0645081621411754
Carbapenemase	552	True	0.057766758129803336	0.1898794607473342	0.18887722606056062	1.7228376806384273e-05	0.09026165008458054	0.014533720305161077	0.12649111002437138	0.18542000836925943	0.30651200041853943	0.0005106497942083855	-0.1422303016939824	0.1228552201985273	-0.0440228891717998	0.7540803932287701	0.024059053299948382	0.21996296532903703
Methicillin (mecA)	552	True	-0.6562397729446623	6.705886192326345e-11	-0.7333233788282844	2.5003588166291707e-13	-0.07121441460425168	0.3920769979919537	-0.23835327263716924	0.09509170365420166	-0.582360932986841	1.3156727991531928e-05	-0.10027029533176154	0.45683058748747796	0.18161304508416265	0.3675986490008587	-0.08126935706409674	0.004508804847211336
Aminoglycoside	552	True	-0.7649481135735328	1.1602801468128402e-18	-0.46201405733676426	9.034408587335167e-08	0.58651512317537	3.309653614122408e-16	-0.11446821696566674	0.3650166280067383	-0.10180091104873486	0.38893902817406845	0.0662903182506592	0.5784834816471138	0.16801253181159928	0.3470477672990149	-0.030322890476053282	0.23129389979142956
Fluoroquinolone	552	True	0.45796288314586614	1.7548994841761496e-12	0.8115064743176436	4.542542983754571e-36	0.5090037908433704	4.58723205925544e-21	-0.00653301463864069	0.9533437270241432	0.030341612577142345	0.7690799102595276	0.07951124834010324	0.4523519624662906	0.018029253545931587	0.9101746451759185	0.04441197506042017	0.048320602918967
Macrolide (MLS)	552	True	-0.7672108352393036	1.4901884165977544e-16	-0.4835309333741773	1.7531233087646748e-07	0.5233130929810652	8.605690812351072e-12	-0.059641121309068165	0.6189806359926147	-0.3256224619959578	0.003909079653735869	-0.008240610761472592	0.9419898329584717	-0.0016866851791018233	0.992000714595819	-0.005044633162043054	0.8335314725033539
Tetracycline	552	True	-0.37611084435128617	3.15048308201419e-05	0.32105083658949113	0.0003639913989782674	0.7548566576918427	1.021342766689837e-23	-0.49379729066412975	0.001343126408640675	-0.6027328713328536	2.403538880920448e-05	0.1067513130713724	0.4646179111033346	0.17920989742751153	0.41617319436041467	0.0020115075875714095	0.9483196881019571
Sulfonamide	552	True	0.27179302810249173	0.0005224551883436076	0.5430689728254995	3.566275153833805e-12	0.5106400750325732	4.7117909515326856e-15	0.08325872200400673	0.5265098718552201	0.07005946876402502	0.5656690223814826	0.13421828191103163	0.28133417255354465	-0.27778062153402433	0.13939544868376968	0.015037084651594401	0.5700828820393897
Trimethoprim	552	True	-0.10995504203898147	0.07293334459432829	0.08798997749330927	0.15007400918428607	0.08338369343691834	0.10254858895599267	-0.0809995865061958	0.4508311080859776	-0.2936477989445368	0.003093366338162954	0.10150377868614466	0.3186691393551728	-0.03470003515660482	0.8216012129119408	-0.020101379614365554	0.3529872098345338
Colistin (mcr)	552	True	0.025656949725869675	0.28037975410299143	0.0792684455053337	0.0008234391377849338	0.06650990163939852	0.0007241371470656726	-0.0015081911746438479	0.9649012579043101	-0.0036969889326159927	0.9081223564311395	0.02490826276703556	0.4411038510967682	0.06342108616469286	0.19021972354214078	0.007301971776886319	0.28750365342840767
Vancomycin (VRE)	552	True	0.012166727527343968	0.47089563323070016	0.09769521977978785	6.2061244319917464e-09	0.016609430802497174	0.2336889776265021	-0.051825447678609124	0.021776870967372026	-0.06670148027102848	0.0016198956226569218	0.00542999240846942	0.798369623486658	0.04818544311417893	0.12817985971214818	0.004994237303064228	0.2680680982343101
