sample_name	ESBL	Carbapenemase	Methicillin (mecA)	Aminoglycoside	Fluoroquinolone	Macrolide (MLS)	Tetracycline	Sulfonamide	Trimethoprim	Colistin (mcr)	Vancomycin (VRE)
N01_1_2	0.0	0.0	93.01463	52.834500000000006	0.0	1208.32561	2.266657	0.68489	6.75106	0.0	0.0
N01_1_3	3.881658	0.0	153.1886	66.584085	0.0	1279.7224	5.4923	0.0	11.4034	0.0	0.0
N01_1_4	0.0	0.0	937.1896	131.89855	33.28591	1315.30521	72.03044	6.47111	109.78999999999999	0.0	0.0
N01_2_3	53.55751	0.0	456.9963	33.644033	28.184910000000002	785.97177	78.93005	18.65207	57.58983	0.0	0.0
N01_2_4	178.62932	0.0	0.0	115.87748	91.71300000000001	262.34259199999997	193.413646	32.18088	11.2855	0.0	0.0
N01_2_2	0.0	0.0	956.9069	825.82984	0.0	3187.671067	217.84115	0.0	50.3259	0.0	0.0
N02_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N02_1_4	0.0	0.0	360.4681	12.0576	0.0	181.508236	22.0766	1.98502	20.31962	0.0	0.0
N02_2_2	0.541828	0.0	195.6987	203.97375	0.0	521.5836400000001	402.87398	0.0	4.85183	0.0	0.0
N02_1_2	0.0	0.0	400.78409999999997	136.69097	0.0	431.04917	305.19184	0.0	11.4028	0.0	0.0
N02_2_4	103.05016	0.0	21.20838	28.789555999999997	77.36196	212.71	182.40146000000001	33.7078	4.66772	0.0	0.0
N02_2_3	25.584839000000002	0.0	7.597398	8.048387	13.77245	42.496862	39.600143	5.62	1.318272	0.0	0.0
N03_1_4	0.0	0.0	172.5705	110.092778	0.0	1265.661369	891.27387	0.0	6.50417	0.0	3.3897
N03_2_2	0.0	0.0	102.93997999999999	530.12747	0.0	477.42871	719.07819	121.37088	5.49514	0.0	0.0
N03_2_4	22.845848	0.0	0.0	20.429109	7.96773	569.503633	1331.894589	2.45451	0.0	0.0	5.06007
N03_2_3	0.0	0.0	0.0	52.380222	0.0	133.149894	96.86656	0.0	1.49794	0.0	0.0
N04_1_2	2.104415	0.0	145.345	8.09031	0.0	103.81781699999999	3.13324	1.84721	9.75045	0.0	0.0
N04_1_3	53.64605	0.0	155.3461	60.89555	0.0	149.26998	124.62182	0.0	11.323	0.0	0.0
N04_2_2	0.0	0.0	0.0	115.13409	0.0	114.46132	205.60921	1.52108	1.34557	0.0	0.0
N04_2_3	0.0	0.0	0.0	77.94427	0.0	112.190002	252.16307	5.08282	2.046932	0.0	0.0
N04_2_4	0.0	0.0	0.0	0.0	0.0	37.80051	2177.9783899999998	2.40898	1.0251	0.0	0.0
N04_1_4	0.0	0.0	20.20956	12.1958	0.0	109.837756	1826.79776	1.82812	2.22881	0.0	0.0
N05_1_2	0.0	0.0	0.0	1.90497	0.0	542.25538	487.26806	0.0	0.512875	0.0	0.0
N05_1_4	0.0	0.0	62.11461	22.7538	0.0	269.315891	527.46351	0.0	4.584104	0.0	6.41774
N05_2_2	0.349011	0.0	0.0	422.95522	0.0	369.67312	857.264997	0.0	0.0	0.0	0.0
N05_2_3	221.97799	0.0	11.412507	9.993137	29.11629	146.94320299999998	40.10681	7.76817	0.0	0.0	0.0
N05_1_3	0.0	0.0	0.0	0.0	0.0	39.92626	0.444723	0.0	1.0871	0.0	0.0
N05_2_4	176.11418	0.0	0.0	36.404561	30.795450000000002	295.429593	455.45173	5.41848	0.544571	0.0	5.09174
N06_1_2	0.0	0.0	575.2135	387.2191	0.0	1694.64494	12.565	0.0	30.9742	0.0	0.0
N06_1_3	67.55622	0.0	21.939799999999998	109.333145	22.732039999999998	143.64452	58.23185	284.91257	64.26520000000001	0.0	0.0
N06_1_4	135.52188	0.0	69.74755	193.95080000000002	39.5314	255.68535	175.68762	422.92585	89.04574	0.0	0.934864
N07_1_3	0.0	0.0	143.8361	582.01867	0.0	746.82705	408.38521000000003	0.0	3.40457	0.0	0.0
N07_1_4	0.0	0.0	86.19592	15.982935	0.0	210.670538	2448.933796	0.0	3.76252	0.0	0.0
N07_2_2	0.0	0.0	0.0	14.37511	0.0	291.256177	44.890026	0.0	1.34766	0.0	0.0
N07_2_3	0.0	0.0	93.71988	214.7406	2.93241	263.50665	792.51376	11.28978	3.69484	0.0	0.0
N07_2_4	0.0	0.0	0.0	23.5465	8.81096	284.077467	521.41674	33.167699999999996	0.0	0.0	0.0
N07_1_2	0.0	0.0	16.756500000000003	1054.97406	0.0	1118.77741	2398.97587	0.0	0.0	0.0	0.0
N08_1_2	0.0	0.0	1087.6542	125.1987	0.0	925.497114	20.936489	0.0	53.6017	0.0	0.0
N08_1_3	0.0	0.0	55.37719	105.36182	0.0	319.40381	1055.48503	0.0	16.059089999999998	0.0	9.24434
N08_1_4	0.0	0.0	220.5749	292.08623	0.0	755.2591	2739.2974	0.0	32.67062	0.0	23.5657
N08_2_3	43.697009	0.0	0.0	159.57378	11.17066	72.8368	19.611842	66.74594499999999	32.32419	0.0	0.0
N08_2_4	419.51358	0.0	0.0	669.35059	125.12719999999999	375.41609	644.97168	702.4228	268.581682	0.0	2.2605
N08_2_2	1.738815	0.0	57.48166	981.321261	2.4444150000000002	2407.93241	159.567699	12.121297	8.190066	0.0	0.0
N09_1_2	0.0	0.0	279.1399	91.73434	0.0	1180.8182	111.45933	10.375	16.03403	0.0	0.0
N09_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N09_2_2	0.0	0.0	0.0	78.805234	0.0	223.247344	148.557198	0.0	0.0	0.0	0.0
N09_2_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N09_2_4	496.5679	0.0	0.0	809.68528	134.7011	371.616226	163.387269	920.135947	381.400969	0.0	0.0
N09_1_3	10.096969	0.0	0.0	20.51967	0.0	303.2673	2.638236	0.0	0.0	0.0	0.0
N10_1_2	0.0	0.0	0.0	70.036685	0.0	131.84753	170.30299	0.0	1.8508	0.0	0.0
N10_1_4	0.0	0.0	469.5462	16.8446	0.0	111.8336	70.77303	12.0272	39.5733	0.0	0.0
N10_2_2	0.0	0.0	43.55807	374.89315	0.0	146.649159	709.532402	0.0	4.66128	0.0	0.0
N10_2_3	0.0	0.0	87.18834	133.932177	0.0	129.582714	120.20897400000001	3.87448	9.82369	0.0	0.0
N10_1_3	19.448673	0.0	51.02413	15.7649	0.0	118.705533	72.94394	22.400260000000003	19.448620000000002	0.0	0.0
N10_2_4	0.0	0.0	0.0	11.1908	0.0	25.854612000000003	30.71682	0.0	3.89749	0.0	0.0
N11_1_2	17.066024	0.0	191.97480000000002	27.582622	0.0	92.58367	27.86438	0.0	9.06118	0.0	0.0
N11_1_3	0.0	0.0	20.702759999999998	18.87963	0.0	20.20833	1.60678	0.0	0.0	0.0	0.0
N11_1_4	0.0	0.0	537.3349	112.00692	0.0	917.7969	64.98467	0.0	41.141	0.0	0.0
N11_2_3	13.056812	0.0	0.0	10.88066	46.0614	183.46868999999998	73.15952	7.87553	6.68384	0.0	0.0
N11_2_4	0.0	0.0	0.0	25.597360000000002	76.08420000000001	318.34580500000004	273.82106600000003	19.7849	12.9291	0.0	2.16106
N11_2_2	6.996069	0.0	106.22811	873.927234	0.0	452.149442	1750.4703	0.0	6.45631	0.0	0.0
N12_1_2	0.0	0.0	77.81928	2.608758	0.0	2785.81457	339.16468	0.0	9.00022	0.0	0.0
N12_1_3	0.0	0.0	0.0	2.8792349999999995	0.0	865.60773	370.220264	1.1789	0.408081	0.0	0.0
N12_1_4	0.0	0.0	0.0	2.62374	0.0	1088.2318070000001	422.29791	1.361373	0.346531	0.0	0.0
N13_1_2	0.0	0.0	0.0	9.162659999999999	0.0	105.37038	0.339357	0.0	0.0	0.0	0.0
N13_1_3	16.38791	0.0	0.0	0.0	0.0	0.0	9.69524	0.0	0.0	0.0	0.0
