stratifier	level	metric	n	median	q25	q75	mean
SampleType	Axilla	richness	217	47.0	29.0	62.0	47.88940092165899
SampleType	Axilla	total_rpm	217	567.3811811394463	227.77978616666672	1158.9168443635715	891.6538654215788
SampleType	Axilla	shannon	217	3.099775606015665	2.723336112444611	3.526854044206845	2.9596791088450427
SampleType	Groin	richness	207	58.0	8.0	93.5	58.94202898550725
SampleType	Groin	total_rpm	207	363.9069371266041	16.1006765	1519.2196827368	974.6247302233705
SampleType	Groin	shannon	207	3.515409045324048	1.881899513406631	4.0791100551035795	2.8571418104403157
SampleType	Stool	richness	218	71.0	40.0	99.75	66.64678899082568
SampleType	Stool	total_rpm	218	1959.8787017674554	570.5405478095238	3410.493042836319	2065.598672690329
SampleType	Stool	shannon	218	3.8137474443919213	3.013679109881079	4.156251995346906	3.227511286107387
SampleCollectionWeek	Week.1	richness	337	42.0	8.0	65.0	43.089020771513354
SampleCollectionWeek	Week.1	total_rpm	337	419.6300438939395	18.969965714285717	1506.7224842638884	1023.1266825412295
SampleCollectionWeek	Week.1	shannon	337	3.115592684487554	1.5260746189262535	3.704146396316287	2.593834541258162
SampleCollectionWeek	Week.3	richness	305	75.0	47.0	102.0	74.1016393442623
SampleCollectionWeek	Week.3	total_rpm	305	1129.7067971572867	415.4462125873016	2529.010274588745	1641.7804150256313
SampleCollectionWeek	Week.3	shannon	305	3.763562047879544	3.0652795816968688	4.177146233037732	3.48575062737026
PostNatalAbxCohort	No.Infant.Abx	richness	289	62.0	43.0	99.0	69.83044982698962
PostNatalAbxCohort	No.Infant.Abx	total_rpm	289	952.1182710866666	284.8841798611111	2044.235273326674	1286.710005598138
PostNatalAbxCohort	No.Infant.Abx	shannon	289	3.613995274112457	3.1050722306227274	4.104106260287692	3.4248970809065757
PostNatalAbxCohort	Low.Infant.Abx	richness	133	51.0	17.0	83.0	54.5187969924812
PostNatalAbxCohort	Low.Infant.Abx	total_rpm	133	728.8866032499999	94.3420889444444	2495.1085140293926	1535.8142851369935
PostNatalAbxCohort	Low.Infant.Abx	shannon	133	3.398296132793644	2.4668248047164	3.922939574603287	2.9252354367789
PostNatalAbxCohort	High.Infant.Abx	richness	220	40.5	7.75	71.25	44.04545454545455
PostNatalAbxCohort	High.Infant.Abx	total_rpm	220	557.6697979186508	17.581773000000002	1863.608639399916	1224.6101229914998
PostNatalAbxCohort	High.Infant.Abx	shannon	220	2.9463122588150457	1.7373765943406185	3.794240815737136	2.538293692174254
