category	SampleType	SampleCollectionWeek	n_subjects_screened	n_subjects_positive	pct_positive
ESBL	Axilla	Week.1	114	6	5.2631578947368425
Carbapenemase	Axilla	Week.1	114	3	2.6315789473684212
Methicillin (mecA)	Axilla	Week.1	114	82	71.9298245614035
Aminoglycoside	Axilla	Week.1	114	91	79.82456140350877
Fluoroquinolone	Axilla	Week.1	114	7	6.140350877192983
Macrolide (MLS)	Axilla	Week.1	114	103	90.35087719298245
Tetracycline	Axilla	Week.1	114	79	69.29824561403508
Sulfonamide	Axilla	Week.1	114	33	28.94736842105263
Trimethoprim	Axilla	Week.1	114	61	53.50877192982456
Colistin (mcr)	Axilla	Week.1	114	0	0.0
Vancomycin (VRE)	Axilla	Week.1	114	0	0.0
ESBL	Axilla	Week.3	102	14	13.72549019607843
Carbapenemase	Axilla	Week.3	102	5	4.901960784313726
Methicillin (mecA)	Axilla	Week.3	102	79	77.45098039215686
Aminoglycoside	Axilla	Week.3	102	96	94.11764705882354
Fluoroquinolone	Axilla	Week.3	102	18	17.647058823529413
Macrolide (MLS)	Axilla	Week.3	102	102	100.0
Tetracycline	Axilla	Week.3	102	92	90.19607843137256
Sulfonamide	Axilla	Week.3	102	32	31.372549019607842
Trimethoprim	Axilla	Week.3	102	62	60.78431372549019
Colistin (mcr)	Axilla	Week.3	102	0	0.0
Vancomycin (VRE)	Axilla	Week.3	102	0	0.0
ESBL	Groin	Week.1	107	15	14.018691588785046
Carbapenemase	Groin	Week.1	107	4	3.7383177570093458
Methicillin (mecA)	Groin	Week.1	107	42	39.25233644859813
Aminoglycoside	Groin	Week.1	107	56	52.33644859813084
Fluoroquinolone	Groin	Week.1	107	21	19.626168224299064
Macrolide (MLS)	Groin	Week.1	107	70	65.42056074766356
Tetracycline	Groin	Week.1	107	53	49.532710280373834
Sulfonamide	Groin	Week.1	107	28	26.16822429906542
Trimethoprim	Groin	Week.1	107	32	29.906542056074766
Colistin (mcr)	Groin	Week.1	107	0	0.0
Vancomycin (VRE)	Groin	Week.1	107	1	0.9345794392523364
ESBL	Groin	Week.3	99	49	49.494949494949495
Carbapenemase	Groin	Week.3	99	7	7.070707070707071
Methicillin (mecA)	Groin	Week.3	99	45	45.45454545454545
Aminoglycoside	Groin	Week.3	99	78	78.78787878787878
Fluoroquinolone	Groin	Week.3	99	62	62.62626262626262
Macrolide (MLS)	Groin	Week.3	99	92	92.92929292929293
Tetracycline	Groin	Week.3	99	82	82.82828282828282
Sulfonamide	Groin	Week.3	99	65	65.65656565656566
Trimethoprim	Groin	Week.3	99	43	43.43434343434343
Colistin (mcr)	Groin	Week.3	99	2	2.0202020202020203
Vancomycin (VRE)	Groin	Week.3	99	2	2.0202020202020203
ESBL	Stool	Week.1	116	25	21.551724137931036
Carbapenemase	Stool	Week.1	116	5	4.310344827586207
Methicillin (mecA)	Stool	Week.1	116	45	38.793103448275865
Aminoglycoside	Stool	Week.1	116	77	66.37931034482759
Fluoroquinolone	Stool	Week.1	116	33	28.448275862068964
Macrolide (MLS)	Stool	Week.1	116	84	72.41379310344827
Tetracycline	Stool	Week.1	116	82	70.6896551724138
Sulfonamide	Stool	Week.1	116	46	39.6551724137931
Trimethoprim	Stool	Week.1	116	50	43.10344827586207
Colistin (mcr)	Stool	Week.1	116	0	0.0
Vancomycin (VRE)	Stool	Week.1	116	9	7.758620689655173
ESBL	Stool	Week.3	102	55	53.92156862745098
Carbapenemase	Stool	Week.3	102	18	17.647058823529413
Methicillin (mecA)	Stool	Week.3	102	22	21.568627450980394
Aminoglycoside	Stool	Week.3	102	98	96.07843137254902
Fluoroquinolone	Stool	Week.3	102	75	73.52941176470588
Macrolide (MLS)	Stool	Week.3	102	95	93.13725490196079
Tetracycline	Stool	Week.3	102	97	95.09803921568627
Sulfonamide	Stool	Week.3	102	82	80.3921568627451
Trimethoprim	Stool	Week.3	102	44	43.13725490196079
Colistin (mcr)	Stool	Week.3	102	8	7.8431372549019605
Vancomycin (VRE)	Stool	Week.3	102	14	13.72549019607843
