category	SampleType	SampleCollectionWeek	Location	n_subjects_screened	n_subjects_positive	pct_positive
ESBL	Axilla	Week.1	UCMC	63	4	6.349206349206349
Carbapenemase	Axilla	Week.1	UCMC	63	0	0.0
Methicillin (mecA)	Axilla	Week.1	UCMC	63	50	79.36507936507937
Aminoglycoside	Axilla	Week.1	UCMC	63	58	92.06349206349206
Fluoroquinolone	Axilla	Week.1	UCMC	63	4	6.349206349206349
Macrolide (MLS)	Axilla	Week.1	UCMC	63	58	92.06349206349206
Tetracycline	Axilla	Week.1	UCMC	63	55	87.3015873015873
Sulfonamide	Axilla	Week.1	UCMC	63	22	34.92063492063492
Trimethoprim	Axilla	Week.1	UCMC	63	46	73.01587301587301
Colistin (mcr)	Axilla	Week.1	UCMC	63	0	0.0
Vancomycin (VRE)	Axilla	Week.1	UCMC	63	0	0.0
ESBL	Axilla	Week.1	ZCH	51	2	3.9215686274509802
Carbapenemase	Axilla	Week.1	ZCH	51	3	5.882352941176471
Methicillin (mecA)	Axilla	Week.1	ZCH	51	32	62.745098039215684
Aminoglycoside	Axilla	Week.1	ZCH	51	33	64.70588235294117
Fluoroquinolone	Axilla	Week.1	ZCH	51	3	5.882352941176471
Macrolide (MLS)	Axilla	Week.1	ZCH	51	45	88.23529411764706
Tetracycline	Axilla	Week.1	ZCH	51	24	47.05882352941177
Sulfonamide	Axilla	Week.1	ZCH	51	11	21.568627450980394
Trimethoprim	Axilla	Week.1	ZCH	51	15	29.41176470588235
Colistin (mcr)	Axilla	Week.1	ZCH	51	0	0.0
Vancomycin (VRE)	Axilla	Week.1	ZCH	51	0	0.0
ESBL	Axilla	Week.3	UCMC	57	3	5.2631578947368425
Carbapenemase	Axilla	Week.3	UCMC	57	0	0.0
Methicillin (mecA)	Axilla	Week.3	UCMC	57	48	84.21052631578948
Aminoglycoside	Axilla	Week.3	UCMC	57	56	98.24561403508773
Fluoroquinolone	Axilla	Week.3	UCMC	57	8	14.035087719298245
Macrolide (MLS)	Axilla	Week.3	UCMC	57	57	100.0
Tetracycline	Axilla	Week.3	UCMC	57	53	92.98245614035088
Sulfonamide	Axilla	Week.3	UCMC	57	15	26.31578947368421
Trimethoprim	Axilla	Week.3	UCMC	57	40	70.17543859649123
Colistin (mcr)	Axilla	Week.3	UCMC	57	0	0.0
Vancomycin (VRE)	Axilla	Week.3	UCMC	57	0	0.0
ESBL	Axilla	Week.3	ZCH	45	11	24.444444444444443
Carbapenemase	Axilla	Week.3	ZCH	45	5	11.11111111111111
Methicillin (mecA)	Axilla	Week.3	ZCH	45	31	68.88888888888889
Aminoglycoside	Axilla	Week.3	ZCH	45	40	88.88888888888889
Fluoroquinolone	Axilla	Week.3	ZCH	45	10	22.22222222222222
Macrolide (MLS)	Axilla	Week.3	ZCH	45	45	100.0
Tetracycline	Axilla	Week.3	ZCH	45	39	86.66666666666667
Sulfonamide	Axilla	Week.3	ZCH	45	17	37.77777777777778
Trimethoprim	Axilla	Week.3	ZCH	45	22	48.888888888888886
Colistin (mcr)	Axilla	Week.3	ZCH	45	0	0.0
Vancomycin (VRE)	Axilla	Week.3	ZCH	45	0	0.0
ESBL	Groin	Week.1	UCMC	63	12	19.047619047619047
Carbapenemase	Groin	Week.1	UCMC	63	0	0.0
Methicillin (mecA)	Groin	Week.1	UCMC	63	38	60.317460317460316
Aminoglycoside	Groin	Week.1	UCMC	63	42	66.66666666666667
Fluoroquinolone	Groin	Week.1	UCMC	63	12	19.047619047619047
Macrolide (MLS)	Groin	Week.1	UCMC	63	52	82.53968253968254
Tetracycline	Groin	Week.1	UCMC	63	40	63.492063492063494
Sulfonamide	Groin	Week.1	UCMC	63	20	31.746031746031747
Trimethoprim	Groin	Week.1	UCMC	63	31	49.20634920634921
Colistin (mcr)	Groin	Week.1	UCMC	63	0	0.0
Vancomycin (VRE)	Groin	Week.1	UCMC	63	1	1.5873015873015872
ESBL	Groin	Week.1	ZCH	44	3	6.818181818181818
