category	n_positive_total	pct_caught_by_axilla_alone	pct_caught_by_groin_alone	pct_caught_by_stool_alone	pct_caught_by_axilla_or_groin	pct_caught_by_axilla_or_stool	pct_caught_by_groin_or_stool	pct_caught_by_all_three
ESBL	74	24.324324324324323	77.02702702702703	86.48648648648648	81.08108108108108	90.54054054054055	98.64864864864865	100.0
Carbapenemase	23	34.78260869565217	39.130434782608695	86.95652173913044	52.17391304347826	95.65217391304348	91.30434782608695	100.0
Methicillin (mecA)	121	91.73553719008264	55.37190082644628	49.586776859504134	94.21487603305785	98.34710743801652	71.07438016528926	100.0
Aminoglycoside	124	93.54838709677419	75.0	91.93548387096774	97.58064516129032	99.19354838709677	95.16129032258064	100.0
Fluoroquinolone	92	22.82608695652174	77.17391304347827	90.21739130434783	81.52173913043478	93.47826086956522	97.82608695652173	100.0
Macrolide (MLS)	126	95.23809523809524	86.5079365079365	88.88888888888889	99.2063492063492	99.2063492063492	93.65079365079364	100.0
Tetracycline	122	89.34426229508196	80.32786885245902	91.80327868852459	96.72131147540983	99.18032786885246	94.26229508196721	100.0
Sulfonamide	106	50.0	67.9245283018868	89.62264150943396	84.90566037735849	97.16981132075472	94.33962264150944	100.0
Trimethoprim	110	81.81818181818181	54.54545454545455	67.27272727272727	89.0909090909091	97.27272727272727	80.9090909090909	100.0
Colistin (mcr)	8	0.0	25.0	100.0	25.0	100.0	100.0	100.0
Vancomycin (VRE)	20	0.0	15.0	100.0	15.0	100.0	100.0	100.0
