antibiotic	n_exposed	n_unexposed	mean_amr_exposed	mean_amr_unexposed	spearman_rho	spearman_pvalue	mannwhitney_pvalue	spearman_fdr	mannwhitney_fdr
Piperacillin_Tazobactam	33	609	6672.762195721213	4507.541678194746	0.06251899134084023	0.11352408007406031	0.11380055702363641	0.4098856042394143	0.3698518103268183
Gentamicin	47	595	5137.513392604256	4577.867067272269	0.03953544779814413	0.31722488166513524	0.3119039072678561	0.6873205769411264	0.6757917990803548
Vancomycin	23	619	6100.687782630435	4563.777407881906	0.025372419699629466	0.5210486909516325	0.5224136898879876	0.8896510593349671	0.8489222460679798
Ampicillin	64	578	5304.4801733031245	4542.919210013841	0.010609856615784887	0.7884582270472559	0.7336105500627804	0.9116324952182792	0.9123737836060347
Ceftazidime	6	636	4900.4929643333335	4616.18093819717	0.007907327612740074	0.841506918663027	0.842191184867109	0.9116324952182792	0.9123737836060347
Tobramycin	12	630	5030.388646541666	4610.999001144286	0.0016904738842660732	0.9659013711805147	0.9530026447056411	0.9659013711805147	0.9530026447056411
Meropenem	38	604	4550.428294763158	4623.141985560264	-0.009274911929711175	0.814556327712558	0.7926033657306266	0.9116324952182792	0.9123737836060347
Fluconazole	65	577	5322.545346304615	4539.564275510572	-0.019835335672809117	0.6159122718472849	0.5191979637677787	0.8896510593349671	0.8489222460679798
Azithromycin	19	623	4664.502839789474	4617.445394098555	-0.02082734300849461	0.5983699233221067	0.5939112181882187	0.8896510593349671	0.8578717596052048
Nafcillin	23	619	3733.482551152175	4651.7349528318255	-0.04242244906797069	0.2831470474539789	0.27710121332160265	0.6873205769411264	0.6757917990803548
Moxalactam	133	509	5514.303411180451	4384.8559544055015	-0.06043062457055992	0.12611864745828133	0.07163097077034339	0.4098856042394143	0.3104008733381547
Cefotaxime	118	524	4753.705711333897	4588.467100270993	-0.1249422579339857	0.0015138250058954969	0.003603090179332859	0.00983986253832073	0.023420086165663583
Penicillin	168	474	4812.659909913095	4550.141708046413	-0.12842152890073627	0.0011098874320096426	0.0005711402709998554	0.00983986253832073	0.00742482352299812
