gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
tet(W)	23.08245635252042	7.686229999999999	68.59504132231406	0.02420889814814815	0.0	2.083333333333333	-7.5441210985425196	2.0463181853253622e-22	9747.0	1.748224188600153e-20	True	True	True
tet(W/N/W)	18.10844489256198	6.303605	67.76859504132231	0.013482291666666667	0.0	1.0416666666666665	-7.32599671290663	2.047106039555405e-22	9720.5	1.748224188600153e-20	True	True	True
tet(O/W)	19.711887876033064	6.31622	67.76859504132231	0.014381145833333333	0.0	1.0416666666666665	-7.436373287874421	2.0978690263201836e-22	9719.5	1.748224188600153e-20	True	True	True
tet(O/W/O)	17.719546190082646	5.99638	66.11570247933885	0.0	0.0	0.0	-7.477316786025472	4.387113187059931e-22	9648.0	2.741945741912457e-20	True	True	True
qacB	63.374967859504146	23.5324	96.69421487603306	10.738063083333335	0.695683	52.083333333333336	-2.550080809846522	5.145311764986649e-19	9876.0	2.2302532131891072e-17	True	True	True
qacA	63.471648520661155	23.5756	96.69421487603306	10.744051624999999	0.695683	52.083333333333336	-2.551479613939387	5.352607711653857e-19	9874.0	2.2302532131891072e-17	True	True	True
ant(4')-Ia	19.165630915289256	4.824105	87.60330578512396	2.6941277109375004	0.0	31.25	-2.7855595639822046	1.1536850943207363e-17	9636.0	4.1203039082883435e-16	True	True	True
mecR1	8.103236041322315	2.51626	60.33057851239669	0.9339459374999999	0.0	3.125	-2.9880323887779032	5.873539613072374e-17	9083.0	1.8354811290851168e-15	True	True	True
bleO	8.562164264462808	2.81719	80.99173553719008	1.19410034375	0.0	25.0	-2.7427780437711444	8.090994674532902e-17	9471.0	2.247498520703584e-15	True	True	True
erm(33)	21.890778231404962	1.56519	52.892561983471076	0.0	0.0	0.0	-7.780754850389701	1.0723233110265183e-16	8880.0	2.6808082775662957e-15	True	True	True
qacR	4.397442123966942	1.66901	76.85950413223141	0.7179909375000001	0.0	20.833333333333336	-2.4589479512628922	1.5095289518607551e-15	9265.0	3.4307476178653526e-14	True	True	True
