gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
qacB	19.854824161290324	5.109145	75.80645161290323	2.6492298072289153	0.0	26.506024096385545	-2.8596381546928242	8.110465109431982e-14	8164.0	1.0138081386789978e-11	True	True	True
qacA	19.869739927419356	5.109145	75.80645161290323	2.649691734939759	0.0	26.506024096385545	-2.860473750420173	8.110465109431982e-14	8164.0	1.0138081386789978e-11	True	True	True
bleO	2.354187612903226	0.279529	54.03225806451613	0.35117298795180724	0.0	8.433734939759036	-2.4434929412718516	1.2868579955259628e-10	7474.0	1.0723816629383024e-08	True	True	True
dfrC	2.6717813387096774	0.607899	62.096774193548384	0.4475480240963855	0.0	16.867469879518072	-2.3397560394900467	2.2519147000254762e-10	7578.5	1.4074466875159226e-08	True	True	True
rplC	2.9119075564516126	0.9422250000000001	64.51612903225806	0.6508810843373494	0.0	19.27710843373494	-2.004021136526456	4.551652363132886e-10	7568.0	1.967251982609593e-08	True	True	True
qacR	1.5607531854838708	0.0	46.774193548387096	0.14340177108433735	0.0	6.024096385542169	-2.7704261108435966	4.721404758263023e-10	7289.0	1.967251982609593e-08	True	True	True
mph(C)	2.3424973405913976	0.0	38.70967741935484	0.013713674698795182	0.0	1.2048192771084338	-4.424879329538416	7.323746524963579e-10	7085.0	2.615623758915564e-08	True	True	True
mecR1	3.12136110483871	0.0	41.12903225806452	0.2529203614457831	0.0	2.4096385542168677	-3.190255818819071	9.094950489569549e-10	7130.5	2.842172027990484e-08	True	True	True
fusE	2.350244870967742	0.7940959999999999	63.70967741935484	0.6316549036144579	0.0	19.27710843373494	-1.7436906909934615	1.1992611285931336e-09	7502.5	3.331280912758705e-08	True	True	True
blaZ	3.614725069268433	0.673967875	55.64516129032258	0.5383236566265059	0.0	15.66265060240964	-2.5408954183585633	6.00294431608388e-09	7316.0	1.50073607902097e-07	True	True	True
ileS	7.632562161290322	2.480425	54.83870967741935	1.6854285542168674	0.0	14.457831325301203	-2.11467612190725	7.521062935408284e-09	7287.0	1.7093324853200645e-07	True	True	True
erm(33)	3.203617024193549	0.0	32.25806451612903	0.0	0.0	0.0	-5.045974545167382	1.1883925730330812e-08	6806.0	2.4758178604855856e-07	True	True	True
fusA	12.572207580645161	5.0604700000000005	70.16129032258065	5.339683192771084	0.0	28.915662650602407	-1.2200733367393113	1.6337491514356777e-08	7409.5	3.1418252912224574e-07	True	True	True
ant(4')-Ia	4.8558534415322585	0.394834	52.41935483870967	0.9125382951807229	0.0	13.253012048192772	-2.2911570504206504	1.8635225522777595e-08	7199.0	3.327718843353142e-07	True	True	True
blaR1	8.383109779569892	1.366595	54.83870967741935	1.5434703734939756	0.0	18.072289156626507	-2.3678477824199993	2.6253721110615272e-08	7229.0	3.849757084031173e-07	True	True	True
blaR1-2	8.477628427419354	1.37991	54.83870967741935	1.5616360361445782	0.0	18.072289156626507	-2.3679744119338197	2.6253721110615272e-08	7229.0	3.849757084031173e-07	True	True	True
blaI_of_Z	1.454991830645161	0.0	49.193548387096776	0.3135597831325302	0.0	10.843373493975903	-1.9107391991390124	2.7599833789274947e-08	7124.0	3.849757084031173e-07	True	True	True
msr(A)	3.1985732161290317	0.0	37.096774193548384	0.06656450602409639	0.0	3.614457831325301	-4.307689219539517	2.7718251005024445e-08	6895.0	3.849757084031173e-07	True	True	True
rpoC	27.75275166666667	14.77275	78.2258064516129	15.428990662650605	0.0	34.93975903614458	-0.8428558013181643	4.47432624011734e-08	7387.0	5.887271368575448e-07	True	True	True
blaCTX-M	0.0	0.0	0.0	6.211331749893925	0.0	21.686746987951807	5.979872554333911	6.515272885824175e-08	4030.0	8.14409110728022e-07	True	True	True
erm(A)	1.0303994502688172	0.0	28.225806451612907	0.0	0.0	0.0	-3.498760764066541	1.401016130130155e-07	6598.5	1.6678763453930415e-06	True	True	True
tet(W)	4.531820849368044	0.0	33.064516129032256	1.9572494109772423	0.0	2.4096385542168677	-1.1708627436745063	1.7960785089757581e-07	6709.5	1.9560824324557342e-06	True	True	True
glpT	3.1275224354838707	0.6584235	50.806451612903224	0.962814096385542	0.0	13.253012048192772	-1.6025378562612398	1.7995958378592754e-07	7036.0	1.9560824324557342e-06	True	True	True
gdpP	8.450459435483872	2.428975	55.64516129032258	6.827509036144579	0.0	16.867469879518072	-0.3036652538030863	2.172195758103246e-07	7086.5	2.262703914690881e-06	True	True	True
tet(O/W)	3.933678064516129	0.0	32.25806451612903	1.749186144578313	0.0	2.4096385542168677	-1.1252054862960783	2.831268789227124e-07	6670.0	2.722373835795312e-06	True	True	True
tet(W/N/W)	3.569533669354839	0.0	32.25806451612903	1.6600131325301206	0.0	2.4096385542168677	-1.0600105408226075	2.831268789227124e-07	6670.0	2.722373835795312e-06	True	True	True
mecI_of_mecA	0.23210412258064514	0.0	28.225806451612907	0.004129987951807229	0.0	1.2048192771084338	-1.673250027797599	5.667599984661742e-07	6542.0	5.247777763575687e-06	True	True	True
tet(O/W/O)	3.5775500806451617	0.0	30.64516129032258	1.6056815662650603	0.0	2.4096385542168677	-1.1083966531235139	7.201208796067206e-07	6589.0	6.429650710774291e-06	True	True	True
mecA-ceftar	7.008600500000001	1.74425	58.06451612903226	4.080600614457831	0.0	25.301204819277107	-0.7658553334729259	3.001104600042189e-06	6947.0	2.5009205000351578e-05	True	True	True
mecA	6.989702063172043	1.74425	58.06451612903226	4.076861297188755	0.0	25.301204819277107	-0.763305764979662	3.001104600042189e-06	6947.0	2.5009205000351578e-05	True	True	True
pgsA	0.8597162983870967	0.0	29.838709677419356	0.08078215662650602	0.0	3.614457831325301	-2.4083557045731774	3.373640223117031e-06	6499.0	2.720677599287928e-05	True	True	True
mecA2	5.87214325	1.399835	54.83870967741935	3.715201807228916	0.0	22.89156626506024	-0.6464893996578863	5.9258993419272854e-06	6863.0	4.6296088608806916e-05	True	True	True
lsa(A)	0.9897214596774193	0.0	27.419354838709676	0.5363222891566265	0.0	2.4096385542168677	-0.7761298568742857	7.015775159127902e-06	6400.0	5.2370260465285945e-05	True	True	True
aac(6')-Ie	1.7958725510752687	0.0	36.29032258064516	0.33756306024096383	0.0	8.433734939759036	-2.115299129356171	7.331836465140033e-06	6589.0	5.2370260465285945e-05	True	True	True
aph(2'')-Ia	1.7958725510752687	0.0	36.29032258064516	0.33756306024096383	0.0	8.433734939759036	-2.115299129356171	7.331836465140033e-06	6589.0	5.2370260465285945e-05	True	True	True
fosB-Sepi	0.8898643467741937	0.0	41.12903225806452	0.2613850361445783	0.0	12.048192771084338	-1.453694058755921	8.165493830100233e-06	6664.5	5.670481826458495e-05	True	True	True
ant(9)-Ia	0.747864556451613	0.0	20.967741935483872	0.0	0.0	0.0	-3.0838338174508606	9.201055097672634e-06	6225.0	6.10351699117972e-05	True	True	True
yybT	1.9303593951612903	0.0	30.64516129032258	0.9985730120481927	0.0	4.819277108433735	-0.886104366725331	9.277345826593173e-06	6462.0	6.10351699117972e-05	True	True	True
