gene	ucmc_mean	ucmc_median	ucmc_prevalence	zch_mean	zch_median	zch_prevalence	log2_fold_change	pvalue	mann_whitney_stat	fdr	significant_p005	significant_fdr005	significant_fdr01
arsA	17.13760373976608	0.0	48.24561403508772	2.1900819038461536	0.0	12.5	-2.912088132469924	2.7078756014909937e-09	8200.5	3.417967310054927e-07	True	True	True
arsC_gluta	10.240083735964912	7.3513633333333335	63.1578947368421	2.85763365224359	0.0	22.115384615384613	-1.8057325999505895	2.7343738480439415e-09	8434.0	3.417967310054927e-07	True	True	True
yybT	12.038202438596489	0.0	48.24561403508772	4.653113548076923	0.0	12.5	-1.3526100149260083	1.6801595303799233e-08	8083.5	1.2952696392175373e-06	True	True	True
tet(M)	14.339171731995258	2.883151847826087	63.1578947368421	9.171883301299504	0.0	24.03846153846154	-0.6390536745233686	2.2711522635477103e-08	8296.0	1.2952696392175373e-06	True	True	True
arsR_pKW301	5.531566807017544	0.0	44.73684210526316	0.8027502307692308	0.0	11.538461538461538	-2.641137573763836	2.8883813230962352e-08	7994.0	1.2952696392175373e-06	True	True	True
blaCTX-M	0.0	0.0	0.0	13.812743793671958	0.0	24.03846153846154	7.1202631579773525	3.1086471341220896e-08	4503.0	1.2952696392175373e-06	True	True	True
ompC	13.823289035087718	10.874099999999999	61.40350877192983	5.862607692307692	0.0	18.269230769230766	-1.2234847293372138	3.87454533227494e-08	8205.0	1.3837661900981929e-06	True	True	True
arsD	3.140393251461988	0.0	44.73684210526316	0.5953656346153846	0.0	12.5	-2.2203252329292322	8.22673696921322e-08	7935.5	2.3651551845695957e-06	True	True	True
arsR_R46	5.493719991228071	0.0	42.10526315789473	0.8448258846153848	0.0	10.576923076923077	-2.565687642907134	8.579577357740361e-08	7877.0	2.3651551845695957e-06	True	True	True
gshF	12.791429447368419	0.0	44.73684210526316	5.263763163461538	0.0	11.538461538461538	-1.265094802030683	9.508647150976258e-08	7915.0	2.3651551845695957e-06	True	True	True
arsB_pKW301	34.46907572807017	22.292299999999997	67.54385964912281	12.624946778846153	0.0	29.807692307692307	-1.441822408491381	1.0406682812106221e-07	8238.5	2.3651551845695957e-06	True	True	True
pcoD	19.910544535087723	3.054265	54.385964912280706	5.226086538461538	0.0	22.115384615384613	-1.90961265216604	1.6574620067275308e-07	8069.0	3.4530458473490222e-06	True	True	True
rpsL	13.422215833333333	15.056799999999999	79.82456140350878	6.638911375	0.0	43.269230769230774	-1.0047441220270679	2.3689844664254568e-07	8267.5	4.3664542699897034e-06	True	True	True
