gene_family	effect	effect_label	coef	se	pvalue	fdr
erm(A)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.14792883217553565	0.04275240841132069	0.0005399174160501867	0.12796042760389426
ant(9)-Ia	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.14125302831318579	0.046343767294550454	0.002304158253852319	0.27304275308149983
arsH	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0912155123046736	0.04935673901890148	0.06458986195482917	0.9142309659738649
erm(33)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.16803388915128334	0.09334460108930213	0.07183762352762164	0.9142309659738649
fos_A_A2	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.09786218941597441	0.056358372853216765	0.08248839575213433	0.9142309659738649
arsR_pYV	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.056251910571543856	0.03254711507400001	0.08393042531999821	0.9142309659738649
mdtM	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12236797909575625	0.07226937252134902	0.09041351439545964	0.9142309659738649
blaACT	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12344301425124135	0.07328072737244143	0.09208078708998803	0.9142309659738649
gyrA	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.18093799340918815	0.10854858239670374	0.095537293077718	0.9142309659738649
merD	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09603759323779917	0.05876709885590094	0.10221543281569449	0.9142309659738649
ompF	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12070783558316836	0.07557915591634358	0.11024233989365596	0.9142309659738649
rpoB	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.19194231662432912	0.12104252951368016	0.11279767164353247	0.9142309659738649
sdeY	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.16596002793710873	0.10743806499729076	0.1224178337048744	0.9142309659738649
sul1	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12781628879538867	0.08333679655245796	0.12509566541694497	0.9142309659738649
basR	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.11105873775100876	0.07274017634030781	0.1268140463350745	0.9142309659738649
merR_Ps	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.10382950054059119	0.06808972076737214	0.12728592745885325	0.9142309659738649
merE	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.05868286276437308	0.038509444073089406	0.12754458725093312	0.9142309659738649
qacE_gen	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09708388195274355	0.06471274489431927	0.1335553121760732	0.9142309659738649
MerP_Gneg	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.06183282113469872	0.04155536436251644	0.13676080065061105	0.9142309659738649
qacE	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.08477251431577637	0.057839349111071255	0.1427423790446285	0.9142309659738649
merA	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.13700822188831935	0.094964529166498	0.14909640614685823	0.9142309659738649
dfrC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12404085599407857	0.08615981493312713	0.1499635601122291	0.9142309659738649
terD	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04796290554257844	0.035090529989544546	0.17167755680905372	0.9142309659738649
blaEC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.10698806337042009	0.07849071696904888	0.17286156745929437	0.9142309659738649
pmrB	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.13726302864829393	0.10567947250259634	0.19399136529579963	0.9142309659738649
iucD	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09841409088198053	0.0758545080798389	0.1944915428851839	0.9142309659738649
merT	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.08540243966594711	0.06598839655379626	0.195595002689543	0.9142309659738649
clpK	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.14566883762513386	0.11332238257486807	0.19863945179692866	0.9142309659738649
ariR	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.04479884145438033	0.0352364443796658	0.2035941925512591	0.9142309659738649
fdeC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.13194383691378384	0.10385091572198063	0.20390230329988235	0.9142309659738649
pbp2	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.14069177115122933	0.11252811994003831	0.21119691389910478	0.9142309659738649
iucA	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.108317188349726	0.08679006757625699	0.2120176225106798	0.9142309659738649
liaR	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.0669159197083845	0.053675023838991275	0.2125125247404287	0.9142309659738649
iucC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.1115582754689227	0.089651401167191	0.21336850135589314	0.9142309659738649
rplC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.10297943034805075	0.08360848769362013	0.21806628273889062	0.9142309659738649
iucB	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.09244692878597788	0.07567996740331992	0.22187752355462487	0.9142309659738649
iutA	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.11114627820475553	0.09115259145606731	0.22271401827677628	0.9142309659738649
lamB	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.13201509954186474	0.10972231118329187	0.22890875595855942	0.9142309659738649
pcoE	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.08693016530732128	0.07228516529302483	0.22913101097540023	0.9142309659738649
sul2	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.08710247554451515	0.0743329323940129	0.24128197985511612	0.9142309659738649
tet(K)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.03856637140489832	0.03304732954932319	0.24320868536803075	0.9142309659738649
pcoS	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12843644088254205	0.11019230752175405	0.2437898371383953	0.9142309659738649
pcoB	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.11199677890314756	0.09668885680154661	0.24673287222600526	0.9142309659738649
rpoC	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.157113869385418	0.13907438359362678	0.25859799508970194	0.9142309659738649
pcoD	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.12100014794837718	0.10711357513025413	0.2586264969892247	0.9142309659738649
pcoR	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.10566435298238502	0.09414325148237895	0.2617015798727692	0.9142309659738649
tet(O/W/O)	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.09481616842425743	0.08452926937945061	0.2619915916838298	0.9142309659738649
