effect_label	gene_family	coef	pvalue	fdr
Groin (vs Axilla)	pbp2m	-0.6163628299115235	5.024157820320109e-30	1.190725403415866e-27
Groin (vs Axilla)	erm(C)	-0.7663258554273091	1.9320166494591645e-28	2.2894397296091102e-26
Groin (vs Axilla)	erm(X)	-0.5224782669926638	1.1966843937035419e-27	9.453806710257982e-26
Groin (vs Axilla)	aph(3')-Ia	-0.46156709513284766	1.447490832785133e-26	8.576383184251914e-25
Groin (vs Axilla)	aac(3)-XI	-0.2853983117747938	1.411808809744412e-21	6.691973758188513e-20
Groin (vs Axilla)	aph(6)-Id	-0.42974878559734586	9.348255343995325e-19	3.6925608608781534e-17
Groin (vs Axilla)	aph(3'')-Ib	-0.40474224726223296	1.1283307049796373e-17	3.8202053868596293e-16
Groin (vs Axilla)	cyaA	0.5235382199102165	1.6941345247470296e-17	5.018873529563076e-16
Groin (vs Axilla)	walK	-0.5242953845043201	2.2712352456170582e-17	5.980919480124919e-16
Groin (vs Axilla)	lon	0.498757402414148	6.786353034759361e-17	1.6083656692379686e-15
Groin (vs Axilla)	ompR	0.38816670850977125	8.166007434997438e-17	1.7594034200858114e-15
Groin (vs Axilla)	ptsI	0.44825558638405694	1.0150408207960236e-16	1.8024106341992335e-15
Groin (vs Axilla)	mdrA	0.4587305277010926	1.0290369128782691e-16	1.8024106341992335e-15
Groin (vs Axilla)	cpxA	0.4328425152659316	1.0647151425649481e-16	1.8024106341992335e-15
Groin (vs Axilla)	envZ	0.4379848752185258	1.7480208475813287e-16	2.761872939178499e-15
Groin (vs Axilla)	arsB_pKW301	0.44814367949409645	5.735410558511172e-16	8.495576889794673e-15
Groin (vs Axilla)	fabG	0.34176953265641374	6.11052990816144e-16	8.518797577848596e-15
Groin (vs Axilla)	ftsI	0.4469922767426154	1.4495804536386275e-15	1.9086142639575262e-14
Groin (vs Axilla)	phoP	0.3303245886194095	1.6044019308183393e-15	2.0012803031786653e-14
Groin (vs Axilla)	fabI	0.3254502576294394	2.3181904793968427e-15	2.6201487306183807e-14
Groin (vs Axilla)	tet(W)	-0.3676262191987379	2.321650773965654e-15	2.6201487306183807e-14
Groin (vs Axilla)	tet(W/N/W)	-0.3439193357237429	2.6939568143062326e-15	2.902126204502623e-14
Groin (vs Axilla)	fieF	0.36937920015144543	5.5781707162127186e-15	5.6296078460894694e-14
Groin (vs Axilla)	emrD	0.3879975730793957	5.917243551346555e-15	5.6296078460894694e-14
Groin (vs Axilla)	kdeA	0.3623270775107313	5.938404900938259e-15	5.6296078460894694e-14
Groin (vs Axilla)	ant(4')-Ia	-0.35294307779696577	7.318330430524171e-15	6.466191788489647e-14
Groin (vs Axilla)	tet(O/W)	-0.3477902582049033	7.366547607140104e-15	6.466191788489647e-14
Groin (vs Axilla)	acrF	0.513113563451356	8.226426996219837e-15	6.96308285037179e-14
Groin (vs Axilla)	baeS	0.36007211482009194	1.1638626511842214e-14	9.511567183815877e-14
Groin (vs Axilla)	silA	0.4964907274202917	1.4553844590037795e-14	1.1497537226129858e-13
Stool (vs Axilla)	pbp2m	-0.940950375956534	5.152940975841481e-68	1.2212470112744311e-65
Stool (vs Axilla)	rpsL	0.6842099648035473	3.64432962117242e-60	4.3185306010893176e-58
Stool (vs Axilla)	erm(X)	-0.7609765605036984	5.189411595006717e-57	4.0996351600553065e-55
Stool (vs Axilla)	ftsI	0.875217682310707	2.0602785057012237e-55	1.0759142907385705e-53
Stool (vs Axilla)	ptsI	0.8434069850688902	2.2698613728661827e-55	1.0759142907385705e-53
Stool (vs Axilla)	aph(3')-Ia	-0.6687385703836729	3.266503184724706e-54	1.2902687579662588e-52
Stool (vs Axilla)	ompR	0.7087772963762895	1.4557342948653389e-52	4.7693453420843806e-51
Stool (vs Axilla)	fabI	0.624489860323491	1.6099056007035883e-52	4.7693453420843806e-51
Stool (vs Axilla)	emrR	0.5565319605393776	8.278321713034254e-52	2.17995805109902e-50
Stool (vs Axilla)	lon	0.8871799501038858	3.1477638874304214e-50	7.460200413210099e-49
Stool (vs Axilla)	fieF	0.7018109953656714	3.718257158017889e-50	8.011154058638542e-49
Stool (vs Axilla)	baeR	0.6073888461493825	6.821306435749305e-50	1.3472080210604878e-48
Stool (vs Axilla)	baeS	0.689148822835801	1.0319532253019832e-49	1.8598471574433333e-48
Stool (vs Axilla)	cyaA	0.9084569428556863	1.0986438904728552e-49	1.8598471574433333e-48
Stool (vs Axilla)	parC	0.8860746463182246	1.2611669637909594e-49	1.992643802789716e-48
Stool (vs Axilla)	fabG	0.6233080636899084	1.5146218524340328e-49	2.165697544241784e-48
Stool (vs Axilla)	envZ	0.7840096787154213	1.5534539346881996e-49	2.165697544241784e-48
Stool (vs Axilla)	tufA	0.9414447023672391	2.4999230584966144e-49	3.2915653603538755e-48
Stool (vs Axilla)	kdeA	0.6763714899552759	2.2126067779430755e-48	2.7599358230132045e-47
Stool (vs Axilla)	mdrA	0.8047503535478254	2.4674232386283253e-48	2.923896537774566e-47
Stool (vs Axilla)	phoP	0.6006171273533566	7.075050293561988e-48	7.984699617019958e-47
Stool (vs Axilla)	cpxA	0.746847185439914	9.072476098316307e-47	9.773531069549839e-46
Stool (vs Axilla)	lapB	0.6385958784877502	4.782746184339973e-46	4.9283080247329294e-45
Stool (vs Axilla)	soxS	0.48982212231874644	1.139064684913572e-45	1.0992347337974341e-44
Stool (vs Axilla)	ompK36	0.6834647242050487	1.1595303099129052e-45	1.0992347337974341e-44
Stool (vs Axilla)	erm(C)	-0.9778983016141619	1.4280196725019053e-45	1.3016948553190443e-44
Stool (vs Axilla)	acrF	0.9322141170122251	1.8564886000853245e-45	1.6295844378526737e-44
Stool (vs Axilla)	arsB_pKW301	0.7742747952790933	9.328700879097708e-45	7.896078958379131e-44
Stool (vs Axilla)	emrD	0.6932279385025643	1.7796703773083288e-44	1.4544202738692204e-43
Stool (vs Axilla)	acrB	0.9707890079534905	6.011451838007094e-44	4.749046952025604e-43
Postnatal Week 3 (vs Week 1)	baeS	0.3936252368390186	3.946578031751377e-24	9.353389935250764e-22
