gene_family	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue
LHR_hdeD	552	True	0.06709009386788914	0.006354457312433447	0.1657228983732114	1.3437424416447972e-11	0.08350187390482196	4.1027565072833054e-05	0.01666083214343048	0.639084888456668	-0.04415622992648103	0.18378501632743338	0.05892995818866344	0.07869007535453958	0.03402364648190943	0.4977788447735819	0.005730434654732841	0.4207743137796288
LHR_hsp20A	552	True	0.14492614034388188	5.403955930508299e-06	0.29092251823115217	5.0364030153998905e-20	0.19814410788680933	5.848394776521513e-14	-0.102623618836343	0.02691577975724878	-0.12621953117422802	0.003507212121788777	0.09431519233706484	0.030706758679253616	-0.0635974475412991	0.3306822474567337	0.0005154889312652215	0.9556514952731134
LHR_hsp20B	552	True	0.06224667095130068	0.006032465953440343	0.14062091480390176	4.826467333347216e-10	0.07383641753328067	8.411611925763853e-05	0.015499390633078257	0.6397529610936046	-0.06055120542342042	0.050334537989569474	0.048571233670084576	0.12000268350458015	0.03355141822505427	0.47347978230492416	0.004471666231322399	0.5003713727317927
LHR_kefB	552	True	0.0966696882664328	0.003418054585801859	0.22884469091312157	3.5739735209129228e-12	0.11155241207356809	4.615871403938699e-05	0.009219206324975972	0.8531900903660653	-0.08710029679446747	0.06089887646884361	0.07970386096212592	0.09011768332056551	0.053856625755515565	0.4454393944094711	0.008912881573574984	0.3723794788304481
LHR_psiE	552	True	0.06277875786124389	0.009590507613947703	0.16465155232542097	9.327887829326214e-12	0.08481839948386966	2.407769970552221e-05	0.002890431816410315	0.9357628266818546	-0.0754688765985085	0.024258892738632545	0.054189857883923526	0.10930486440652214	0.02633712981153624	0.6036800833667306	0.004920699234059927	0.49367534683661307
LHR_trx	552	True	0.04997838934684151	0.022078387059505503	0.13998718325707188	1.246110820300213e-10	0.07333077670749052	4.9698305307582226e-05	0.020117604319805492	0.5199912450395123	-0.030539583612941543	0.29676909941647356	0.05101600702050744	0.08370195908973212	0.02570491398487123	0.560349052420271	0.006094094120924416	0.3306399939717459
LHR_yfdX1	552	True	0.07458644964278548	0.005435731971275436	0.17822229126686667	2.643633992077327e-11	0.08819027899448534	7.332049413397397e-05	0.010362428125374409	0.7964328170089696	-0.07833678451265637	0.03662338121110525	0.05455279817945172	0.15017798908350055	0.04312175275330935	0.4483536164484797	0.005671876935031628	0.4813068186092361
LHR_yfdX2	552	True	0.0696864017505171	0.008398071440480269	0.1801406632230918	8.118524919132019e-12	0.09127373934879647	3.104826392573144e-05	0.015495786711020122	0.6922077653617175	-0.06298416777899361	0.08492538534023746	0.05842807978275756	0.11373939906731004	0.038944346049852384	0.48197275246297644	0.006209612709387197	0.4287827275576924
MerP_Gneg	552	True	0.0718226615456302	7.20728664776059e-05	0.09541231554775165	1.2236483428998412e-07	0.04486284649796645	0.0028593475284563836	0.01838940086248762	0.5280817351180908	-0.024875095480397895	0.3610137518204315	0.038047180829978315	0.16785229120030187	-0.06183282113469872	0.13676080065061105	-0.00751453461375289	0.20024051714870406
aac(3)-XI	552	True	-0.2853983117747938	1.411808809744412e-21	-0.38792290690392156	1.1076312547116598e-38	0.15772569738567235	1.7353308103789768e-10	-0.08188457069457517	0.037596610763805875	-0.07542495871892148	0.041783080083179346	0.08298575457169458	0.02542950225134605	0.04722663196312901	0.3931962903148518	-0.013879196518235415	0.07825212691111731
