megares_class	effect	effect_label	coef	se	pvalue	fdr
Cationic antimicrobial peptides	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.11105873775100876	0.07274017634030781	0.1268140463350745	0.6630436619506216
Drug and metal resistance	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.18027838365787757	0.12006755279316401	0.13323284536951888	0.6630436619506216
Sulfonamides	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.27778062153402433	0.18793772940837405	0.13939544868376968	0.6630436619506216
Oxazolidinone	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.10297943034805075	0.08360848769362013	0.21806628273889062	0.6630436619506216
Phenicol	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.17200334756525856	0.14771281863456265	0.24424400947815617	0.6630436619506216
Multi-drug resistance	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.22251434580927354	0.1916142828924711	0.24553545192042114	0.6630436619506216
Lipopeptides	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.15650358210297072	0.14458278866862176	0.2790527978484181	0.6630436619506216
Fusidic acid	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.13867859338311117	0.13210716246188686	0.29383620338695826	0.6630436619506216
Glycopeptides	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12246341465033138	0.12042913023018625	0.3092048270497887	0.6630436619506216
MLS	AnyMilk[T.Donor]	Donor milk (vs Mother's)	-0.19026496643868812	0.1877044950213793	0.31075410056097197	0.6630436619506216
Aminoglycosides	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.16955485854461488	0.17867325779671797	0.34263787123263645	0.6630436619506216
Fluoroquinolones	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.17225840494768008	0.18440139133695252	0.3502269561274973	0.6630436619506216
Tetracyclines	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.1830506820465613	0.2183447458115454	0.40183065361356707	0.6630436619506216
Aminocoumarins	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.12000263499990435	0.14367724681900154	0.40359179423081315	0.6630436619506216
Mupirocin	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.0885216318651942	0.14694500319244472	0.5468990247540244	0.7674873776636484
Fosfomycin	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.1007127677281958	0.17245236296485741	0.5592180190141038	0.7674873776636484
Elfamycins	AnyMilk[T.Donor]	Donor milk (vs Mother's)	0.08139400467704312	0.15146905533518665	0.5910162635063811	0.7674873776636484
