effect_label	megares_class	coef	pvalue	fdr
Groin (vs Axilla)	MLS	-1.0322303074667523	3.1412432408466746e-23	7.224859453947352e-22
Groin (vs Axilla)	Aminoglycosides	-0.7685611202311109	7.95699326976605e-19	9.150542260230958e-18
Groin (vs Axilla)	Phenolic compound resistance	0.4256436308988796	4.072676915313863e-17	3.1223856350739617e-16
Groin (vs Axilla)	Drug and biocide and metal resistance	0.5246626559565799	4.3902312185428403e-16	2.5243829506621332e-15
Groin (vs Axilla)	Fusidic acid	-0.4722005006829837	2.469355937641478e-12	9.555623471667209e-12
Groin (vs Axilla)	Drug and metal resistance	0.3295408397971628	2.4927713404349237e-12	9.555623471667209e-12
Groin (vs Axilla)	Elfamycins	0.4436926432949771	4.082658617393136e-12	1.341444974286316e-11
Groin (vs Axilla)	Drug and biocide resistance	0.6268654274104968	7.629382142613914e-12	2.1934473660015003e-11
Groin (vs Axilla)	Mupirocin	-0.5140653588473681	1.0076250882178295e-11	2.5750418921122307e-11
Groin (vs Axilla)	Oxazolidinone	-0.2744604765763725	1.794752066636758e-10	4.127929753264543e-10
Groin (vs Axilla)	Chromium resistance	0.18861245410004812	1.0491910076761837e-07	2.1937630160502023e-07
Groin (vs Axilla)	Glycopeptides	-0.22566258330430838	1.9579236453193145e-06	3.7526869868620196e-06
Groin (vs Axilla)	Tetracyclines	-0.4178585807151135	3.7258391363513785e-06	6.591869241237055e-06
Groin (vs Axilla)	Cationic antimicrobial peptides	0.12101788587107762	1.3919914246783603e-05	2.2868430548287345e-05
Groin (vs Axilla)	Sulfonamides	0.27179302810249173	0.0005224551883436076	0.0008010979554601983
Groin (vs Axilla)	Lipopeptides	-0.26603636450874485	0.0006475692360051124	0.0009308807767573491
Groin (vs Axilla)	betalactams	-0.3286924687975736	0.0008059997637868765	0.001090470268652833
Groin (vs Axilla)	Trimethoprim	-0.12654944310241287	0.041362742594815115	0.05285239331559709
Groin (vs Axilla)	Phenicol	-0.11008649550954815	0.06662497984471819	0.08065129139097464
Groin (vs Axilla)	Multi-drug resistance	-0.14506983735013007	0.11664182109181512	0.1341380942555874
Stool (vs Axilla)	Phenolic compound resistance	0.7747418640826004	3.0780776055598593e-53	6.882144270555259e-52
Stool (vs Axilla)	Drug and biocide and metal resistance	0.9856284448665502	5.984473278743703e-53	6.882144270555259e-52
Stool (vs Axilla)	Elfamycins	0.9414447023672391	2.4999230584966144e-49	1.9166076781807378e-48
Stool (vs Axilla)	Drug and biocide resistance	1.2994183716042147	5.610376546058385e-46	3.2259665139835715e-45
Stool (vs Axilla)	Drug and metal resistance	0.5939665681432069	9.430592788465695e-37	4.3380726826942196e-36
Stool (vs Axilla)	MLS	-1.0822838625688256	1.5133058892240206e-25	5.801005908692079e-25
Stool (vs Axilla)	Chromium resistance	0.3671867710285783	3.0325904024715795e-25	9.964225608120904e-25
Stool (vs Axilla)	Fluoroquinolones	0.7107566822353414	2.213119593542247e-16	6.36271883143396e-16
Stool (vs Axilla)	Fosfomycin	0.5984621076646988	2.738629664532916e-16	6.998720253806341e-16
Stool (vs Axilla)	Sulfonamides	0.5430689728254995	3.566275153833805e-12	8.202432853817752e-12
Stool (vs Axilla)	Cationic antimicrobial peptides	0.18302969988350384	4.429655818275891e-11	9.262007620031408e-11
Stool (vs Axilla)	Aminocoumarins	0.42543981122172825	1.216761252516994e-10	2.332125733990905e-10
Stool (vs Axilla)	Mupirocin	-0.4707593577262871	4.0120771276754123e-10	7.098290302810346e-10
Stool (vs Axilla)	Multi-drug resistance	0.5466895261329502	2.9234192005656943e-09	4.802760115215069e-09
Stool (vs Axilla)	Fusidic acid	-0.36219886076797053	6.940237985083877e-08	1.0641698243795278e-07
Stool (vs Axilla)	Aminoglycosides	-0.4594206589348851	1.0637969968102703e-07	1.5292081829147637e-07
Stool (vs Axilla)	Oxazolidinone	-0.2247605017258881	1.5981587208947642e-07	2.162214740034093e-07
Stool (vs Axilla)	Lipopeptides	0.31291918744094555	5.596439756012442e-05	7.151006354904786e-05
Stool (vs Axilla)	betalactams	0.27255619752889615	0.005300703593117394	0.006416641191668424
Stool (vs Axilla)	Tetracyclines	0.2452815652626299	0.00643770943846529	0.007403365854235084
Postnatal Week 3 (vs Week 1)	Drug and biocide and metal resistance	0.5689178002684223	3.907816393553888e-26	8.987977705173942e-25
Postnatal Week 3 (vs Week 1)	Drug and biocide resistance	0.7653762967055697	1.3145605249142114e-23	1.5117446036513432e-22
Postnatal Week 3 (vs Week 1)	Elfamycins	0.5282260009898392	3.1664630399817615e-23	2.4276216639860173e-22
Postnatal Week 3 (vs Week 1)	Multi-drug resistance	0.7391622348657784	4.684168215618809e-22	2.693396723980815e-21
Postnatal Week 3 (vs Week 1)	Drug and metal resistance	0.37760349113445946	5.964625581764165e-22	2.7437277676115158e-21
Postnatal Week 3 (vs Week 1)	Tetracyclines	0.7130784798637159	2.3162247481969362e-21	8.878861534754923e-21
Postnatal Week 3 (vs Week 1)	Phenolic compound resistance	0.39695499209669965	4.436202977566555e-21	1.457609549771868e-20
Postnatal Week 3 (vs Week 1)	Fluoroquinolones	0.6715573722683588	1.1125889809046533e-20	3.198693320100878e-20
Postnatal Week 3 (vs Week 1)	Aminoglycosides	0.5767959063851464	9.99914630348302e-16	2.555337388667883e-15
Postnatal Week 3 (vs Week 1)	Sulfonamides	0.5106400750325732	4.7117909515326856e-15	1.0837119188525178e-14
Postnatal Week 3 (vs Week 1)	Fosfomycin	0.467754525284781	1.7479155344387224e-14	3.6547324810991466e-14
