megares_class	n	converged	BodySite[T.Groin]_coef	BodySite[T.Groin]_pvalue	BodySite[T.Stool]_coef	BodySite[T.Stool]_pvalue	Week[T.Week.3]_coef	Week[T.Week.3]_pvalue	PostNatalAbxCohort[T.Low.Infant.Abx]_coef	PostNatalAbxCohort[T.Low.Infant.Abx]_pvalue	PostNatalAbxCohort[T.High.Infant.Abx]_coef	PostNatalAbxCohort[T.High.Infant.Abx]_pvalue	MaternalAntibiotics[T.Mat.Abx]_coef	MaternalAntibiotics[T.Mat.Abx]_pvalue	AnyMilk[T.Donor]_coef	AnyMilk[T.Donor]_pvalue	GestationTime_coef	GestationTime_pvalue
Aminocoumarins	552	True	-0.052532715727872215	0.4284805185446451	0.42543981122172825	1.216761252516994e-10	0.36879737633960313	2.03617963480251e-11	-0.1920914035248086	0.0577919187177068	-0.3682120351182766	9.632385776437581e-05	0.02885518085949653	0.7629376828187238	0.12000263499990435	0.40359179423081315	-0.011159822873350253	0.5832301078869022
Aminoglycosides	552	True	-0.7685611202311109	7.95699326976605e-19	-0.4594206589348851	1.0637969968102703e-07	0.5767959063851464	9.99914630348302e-16	-0.12360286055742756	0.328000528731238	-0.11286678329581157	0.33954409628875926	0.06429950935515169	0.5899437486234003	0.16955485854461488	0.34263787123263645	-0.030994062178509973	0.22112270825861458
Cationic antimicrobial peptides	552	True	0.12101788587107762	1.3919914246783603e-05	0.18302969988350384	4.429655818275891e-11	0.12474068679587591	7.82025932211699e-08	0.03897579318051375	0.4401551747054224	-0.07851608642384968	0.09245451008858217	0.04744664149698891	0.32338100428485983	-0.11105873775100876	0.1268140463350745	-0.004129805415121822	0.6860394604041986
Chromium resistance	552	True	0.18861245410004812	1.0491910076761837e-07	0.3671867710285783	3.0325904024715795e-25	0.17165677742477167	6.24898972325371e-09	0.09737022327972032	0.1170984668644017	0.02684502982727586	0.6405381880502306	0.036671058326560035	0.5340425964977744	0.018137328372946626	0.8387843822354304	0.021158328438078355	0.09149763825580769
Drug and biocide and metal resistance	552	True	0.5246626559565799	4.3902312185428403e-16	0.9856284448665502	5.984473278743703e-53	0.5689178002684223	3.907816393553888e-26	-0.027721194536894218	0.8101493544803571	0.0039009913301679884	0.9708052904112879	0.20742888918030536	0.05832089548026421	-0.04698550527269667	0.7768462774134361	0.040170154291574986	0.08465093035771698
Drug and biocide resistance	552	True	0.6268654274104968	7.629382142613914e-12	1.2994183716042147	5.610376546058385e-46	0.7653762967055697	1.3145605249142114e-23	-0.2385479810990676	0.16610224711948074	-0.2694348439894189	0.08975356530680728	0.22963013331950616	0.16191887035130992	-0.08056266218849802	0.7462457728980083	0.024903025880646197	0.4757271722598464
Drug and metal resistance	552	True	0.3295408397971628	2.4927713404349237e-12	0.5939665681432069	9.430592788465695e-37	0.37760349113445946	5.964625581764165e-22	0.04138513654477714	0.620194606428393	0.006630427580594934	0.9316363401333199	0.09095660665021828	0.25188259281113545	-0.18027838365787757	0.13323284536951888	0.013924702709961347	0.40933984328902984
Elfamycins	552	True	0.4436926432949771	4.082658617393136e-12	0.9414447023672391	2.4999230584966144e-49	0.5282260009898392	3.1664630399817615e-23	-0.21378946491483902	0.04372247882577573	-0.080964905254386	0.41354084214020603	0.1488026846375964	0.1386301271093349	0.08139400467704312	0.5910162635063811	0.02758857649895371	0.1966148969761229
Fluoroquinolones	552	True	-0.049078236184456496	0.5722800659845801	0.7107566822353414	2.213119593542247e-16	0.6715573722683588	1.1125889809046533e-20	-0.2263683232782924	0.08214692793127108	-0.351208197335981	0.0038356677575477147	0.015591164019477093	0.8990530312406846	0.17225840494768008	0.3502269561274973	-0.002687000153226703	0.9180377318180138
Fosfomycin	552	True	0.054694944509764615	0.4561311192544488	0.5984621076646988	2.738629664532916e-16	0.467754525284781	1.7479155344387224e-14	-0.2128412414610125	0.07804890152673104	-0.387294886207242	0.0005567560392922944	0.1403546352373853	0.21986499622384292	0.1007127677281958	0.5592180190141038	-0.0046662030787144315	0.8478334001996893
Fusidic acid	552	True	-0.4722005006829837	2.469355937641478e-12	-0.36219886076797053	6.940237985083877e-08	-0.03974486398908948	0.47591684371763787	-0.30034658686669974	0.0013528391894614248	-0.4906409884866265	2.3326822921871435e-08	-0.1557580798507348	0.07819209189163633	0.13867859338311117	0.29383620338695826	-0.04609633897163099	0.014065520327212823
Glycopeptides	552	True	-0.22566258330430838	1.9579236453193145e-06	-0.10305686077680913	0.029310118721263732	0.015222545219351357	0.7002655640319957	-0.2102514367762369	0.012308110836413588	-0.25661193323603	0.0009371396600776798	0.0025570322680250404	0.9743972272144344	0.12246341465033138	0.3092048270497887	0.009208149835728251	0.5865656459829675
Lipopeptides	552	True	-0.26603636450874485	0.0006475692360051124	0.31291918744094555	5.596439756012442e-05	0.41618759624302365	1.0052956492791563e-10	-0.3125016958539233	0.002411458148234383	-0.521488698788604	7.045280924252336e-08	-0.13309930212494417	0.17030954914887664	0.15650358210297072	0.2790527978484181	-0.02763768664546396	0.17969673966467947
MLS	552	True	-1.0322303074667523	3.1412432408466746e-23	-1.0822838625688256	1.5133058892240206e-25	0.3158502809598862	0.00023188853113152288	-0.13852779737915477	0.30062171230478696	-0.4864255365327131	0.0001128764409772146	-0.1528973761317144	0.22633471532533234	-0.19026496643868812	0.31075410056097197	-0.011426096924837906	0.6696408961989384
Multi-drug resistance	552	True	-0.14506983735013007	0.11664182109181512	0.5466895261329502	2.9234192005656943e-09	0.7391622348657784	4.684168215618809e-22	-0.24594414763654202	0.06962269605712157	-0.3520787209705421	0.005401924210069616	-0.057047003023158564	0.6554763350481865	0.22251434580927354	0.24553545192042114	-0.0021592735045098954	0.9366272885488794
Mupirocin	552	True	-0.5140653588473681	1.0076250882178295e-11	-0.4707593577262871	4.0120771276754123e-10	-0.07668097746395543	0.21953035073258875	-0.17257197545797237	0.09799251357517445	-0.4252451424837249	1.3626597705322583e-05	-0.07796063493769707	0.4280577482543345	0.0885216318651942	0.5468990247540244	-0.07054374810319804	0.0007315892886856006
Oxazolidinone	552	True	-0.2744604765763725	1.794752066636758e-10	-0.2247605017258881	1.5981587208947642e-07	-0.08426650825176953	0.017864671371753064	-0.14159825237245977	0.017031052900897282	-0.25309687522618424	5.358337325838144e-06	-0.012745820373685112	0.8198757186626242	0.10297943034805075	0.21806628273889062	-0.027398243280704615	0.021158164126440716
Phenicol	552	True	-0.11008649550954815	0.06662497984471819	-0.014216591603710865	0.8121620617074979	0.2204788538286406	1.0187460657093289e-05	0.08607555741749878	0.4035651035010722	0.20319507881571358	0.03474154621979864	-0.08879663893653107	0.3638010813795588	-0.17200334756525856	0.24424400947815617	0.013758600331414614	0.5082996201253838
Phenolic compound resistance	552	True	0.4256436308988796	4.072676915313863e-17	0.7747418640826004	3.0780776055598593e-53	0.39695499209669965	4.436202977566555e-21	-0.03994543549253559	0.6469166402547998	-0.04148428665774672	0.6072386669303047	0.1334634079434263	0.1063231304102304	0.06070668828666821	0.6267578983563615	0.028947544913006325	0.09941419335391567
Sulfonamides	552	True	0.27179302810249173	0.0005224551883436076	0.5430689728254995	3.566275153833805e-12	0.5106400750325732	4.7117909515326856e-15	0.08325872200400673	0.5265098718552201	0.07005946876402502	0.5656690223814826	0.13421828191103163	0.28133417255354465	-0.27778062153402433	0.13939544868376968	0.015037084651594401	0.5700828820393897
Tetracyclines	552	True	-0.4178585807151135	3.7258391363513785e-06	0.2452815652626299	0.00643770943846529	0.7130784798637159	2.3162247481969362e-21	-0.500087869914729	0.0010543426668466298	-0.6212092999610946	1.138204997241284e-05	0.09597799219407058	0.507057608045595	0.1830506820465613	0.40183065361356707	0.0007922264753939954	0.9794480372740216
Trimethoprim	552	True	-0.12654944310241287	0.041362742594815115	0.06745020116244753	0.27550187154563555	0.06929871687520199	0.17959456481798242	-0.056539431129706774	0.5943986534429775	-0.2710731113043067	0.0057793530250116	0.0901222094151846	0.3697574019918364	-0.06785165849526673	0.6547855534832954	-0.017077646295907526	0.42401042564169455
betalactams	552	True	-0.3286924687975736	0.0008059997637868765	0.27255619752889615	0.005300703593117394	0.6176283882117926	3.050066291267645e-14	-0.16290555558520328	0.26195674042492545	-0.33224290792574107	0.014364178186553188	0.047662271967535266	0.7281661117396754	0.08835344785523633	0.6673803284031725	-0.013768950787340013	0.6363997626564997
