sample_name	Aminocoumarins	Aminoglycosides	Bacitracin	Cationic antimicrobial peptides	Chromium resistance	Drug and biocide and metal resistance	Drug and biocide resistance	Drug and metal resistance	Elfamycins	Fluoroquinolones	Fosfomycin	Fusidic acid	Glycopeptides	Lipopeptides	MLS	Multi-biocide resistance	Multi-drug resistance	Multi-metal resistance	Mupirocin	Oxazolidinone	Phenicol	Phenolic compound resistance	Rifampin	Sulfonamides	Tetracyclines	Trimethoprim	betalactams
N01_1_2	11.8388	52.834500000000006	0.0	0.0	0.0	0.0	4.109346	0.0	3.7832	31.064700000000002	14.105485	17.44838	3.7669	28.8632	1208.32561	0.0	56.25891	0.0	22.61769	2.03836	0.0	0.0	0.0	0.68489	2.266657	6.75106	276.646724
N01_1_3	16.638	66.584085	0.0	0.0	0.0	0.0	0.0	0.0	2.2388	25.238860000000003	21.58265	21.45378	4.9769	38.607169999999996	1279.7224	0.0	64.4419	0.0	40.8942	3.2535	0.0	0.0	0.0	0.0	5.4923	11.4034	273.487704
N01_1_4	171.163	131.89855	0.0	0.0	3.47497	49.81257	295.96107	0.0	40.4821	789.2024	244.57532	192.69729999999998	0.0	621.6642400000001	1242.82326	0.0	1504.18461	0.0	108.655	26.2949	0.0	13.92725	0.0	6.47111	49.00532	109.78999999999999	1628.586232
N01_2_3	88.5042	33.644033	0.0	3.12246	2.50211	41.12969	320.53854	8.08532	36.0221	473.39449	131.68106	74.4015	0.516964	283.73102	717.56706	0.0	957.87295	0.0	37.2628	8.95382	0.0	12.5519	0.0	18.65207	41.936080000000004	53.28869	794.57393
N01_2_4	77.76633000000001	115.87748	0.0	3.69612	8.90354	116.797293	878.953254	16.952869	75.138	949.55774	206.47347	14.209543	0.0	308.99562	60.419192	0.0	2285.54905	0.0	0.0	0.739224	0.607806	28.6655	0.0	32.18088	126.73566600000001	0.0	753.991927
N01_2_2	146.44	825.82984	0.0	0.0	0.0	0.0	39.017	0.0	14.3032	272.40537	160.99698	187.6681	70.6175	372.9883	3187.671067	0.0	650.1378	0.0	210.7011	25.7964	0.0	0.0	0.0	0.0	217.84115	50.3259	1538.59189
N02_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N02_1_4	72.9091	12.0576	0.0	0.0	0.0	0.0	2.99093	0.0	58.169	524.7144000000001	68.59036	105.7155	0.0	852.65845	382.504336	0.0	745.9232999999999	0.0	69.07318000000001	11.7491	0.0	0.0	0.0	1.98502	22.0766	20.31962	501.77974
N02_2_2	37.263040000000004	211.58398	0.0	0.0	0.0	0.0	6.501941	0.0	6.08326	60.389269999999996	22.73216	36.13008	3.94057	76.2008	520.1059300000001	0.0	141.73741	0.0	81.2496	4.53166	0.0	0.0	0.0	0.0	402.87398	4.85183	444.004024
N02_1_2	42.1557	136.69097	0.0	0.0	0.0	0.0	3.51637	0.0	6.07741	73.86399	45.77375	52.33896	12.6223	118.86521	431.04917	0.0	160.716	0.0	38.86289	8.61814	7.05305	0.0	0.0	0.0	305.19184	11.4028	812.66617
