sample_name	LHR_hdeD	LHR_hsp20A	LHR_hsp20B	LHR_kefB	LHR_psiE	LHR_trx	LHR_yfdX1	LHR_yfdX2	MerP_Gneg	SMR_efflux_emrE	aac(3)-XI	aac(6')-Ie	aac(6')_Entco	aacA-ENT1	aadA1	aadA21	aadA22	aadA25	aadE	acrB	acrF	acrR	ampD	ant(2'')-Ia	ant(4')-Ia	ant(9)-Ia	aph(2'')-Ia	aph(3'')-Ib	aph(3')-IIIa	aph(3')-Ia	aph(6)-Id	ariR	arnC	arsA	arsB_R773	arsB_pI258	arsB_pKW301	arsB_pYV	arsC_gluta	arsC_thio	arsD	arsH	arsR_R46	arsR_pKW301	arsR_pYV	aur	baeR	baeS	basR	blaACT	blaCTX-M	blaEC	blaI_of_Z	blaNDM	blaOXA-2_fam	blaR1	blaR1-2	blaSHV	blaTEM	blaZ	ble-MBL	bleO	cadD	cirA	clbB_Ec	clbN	clpK	clpL	cls	cmx	cpxA	crrB	cyaA	dfrB	dfrC	dfrG	dfrK	dltC	eat(A)	emrD	emrR	envZ	erm(33)	erm(A)	erm(B)	erm(C)	erm(X)	fabG	fabI	fdeC	fieF	folP	fosA5_fam	fosA_gen	fosB-Sepi	fosB_gen	fos_A3_A4	fos_A_A2	ftsI	fusA	fusE	gdpP	glpT	gshF	gyrA	gyrB	hld	hlgA	hlgB	hlgC	icaC	ileS	iroB	iroC	iroN	iss	iucA	iucB	iucC	iucD	iutA	kdeA	lamB	lapB	liaF	liaR	liaS	lmrS	lon	lpxM	lsa(A)	lukD	lukE	marR	mco	mdrA	mdtM	mecA	mecA-ceftar	mecA2	mecI_of_mecA	mecR1	mef(A)	mepA	merA	merD	merE	merR_Ps	merT	mgrB	mph(C)	mprF	mreE	msr(A)	msr(C)	msr(D)	mupA	murA	murG	ncrC	nfsA	nfsB	ompC	ompF	ompK35	ompK36	ompR	oqxA	oqxB	oqxR	parC	parE	pbp2	pbp2b	pbp2m	pbp2x	pbp4	pbp5	pcoA	pcoB	pcoC	pcoD	pcoE	pcoR	pcoS	pgsA	phoP	phoQ	pmrA	pmrB	ptsI	qacA	qacB	qacC	qacE	qacE_gen	qacR	ramR	rmtB	rplC	rplD	rpoB	rpoC	rpsJ	rpsL	rseA	sasG	sat4	sdeY	sei	sel26	selV	selX	sem	senB	seo	silA	silB	silC	silF	silP	silR	silS	soxR	soxS	splA	splB	sul1	sul2	terC	terD	tet(38)	tet(A)	tet(K)	tet(L)	tet(M)	tet(O/W)	tet(O/W/O)	tet(W)	tet(W/N/W)	tetAB_A	tetAB_B	tufA	uhpA	uhpT	vga(A)	walK	ybtP	ybtQ	yybT
N01_1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.69592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4119875	0.0	1.69592	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0714500000000005	0.0	0.0	0.0	1.10887	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.733811	0.0	0.0	10.534266666666667	10.8604	0.0	0.0	0.9845303750000001	0.0	3.7669	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.75106	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	76.24458	0.0	0.0	0.0	0.0	0.0	0.68489	0.0	0.0	1.0028774999999999	0.0	0.0	0.0	1.53285	14.6599	2.78848	9.37647	3.22877	0.0	8.5693	11.8388	0.114148	0.0	0.0	0.0	0.0	8.43067	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.033873333333332	8.07192	6.261855	0.0	0.0	2.6603561904761905	0.0	6.45754	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.5141400000000003	7.09351	3.44076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.147235	3.815815	0.0	2.8781683333333334	0.0	5.35546	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.516545	0.0	0.0	38.6963	38.45985	0.342445	0.0	0.0	2.25035	0.0	0.0	2.03836	1.76115	18.75297	22.0306	1.1333285	1.01103	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.7832	0.0	5.4302	0.0	6.8326	0.0	0.0	0.0
N01_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.83474	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.3886575	0.0	2.83474	0.0	0.0	0.6684179166666667	0.0	0.0	0.0	0.0	0.0	7.344545	0.0	0.0	0.0	1.70728	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.27101	0.0	0.0	17.5775	18.4419	0.0	0.35929799999999995	3.1790125	0.0	4.9769	1.44958	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.4034	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	85.31482666666668	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.488445	0.0	0.0	0.0	0.0	17.5077	3.94608	10.4531	3.9944	0.0	17.1051	16.638	0.1288515	0.0	0.0	0.0	0.0	11.8382	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	13.231483333333331	13.2838	10.332249999999998	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	14.528	5.33124	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.13376	6.29762	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	50.99305	50.6387	0.418768	0.0	0.0	3.36625	0.0	0.0	3.2535	0.0	32.22095	29.201	2.04552	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.2388	0.0	7.28012	0.0	9.40617	0.0	0.0	0.0
N01_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.98126666666667	34.7908	0.0	3.99485	0.0	0.0	0.0	0.0	11.27655	0.0	0.0	13.927280000000001	0.0	0.0	25.96196666666667	31.0696	82.75635	32.9165	27.8135	8.4719575	0.0	3.9811699999999997	0.0	4.35056	3.92645	0.0	0.0	6.32062	11.154593333333333	0.0	7.037770387096774	0.0	0.0	2.18896	0.0	0.0	10.274423333333333	12.8328	0.0	0.0	11.81525	0.0	0.0	12.2855	0.0	0.0	0.0	0.0	3.74859	14.939649999999999	0.0	15.0901	0.0	28.5386	0.0	41.2893	18.6746	16.6087	0.0	0.0	9.508293333333333	4.51473	13.2022	0.0	0.0	0.0	0.0	3.07822625	7.03203	6.89522	0.0	8.694275000000001	6.47111	0.0	0.0	13.571549999999998	0.0	0.0	4.52841	18.05665	159.042	33.6553	95.4113	40.5915	17.8674	48.634455555555554	66.53983333333333	1.2791700000000001	0.0	0.0	0.0	0.0	108.655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.4796	0.0	8.16756	4.40528	4.27531	8.57799	0.0	25.9665	0.0	6.6352875000000004	0.0	0.0	4.77467	21.7254	20.2205	0.0	80.75438333333334	80.96074999999999	64.41015	3.96065	48.3623	0.0	0.0	16.1208	4.7267875	3.064543333333333	0.0	0.0	0.0	92.69105	0.0	0.0	127.102	0.0	0.0	0.0	28.709600000000002	0.0	0.0	3.47497	4.28215	11.8614	0.0	0.0	11.8614	9.11155	9.148856363636362	23.994296	3.35185	29.228471428571428	39.478833333333334	68.8565	0.0	0.0	0.0	0.0	0.0	30.3581	12.4223	4.99357	26.5548	6.90891	14.2146	23.4082	14.4198	6.3343	8.57799	0.0	0.0	19.6049	184.3375	184.796	0.0	0.0	0.0	11.2184	0.0	0.0	26.2949	0.0	167.39514	210.8445	9.843485	8.577975	4.88412	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	49.9767	23.5997	20.4189	4.76099	36.8156	10.4386	23.9554	4.11114	5.014085	0.0	0.0	0.0	0.0	17.197	8.4275	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	40.4821	5.9786	42.3906	0.0	84.5212	0.0	0.0	15.0081
N01_2_3	0.0	2.95704	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.537643	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	35.88765	30.7284	6.21391	2.48143	0.0	1.1424925	0.0	0.0	2.50211	0.0	0.0	2.2663680000000004	0.0	6.32764	18.3557	23.3668	29.177500000000002	26.7167	21.2576	7.95608	5.41779	3.1328	0.0	3.74282	4.48725	0.0	7.65107	5.27304	5.9605999999999995	3.12246	1.104236	0.0	0.0	1.11664	0.0	0.0	5.603895	7.07207	2.019369655172414	0.0	5.054435714285715	0.0	0.516964	6.84461	8.25075	0.0	0.0	18.9416	0.0	6.420695	0.0	12.5933	12.4692	22.2915	0.0	11.9936	11.3732	9.973963333333332	0.0	0.0	9.305343333333333	5.87271	11.3732	0.0	0.0	0.0	6.796356	4.15639125	7.71311	4.83879	0.0	7.93023	6.217356666666666	1.6611766666666667	1.42682	6.06916	0.0	0.0	1.4475	16.68415	63.4625	10.939	30.3975	13.8753	7.25818	23.79351090909091	39.39953333333333	0.7754465	0.0	0.0	0.0	0.0	37.2628	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.00261	10.0911	6.57579	1.53021	1.643945	3.01907	11.8075	23.5942	5.52118	3.6962975	0.0	0.0	3.41196	0.0	15.7984	0.0	39.67183333333333	40.013025	29.4566	3.46366	23.5322	0.0	0.0	2.1367833333333333	0.625527	0.29983899999999997	0.0	0.0	1.30275	46.89554999999999	0.0	0.0	57.24242	0.0	0.0	0.0	12.08665	0.0	0.0	2.50211	0.0	13.834	0.0	7.36157	15.7157	6.61714	7.681150909090909	19.810077307692307	3.63943	17.514752857142856	19.7894	0.0	0.0	6.12086	0.0	0.0	0.0	29.3015	14.3509	5.72796	28.2676	5.97611	11.8488	29.3222	0.0	5.02489	7.91989	4.02198	2.80815	19.8307	88.78345	88.9179	0.0	0.0	0.0	4.36318	2.81229	0.0	8.95382	0.0	63.948483333333336	88.93870000000001	5.5935500000000005	7.19614	4.77675	0.0	0.0	28.4537	0.0	0.0	0.0	0.0	0.0	0.0	0.0	51.6758	31.0592	21.267899999999997	7.65107	29.4876	13.5651	27.9368	3.163825	6.007125	0.0	0.0	0.0	0.0	2.66754	1.40614	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.81971	1.69564	36.0221	4.96286	21.205849999999998	0.0	30.687	0.0	0.0	7.07207
N01_2_4	0.0	10.5955	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	93.5610475	92.2551	12.2054	9.01853	0.0	0.0	0.0	0.0	9.67562	0.0	0.0	11.52862	0.0	15.0309	57.068066666666674	78.4891	0.0	85.0436	71.1298	22.74345	0.0	9.544215	0.0	15.2444	17.3307	0.0	0.591379	7.063689999999999	16.5618866	3.69612	6.6360383333333335	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.2455135483870965	0.0	0.0	0.0	0.0	0.0	24.148	0.0	0.0	55.0968	0.0	9.26494	0.0	32.3944	15.3266	65.5609	0.0	0.0	0.0	0.0	0.0	0.0	25.440266666666663	11.6633	36.8791	0.0	0.0	0.0	0.8542141333333333	0.0	13.5032	15.1623	0.0	26.570999999999998	10.72696	5.886411666666667	5.33884	0.0	0.0	2.34909	6.373755	41.94097571428572	13.7003	0.509243	0.870641	0.657088	25.3143	44.66106818181818	48.56974333333333	0.0	0.443534	0.394253	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	26.7763	25.0022	21.6346	6.81729	5.650955	11.4005	0.0	62.834	16.7065	11.33065	0.0	0.468175	6.768	0.0	46.4725	7.88505	0.0	0.0	0.0	0.0	0.0	0.0	0.52567	14.883066666666666	4.020555	2.4421766666666667	0.164272	0.0	1.905555	0.0	0.0	0.0	0.0	0.0	0.0	0.0	16.2136485	0.0	0.0	8.90354	8.73927	26.0371	0.0	19.2855	32.4273	23.2445	26.727054545454543	63.33443076923077	11.499	32.63171888888889	32.21920666666667	0.0	0.0	0.0	0.0	0.0	0.0	74.2345	33.1665	14.4724	49.9222	14.3738	31.2281	54.604	0.0	14.8502	27.8112	5.765932666666667	6.2127704	41.7744	0.673515	0.673515	0.0	0.0	0.0	0.0	9.33065	0.0	0.739224	2.28338	71.20643333333334	60.5835	5.642745	19.5319	12.074	0.0	0.0	86.4235	0.0	0.0	0.0	0.0	0.0	0.0	0.0	144.379	52.2549	49.5362	13.7167	87.3105	34.5628	62.3905	8.731055	9.93024	0.0	0.0	0.0	0.0	16.575	8.00004	0.903496	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	75.138	13.5196	18.1027525	0.0	0.837787	0.0	0.0	23.7866
N01_2_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.42801	9.09015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	39.017	0.0	0.0	0.0	0.0	169.07	0.0	9.09015	3.12666	0.0	5.307065833333334	3.4778999999999995	0.0	0.0	0.0	0.0	50.2914	0.0	0.0	0.0	16.2149	0.0	0.0	0.0	0.0	0.0	20.8444	0.0	0.0	0.0	0.0	0.0	0.0	7.30129	0.0	0.0	87.35446666666667	91.2316	0.0	0.0	5.939500000000001	0.0	70.6175	0.0	0.0	0.0	0.0	0.0	0.0	19.5085	0.0	0.0	0.0	0.0	0.0	50.3259	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	209.5755333333333	3.5815475	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.56999	0.0	0.0	0.0	0.0	164.912	22.7561	93.7882	35.9998	0.0	82.0303	146.44	0.690974	0.0	0.0	0.690974	0.0	89.2048	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	32.2685	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	83.08963333333334	83.412075	62.3604	0.0	0.0	0.7623747	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.33588	60.74815	34.5487	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.859734999999997	62.6253	54.0342	0.0	8.9366	1.4011416666666667	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	12.76	0.0	0.0	0.0	0.0	0.0	410.6225	405.947	4.74469	0.0	0.0	10.5949	0.0	0.0	25.7964	5.09018	162.53445	250.801	18.9097	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.92007	6.58729	6.37999	8.452916666666667	6.34545	0.0	0.0	14.3032	0.0	71.3085	0.0	89.9188	0.0	0.0	0.0
N02_1_3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.684993	0.684993	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
N02_1_4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	20.82255	0.0	0.0	0.0	4.9223	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.30099	0.0	0.0	8.81633	9.93849	0.0	0.0	7.09005875	0.0	0.0	9.30811	0.0	0.0	0.0	0.0	0.0	22.606375	0.0	0.0	0.0	0.0	0.0	18.1066	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	10.895233333333334	0.0	0.0	0.0	0.0	0.0	1.8643049999999999	0.0	0.0	6.15623	0.0	0.0	0.0	13.7476	91.6192	14.0963	33.1551	14.834	115.386	82.90122500000001	72.9091	0.4426045	0.0	0.0	0.0	0.0	54.883	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	28.2194	24.645000000000003	56.7071	0.0	0.0	0.0	50.249025	0.0	0.0	0.0	0.0	0.0	0.0	31.232699999999998	31.401475	23.733	0.0	0.0	0.41175660000000003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.576727	7.09509	17.0738	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	64.33845	32.216300000000004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.731385	8.69115	0.0	0.0	0.0	0.549903	0.0	0.0	11.7491	8.69115	149.18465999999998	212.0885	11.0383	12.0576	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	58.169	0.0	24.3701	0.0	30.2312	0.0	0.0	103.435
N02_2_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.19194	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6008566666666668	0.0	0.0	0.0	0.0	5.781555	0.0	0.0	5.29514	3.041625	9.61335	5.644866	0.0	0.0	0.0	0.0	14.11215	1.74863	0.0	0.0	2.80766	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.20171	0.0	0.0	25.8764	25.7861	0.0	0.541828	10.9874375	0.0	3.94057	3.76817	0.0	0.0	0.0	3.00468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.85183	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	21.54342666666667	6.07709875	0.0	0.0	0.0	0.541828	0.0	0.0	0.0	2.142685	0.0	0.0	0.0	0.0	31.4014	4.72868	15.5899	4.33463	0.0	21.55	18.631520000000002	0.123143	0.0	0.0	0.0	0.0	20.4663	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.25606	0.0	0.0	0.0	0.0	0.0	7.11766	0.0	0.0	17.084016666666667	17.17845	12.2404	0.0	6.69897	2.0441714285714285	0.0	0.0	0.0	0.0	0.0	0.221657	0.0	6.3254366666666675	0.0	0.0	11.33404	0.0	3.805115	30.39165	7.31468	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.25097	14.0383	0.0	2.80766	13.0285	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.9308	0.0	0.0	0.8496855	0.0	0.0	57.97565	57.9264	0.763485	0.0	0.0	3.54651	0.0	0.0	4.53166	1.45309	28.347482000000003	58.4436	4.60554	1.724	0.0	0.0	2.5367433333333334	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8964	0.0	0.0	0.0	0.0	0.5172	0.738857	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.38388	2.7140700000000004	4.500869583333333	9.50663	9.6544	12.739805555555556	9.087935	0.0	0.0	6.08326	0.0	6.79748	0.0	14.8264	0.0	0.0	0.0
N02_1_2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.77238	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	22.9783	0.0	0.0	1.2602	0.0	2.5525824999999998	1.6667200000000002	0.0	0.0	0.0	0.0	18.7912	0.0	0.0	0.0	3.94321	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.50829	0.0	0.0	37.0946	39.4117	0.0	0.0	22.6581875	0.0	12.6223	9.10596	0.0	0.0	0.0	0.0	0.0	7.86608	0.0	0.0	0.0	0.0	0.0	11.4028	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.7451128571428571	6.71429	2.02241625	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.384395	0.0	0.0	0.0	0.0	44.4932	7.84576	24.9601	13.0695	0.0	22.927509999999998	42.1557	0.6300995	0.0	0.0	0.0	0.0	29.4927	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	11.1589	0.0	0.0	34.76728333333333	35.041675	26.00685	0.0	0.0	1.6202561904761903	0.0	0.0	0.0	0.0	0.0	0.0	0.0	17.92396666666667	0.0	0.0	28.224400000000003	0.0	2.113885	4.6850950000000005	13.0492	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.30907	23.6999	0.0	3.9330433333333334	3.98386	2.187056	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.04483	0.0	0.0	1.758185	0.0	0.0	78.54905	78.8743	0.0	0.0	0.0	10.3458	0.0	0.0	8.61814	2.80496	53.572	80.4495	5.6709	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	19.413674999999998	3.6106018181818182	2.01225	0.0	2.635577777777778	2.19519	0.0	0.0	6.07741	0.0	2.88626	0.0	26.5048	0.0	0.0	0.0
