PC	variance_explained	cumulative_variance
PC1	0.27643895321187567	0.27643895321187567
PC2	0.1387527513769164	0.41519170458879207
PC3	0.06122815337173599	0.47641985796052805
PC4	0.053343272787442456	0.5297631307479705
PC5	0.04470221604714254	0.5744653467951131
PC6	0.04299215236444241	0.6174574991595555
PC7	0.03649824626402942	0.6539557454235849
PC8	0.02601169557927643	0.6799674410028613
PC9	0.024661680215692993	0.7046291212185544
PC10	0.02048817706525336	0.7251172982838078
PC11	0.02046175406857674	0.7455790523523845
PC12	0.015228034546328071	0.7608070868987126
PC13	0.014695203903361681	0.7755022908020742
PC14	0.012904219172339455	0.7884065099744136
PC15	0.012536553866447144	0.8009430638408608
PC16	0.010859773187302428	0.8118028370281632
PC17	0.00978171997399734	0.8215845570021606
PC18	0.009029290897581439	0.830613847899742
PC19	0.007710352892823858	0.8383242007925659
PC20	0.007615123975359512	0.8459393247679253
PC21	0.007289749634738047	0.8532290744026634
PC22	0.006837560989068442	0.8600666353917318
PC23	0.00618426314873131	0.8662508985404631
PC24	0.0056195818955643755	0.8718704804360274
PC25	0.005268270828387029	0.8771387512644144
PC26	0.004989825745606734	0.8821285770100211
PC27	0.004837269107740593	0.8869658461177617
PC28	0.004352576838029878	0.8913184229557917
PC29	0.003979915782617221	0.8952983387384089
PC30	0.003874330684688491	0.8991726694230974
PC31	0.0037184653875283304	0.9028911348106257
PC32	0.003519986139734047	0.9064111209503597
PC33	0.00336605558345976	0.9097771765338195
PC34	0.003262097939829932	0.9130392744736494
PC35	0.0030477608606045686	0.916087035334254
PC36	0.0029485251952103713	0.9190355605294643
PC37	0.002874497144074955	0.9219100576735393
PC38	0.002713039839629457	0.9246230975131687
PC39	0.0025112571831267714	0.9271343546962955
PC40	0.0024681058330366093	0.929602460529332
PC41	0.0024110854966361683	0.9320135460259682
PC42	0.0022377676294417326	0.9342513136554099
PC43	0.0021578458424526426	0.9364091594978625
PC44	0.002112146149034302	0.9385213056468968
PC45	0.002090199138943934	0.9406115047858408
PC46	0.001961129038633571	0.9425726338244743
PC47	0.001890164666441169	0.9444627984909155
PC48	0.0017529601527686628	0.9462157586436842
PC49	0.001715642990071571	0.9479314016337558
PC50	0.0016185602919725627	0.9495499619257284
PC51	0.001550886360032378	0.9511008482857608
PC52	0.0014661662848935953	0.9525670145706544
PC53	0.0014384752558077038	0.9540054898264622
PC54	0.001411143044055636	0.9554166328705178
PC55	0.0013624830835789732	0.9567791159540968
PC56	0.001287508342926532	0.9580666242970234
PC57	0.0012274777403954269	0.9592941020374188
PC58	0.0012100703506039052	0.9605041723880228
PC59	0.0011617271349950921	0.9616658995230178
PC60	0.0011063220980858167	0.9627722216211037
PC61	0.0010984514617971885	0.9638706730829009
PC62	0.0010705509903708374	0.9649412240732717
PC63	0.0010073440529673665	0.965948568126239
PC64	0.0009714463538377534	0.9669200144800767
PC65	0.0009646596285437655	0.9678846741086204
PC66	0.0009511181697805316	0.968835792278401
PC67	0.0009034364725604411	0.9697392287509614
PC68	0.0008839131752148989	0.9706231419261763
