sample_name	species	Location	BodySite	genes_with_resistance	total_resistance_score	total_mutations	n_genes_with_resistance
N01_1_4	Enterobacter_cloacae	UCMC	Stool	parC,parE	0.0167	2	2
N01_1_4	Enterobacter_cloacae	ZCH	Stool	parC,parE	0.0167	2	2
N01_1_4	Enterobacter_hormaechei	UCMC	Stool	parC,parE	0.0207	2	2
N01_1_4	Enterobacter_hormaechei	ZCH	Stool	parC,parE	0.0207	2	2
N01_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.0145	1	1
N01_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.0145	1	1
N01_1_4	Escherichia_coli	UCMC	Stool	gyrA,parC	0.045200000000000004	3	2
N01_1_4	Escherichia_coli	ZCH	Stool	gyrA,parC	0.045200000000000004	3	2
N01_1_4	Klebsiella_aerogenes	UCMC	Stool	gyrA	0.0099	1	1
N01_1_4	Klebsiella_aerogenes	ZCH	Stool	gyrA	0.0099	1	1
N01_1_4	Klebsiella_oxytoca	UCMC	Stool	gyrA	0.0099	1	1
N01_1_4	Klebsiella_oxytoca	ZCH	Stool	gyrA	0.0099	1	1
N01_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0098	1	1
N01_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.0098	1	1
N01_1_4	Salmonella_enterica	UCMC	Stool	gyrB	0.0069	1	1
N01_1_4	Salmonella_enterica	ZCH	Stool	gyrB	0.0069	1	1
N01_1_4	Staphylococcus_aureus	UCMC	Stool	gyrA	0.0013	1	1
N01_1_4	Staphylococcus_aureus	ZCH	Stool	gyrA	0.0013	1	1
N01_1_4	Staphylococcus_epidermidis	UCMC	Stool	gyrA	0.003	2	1
N01_1_4	Staphylococcus_epidermidis	ZCH	Stool	gyrA	0.003	2	1
N01_1_4	Staphylococcus_saprophyticus	UCMC	Stool	gyrA	0.0138	2	1
N01_1_4	Staphylococcus_saprophyticus	ZCH	Stool	gyrA	0.0138	2	1
N01_2_2	Mycobacterium_tuberculosis	UCMC	Axilla	gyrB	0.9583	1	1
N01_2_2	Mycobacterium_tuberculosis	ZCH	Axilla	gyrB	0.9583	1	1
N01_2_2	Staphylococcus_aureus	UCMC	Axilla	gyrA	0.11510000000000001	2	1
N01_2_2	Staphylococcus_aureus	ZCH	Axilla	gyrA	0.11510000000000001	2	1
N01_2_2	Staphylococcus_epidermidis	UCMC	Axilla	gyrA	0.0042	1	1
N01_2_2	Staphylococcus_epidermidis	ZCH	Axilla	gyrA	0.0042	1	1
N01_2_3	Acinetobacter_baumannii	UCMC	Groin	gyrA	1.0	1	1
N01_2_3	Acinetobacter_baumannii	ZCH	Groin	gyrA	1.0	1	1
N01_2_3	Burkholderia_cepacia	UCMC	Groin	gyrA	1.0	1	1
N01_2_3	Burkholderia_cepacia	ZCH	Groin	gyrA	1.0	1	1
N01_2_3	Citrobacter_freundii	UCMC	Groin	gyrA	0.8	1	1
N01_2_3	Citrobacter_freundii	ZCH	Groin	gyrA	0.8	1	1
N01_2_3	Escherichia_coli	UCMC	Groin	gyrA	0.028200000000000003	2	1
N01_2_3	Escherichia_coli	ZCH	Groin	gyrA	0.028200000000000003	2	1
N01_2_3	Mycobacterium_tuberculosis	UCMC	Groin	gyrB	1.0	1	1
N01_2_3	Mycobacterium_tuberculosis	ZCH	Groin	gyrB	1.0	1	1
N01_2_3	Salmonella_enterica	UCMC	Groin	gyrA,parE	0.0441	2	2
N01_2_3	Salmonella_enterica	ZCH	Groin	gyrA,parE	0.0441	2	2
N01_2_3	Serratia_marcescens	UCMC	Groin	gyrA	0.8	1	1
N01_2_3	Serratia_marcescens	ZCH	Groin	gyrA	0.8	1	1
N01_2_4	Acinetobacter_baumannii	UCMC	Stool	gyrA,parC	0.9028	2	2
N01_2_4	Acinetobacter_baumannii	ZCH	Stool	gyrA,parC	0.9028	2	2
N01_2_4	Burkholderia_cepacia	UCMC	Stool	gyrA	1.0	1	1
N01_2_4	Burkholderia_cepacia	ZCH	Stool	gyrA	1.0	1	1
N01_2_4	Citrobacter_freundii	UCMC	Stool	gyrA	1.0	1	1
N01_2_4	Citrobacter_freundii	ZCH	Stool	gyrA	1.0	1	1
N01_2_4	Enterobacter_cloacae	UCMC	Stool	parE	0.0038	1	1
N01_2_4	Enterobacter_cloacae	ZCH	Stool	parE	0.0038	1	1
N01_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.0138	2	1
N01_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.0138	2	1
N01_2_4	Escherichia_coli	UCMC	Stool	gyrA,parC,parE	0.0472	5	3
N01_2_4	Escherichia_coli	ZCH	Stool	gyrA,parC,parE	0.0472	5	3
N01_2_4	Klebsiella_aerogenes	UCMC	Stool	gyrA	0.0233	1	1
N01_2_4	Klebsiella_aerogenes	ZCH	Stool	gyrA	0.0233	1	1
N01_2_4	Klebsiella_oxytoca	UCMC	Stool	gyrA	0.0233	1	1
N01_2_4	Klebsiella_oxytoca	ZCH	Stool	gyrA	0.0233	1	1
N01_2_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0232	1	1
N01_2_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.0232	1	1
N01_2_4	Salmonella_enterica	UCMC	Stool	gyrA,gyrB,parE	0.027800000000000002	5	3
N01_2_4	Salmonella_enterica	ZCH	Stool	gyrA,gyrB,parE	0.027800000000000002	5	3
N01_2_4	Serratia_marcescens	UCMC	Stool	gyrA	1.0	1	1
N01_2_4	Serratia_marcescens	ZCH	Stool	gyrA	1.0	1	1
N01_2_4	Shigella_flexneri	UCMC	Stool	parC	0.0204	1	1
N01_2_4	Shigella_flexneri	ZCH	Stool	parC	0.0204	1	1
N01_2_4	Shigella_sonnei	UCMC	Stool	parE	0.0038	1	1
N01_2_4	Shigella_sonnei	ZCH	Stool	parE	0.0038	1	1
N02_1_2	Mycobacterium_tuberculosis	UCMC	Axilla	gyrB	1.0	1	1
N02_1_2	Mycobacterium_tuberculosis	ZCH	Axilla	gyrB	1.0	1	1
N02_1_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.0037	1	1
N02_1_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.0037	1	1
N02_1_4	Escherichia_coli	UCMC	Stool	gyrA	0.0244	1	1
N02_1_4	Escherichia_coli	ZCH	Stool	gyrA	0.0244	1	1
N02_1_4	Klebsiella_aerogenes	UCMC	Stool	gyrA	0.0122	1	1
N02_1_4	Klebsiella_aerogenes	ZCH	Stool	gyrA	0.0122	1	1
N02_1_4	Klebsiella_oxytoca	UCMC	Stool	gyrA	0.0122	1	1
N02_1_4	Klebsiella_oxytoca	ZCH	Stool	gyrA	0.0122	1	1
N02_1_4	Klebsiella_pneumoniae	UCMC	Stool	gyrA	0.0122	1	1
N02_1_4	Klebsiella_pneumoniae	ZCH	Stool	gyrA	0.0122	1	1
N02_1_4	Lactiplantibacillus_plantarum	UCMC	Stool	gyrA	0.0588	1	1
N02_1_4	Lactiplantibacillus_plantarum	ZCH	Stool	gyrA	0.0588	1	1
N02_1_4	Salmonella_enterica	UCMC	Stool	gyrA	0.0127	1	1
N02_1_4	Salmonella_enterica	ZCH	Stool	gyrA	0.0127	1	1
N02_1_4	Staphylococcus_epidermidis	UCMC	Stool	gyrA	0.004	1	1
N02_1_4	Staphylococcus_epidermidis	ZCH	Stool	gyrA	0.004	1	1
N02_1_4	Staphylococcus_saprophyticus	UCMC	Stool	gyrA	0.0036	1	1
N02_1_4	Staphylococcus_saprophyticus	ZCH	Stool	gyrA	0.0036	1	1
N02_2_2	Mycobacterium_tuberculosis	UCMC	Axilla	gyrB	1.0	1	1
N02_2_2	Mycobacterium_tuberculosis	ZCH	Axilla	gyrB	1.0	1	1
N02_2_3	Escherichia_coli	UCMC	Groin	gyrA,parC	0.06570000000000001	2	2
N02_2_3	Escherichia_coli	ZCH	Groin	gyrA,parC	0.06570000000000001	2	2
N02_2_3	Shigella_flexneri	UCMC	Groin	parC	0.0345	1	1
N02_2_3	Shigella_flexneri	ZCH	Groin	parC	0.0345	1	1
N02_2_4	Enterobacter_cloacae	UCMC	Stool	parE	0.0075	1	1
N02_2_4	Enterobacter_cloacae	ZCH	Stool	parE	0.0075	1	1
N02_2_4	Enterococcus_faecalis	UCMC	Stool	gyrA	0.0066	1	1
N02_2_4	Enterococcus_faecalis	ZCH	Stool	gyrA	0.0066	1	1
N02_2_4	Escherichia_coli	UCMC	Stool	gyrA,parC,parE	0.0184	3	3
N02_2_4	Escherichia_coli	ZCH	Stool	gyrA,parC,parE	0.0184	3	3
N02_2_4	Shigella_flexneri	UCMC	Stool	parC	0.0053	1	1
N02_2_4	Shigella_flexneri	ZCH	Stool	parC	0.0053	1	1
N02_2_4	Shigella_sonnei	UCMC	Stool	parE	0.0075	1	1
N02_2_4	Shigella_sonnei	ZCH	Stool	parE	0.0075	1	1
N02_2_4	Veillonella_dispar	UCMC	Stool	gyrA	0.0074	1	1
N02_2_4	Veillonella_dispar	ZCH	Stool	gyrA	0.0074	1	1
N02_2_4	Veillonella_parvula	UCMC	Stool	gyrA	0.0072	1	1
N02_2_4	Veillonella_parvula	ZCH	Stool	gyrA	0.0072	1	1
