parameter	coefficient	std_err	z_value	p_value	model
Intercept	1.9629229887193917	0.6213578366316502	3.159086235011212	0.0016778462414284696	N_mutations (OLS)
Location[T.ZCH]	0.08025672374999848	0.5889904234169655	0.13626150877699778	0.891669068763679	N_mutations (OLS)
BodySite[T.Groin]	5.4188924296588326	0.7343531974813311	7.37913642678269	6.632269533092535e-13	N_mutations (OLS)
BodySite[T.Stool]	10.016136565788187	0.682716714724127	14.670999478657148	8.006529853715157e-41	N_mutations (OLS)
Week[T.Week 3]	3.4810774086316263	0.5813740245096413	5.987672757770239	4.053346495331617e-09	N_mutations (OLS)
Intercept	0.506992939519411	0.025728465031174888	19.705526113007267	1.748412584800365e-64	Mean_frequency (OLS)
Location[T.ZCH]	-0.020592709328181996	0.02438823270456906	-0.8443707085148493	0.3988636925407948	Mean_frequency (OLS)
BodySite[T.Groin]	-0.20057641115428634	0.030407245950823013	-6.596336000921434	1.0693017762915946e-10	Mean_frequency (OLS)
BodySite[T.Stool]	-0.3389614282588322	0.028269142328997826	-11.99050980443554	2.5994630732772544e-29	Mean_frequency (OLS)
Week[T.Week 3]	-0.06744523415557932	0.024072861687422394	-2.8017123610533665	0.005279141134431222	Mean_frequency (OLS)
