species	n_samples	n_unique_mutations	mean_resistance_freq
Mycobacterium_tuberculosis	224	45	0.5066193199381762
Escherichia_coli	213	129	0.05725500459136822
Salmonella_enterica	162	109	0.015484260515603799
Klebsiella_pneumoniae	131	28	0.08075866141732282
Klebsiella_aerogenes	125	28	0.08035884773662552
Klebsiella_oxytoca	125	28	0.08017551020408163
Enterobacter_cloacae	120	55	0.029227509293680298
Shigella_sonnei	107	32	0.15183581395348839
Staphylococcus_epidermidis	99	21	0.01938149779735683
Shigella_flexneri	92	40	0.15974008810572687
Staphylococcus_aureus	84	17	0.1605905109489051
Veillonella_parvula	70	23	0.16692176470588235
Veillonella_dispar	68	23	0.16290654761904763
Citrobacter_freundii	57	23	0.19546666666666668
Granulicatella_adiacens	51	10	0.4896703125
Enterococcus_faecalis	50	20	0.16019523809523808
Staphylococcus_saprophyticus	46	17	0.05629636363636363
Burkholderia_cepacia	43	9	0.339861038961039
Pseudomonas_aeruginosa	36	18	0.03730114942528736
Enterococcus_faecium	36	13	0.5868241379310345
Enterobacter_hormaechei	25	17	0.01681086956521739
Clostridioides_difficile	25	3	0.7282341463414634
Legionella_pneumophila	22	4	0.5496567567567567
Serratia_marcescens	21	19	0.14077045454545456
Haemophilus_influenzae	21	22	0.21016610169491526
Acinetobacter_baumannii	18	14	0.48693235294117654
Rothia_mucilaginosa	18	10	0.759725
Ruminococcus_bromii	17	2	0.7962166666666667
Proteus_mirabilis	14	9	0.09708518518518519
Yersinia_pestis	14	9	0.036825000000000004
Streptococcus_pneumoniae	13	10	0.14097619047619045
Streptococcus_pyogenes	13	7	0.10777619047619048
Streptococcus_mitis	11	6	0.051193333333333334
Bifidobacterium_longum	11	7	0.19206666666666666
Bifidobacterium_breve	9	7	0.030128571428571425
Streptococcus_oralis	8	5	0.05864545454545455
Bifidobacterium_adolescentis	8	6	0.21353157894736843
Bacteroides_fragilis	7	3	0.5442461538461539
Bacteroides_cellulosilyticus	6	4	0.033916666666666664
Streptococcus_mutans	5	5	0.4199888888888889
Aggregatibacter_actinomycetemcomitans	5	3	0.7614500000000001
Bacteroides_ovatus	5	4	0.1987
Streptococcus_agalactiae	5	4	0.2636142857142857
Providencia_stuartii	5	3	0.2723857142857143
Parabacteroides_distasonis	4	2	0.036425
Actinomyces_oris	4	3	0.05915
Actinomyces_naeslundii	4	2	0.33971428571428575
Streptococcus_parasanguinis	4	5	0.03988181818181818
Phocaeicola_vulgatus	4	2	0.036425
Prevotella_melaninogenica	4	4	0.025575
Morganella_morganii	3	3	0.0349
Coprococcus_eutactus	2	2	0.42860000000000004
Bacteroides_thetaiotaomicron	2	2	0.5238
Collinsella_aerofaciens	2	2	0.41165
Lactobacillus_acidophilus	2	2	0.0888
Limosilactobacillus_reuteri	2	2	0.0501
Bacteroides_uniformis	2	2	0.01665
Bifidobacterium_bifidum	2	2	0.0593
Streptococcus_sanguinis	2	2	0.0347
Bacteroides_caccae	1	1	0.0278
Akkermansia_muciniphila	1	1	0.125
Helicobacter_pylori	1	1	0.9898
Fusobacterium_nucleatum	1	1	0.0105
Faecalibacterium_prausnitzii	1	1	0.0192
Blautia_obeum	1	1	1.0
Dorea_longicatena	1	1	1.0
Lacticaseibacillus_rhamnosus	1	2	0.7142999999999999
Lacticaseibacillus_casei	1	2	0.7142999999999999
Lactiplantibacillus_plantarum	1	1	0.0588
Neisseria_gonorrhoeae	1	1	0.0044
Roseburia_intestinalis	1	1	1.0
Roseburia_hominis	1	1	1.0
Rothia_dentocariosa	1	1	0.0303
Stenotrophomonas_maltophilia	1	1	0.0909
