species	BodySite	n_samples	mean_n_mutations	mean_mutation_freq	total_samples	prevalence_pct
Acinetobacter_baumannii	Axilla	2	1.0	1.0	106	1.8867924528301887
Acinetobacter_baumannii	Groin	4	1.0	0.9642857142857143	88	4.545454545454546
Acinetobacter_baumannii	Stool	4	1.2857142857142858	0.5813428571428572	105	3.8095238095238098
Actinomyces_naeslundii	Axilla	1	1.0	0.0161	106	0.9433962264150944
Actinomyces_naeslundii	Groin	1	1.0	0.0062	88	1.1363636363636365
Actinomyces_naeslundii	Stool	1	1.0	0.6667	105	0.9523809523809524
Actinomyces_oris	Axilla	2	1.0	0.08143333333333333	106	1.8867924528301887
Actinomyces_oris	Groin	1	1.0	0.0303	88	1.1363636363636365
Actinomyces_oris	Stool	1	1.0	0.05	105	0.9523809523809524
Aggregatibacter_actinomycetemcomitans	Stool	5	1.1111111111111112	0.8361611111111111	105	4.761904761904762
Akkermansia_muciniphila	Axilla	1	1.0	0.125	106	0.9433962264150944
Bacteroides_caccae	Groin	1	1.0	0.0278	88	1.1363636363636365
Bacteroides_cellulosilyticus	Groin	2	1.0	0.00835	88	2.272727272727273
Bacteroides_cellulosilyticus	Stool	4	1.0	0.0467	105	3.8095238095238098
Bacteroides_fragilis	Groin	1	1.0	0.0308	88	1.1363636363636365
Bacteroides_fragilis	Stool	6	1.0	0.6376000000000001	105	5.714285714285714
Bacteroides_ovatus	Groin	1	2.0	0.02355	88	1.1363636363636365
Bacteroides_ovatus	Stool	4	1.0	0.286275	105	3.8095238095238098
Bacteroides_thetaiotaomicron	Groin	1	1.0	0.0476	88	1.1363636363636365
Bacteroides_thetaiotaomicron	Stool	1	1.0	1.0	105	0.9523809523809524
Bacteroides_uniformis	Groin	1	1.0	0.0083	88	1.1363636363636365
Bacteroides_uniformis	Stool	1	1.0	0.025	105	0.9523809523809524
Bifidobacterium_adolescentis	Axilla	1	2.0	0.37520000000000003	106	0.9433962264150944
Bifidobacterium_adolescentis	Groin	2	2.0	0.056516666666666666	88	2.272727272727273
Bifidobacterium_adolescentis	Stool	3	1.0	0.20892	105	2.857142857142857
Bifidobacterium_bifidum	Groin	2	1.0	0.0593	88	2.272727272727273
Bifidobacterium_breve	Groin	3	1.0	0.029599999999999998	88	3.4090909090909087
Bifidobacterium_breve	Stool	5	1.5714285714285714	0.0445	105	4.761904761904762
Bifidobacterium_longum	Axilla	2	1.0	0.10436666666666666	106	1.8867924528301887
Bifidobacterium_longum	Groin	4	1.0	0.08515714285714286	88	4.545454545454546
Bifidobacterium_longum	Stool	2	2.0	0.25688333333333335	105	1.9047619047619049
Blautia_obeum	Stool	1	1.0	1.0	105	0.9523809523809524
Burkholderia_cepacia	Axilla	5	1.0	0.20722000000000002	106	4.716981132075472
Burkholderia_cepacia	Groin	7	1.0	0.3957538461538462	88	7.954545454545454
Burkholderia_cepacia	Stool	25	1.0	0.3885166666666667	105	23.809523809523807
Citrobacter_freundii	Axilla	1	1.0	0.1111	106	0.9433962264150944
Citrobacter_freundii	Groin	13	1.3333333333333333	0.17799416666666668	88	14.772727272727273
Citrobacter_freundii	Stool	22	1.2	0.1712075	105	20.952380952380953
Clostridioides_difficile	Axilla	1	1.0	0.0054	106	0.9433962264150944
Clostridioides_difficile	Groin	5	1.0	0.4394125	88	5.681818181818182
Clostridioides_difficile	Stool	18	1.0	0.8424096774193548	105	17.142857142857142
Collinsella_aerofaciens	Axilla	1	1.0	0.7778	106	0.9433962264150944
Collinsella_aerofaciens	Groin	1	1.0	0.0455	88	1.1363636363636365
Coprococcus_eutactus	Stool	2	1.0	0.42860000000000004	105	1.9047619047619049
Dorea_longicatena	Stool	1	1.0	1.0	105	0.9523809523809524
Enterobacter_cloacae	Axilla	1	1.0	0.0244	106	0.9433962264150944
Enterobacter_cloacae	Groin	25	1.3414634146341464	0.03552317073170732	88	28.40909090909091
Enterobacter_cloacae	Stool	44	1.4415584415584415	0.02469978354978355	105	41.904761904761905
Enterobacter_hormaechei	Axilla	1	2.0	0.0801	106	0.9433962264150944
Enterobacter_hormaechei	Groin	5	1.0	0.0272	88	5.681818181818182
Enterobacter_hormaechei	Stool	3	1.3333333333333333	0.00805	105	2.857142857142857
Enterococcus_faecalis	Groin	8	1.0	0.05434615384615385	88	9.090909090909092
Enterococcus_faecalis	Stool	30	1.4230769230769231	0.1337599358974359	105	28.57142857142857
Enterococcus_faecium	Groin	3	1.0	0.15610000000000002	88	3.4090909090909087
Enterococcus_faecium	Stool	6	1.0	0.1167	105	5.714285714285714
Escherichia_coli	Axilla	13	1.5	0.25560075757575756	106	12.264150943396226
Escherichia_coli	Groin	54	2.5934065934065935	0.0559499284842142	88	61.36363636363637
Escherichia_coli	Stool	82	3.761904761904762	0.0757993199147791	105	78.0952380952381
Faecalibacterium_prausnitzii	Groin	1	1.0	0.0192	88	1.1363636363636365
Fusobacterium_nucleatum	Stool	1	1.0	0.0105	105	0.9523809523809524
Granulicatella_adiacens	Axilla	8	1.0	0.14708333333333334	106	7.547169811320755
Granulicatella_adiacens	Groin	8	1.0769230769230769	0.07303846153846154	88	9.090909090909092
Granulicatella_adiacens	Stool	3	1.0	0.024024999999999998	105	2.857142857142857
Haemophilus_influenzae	Axilla	7	1.0909090909090908	0.45605000000000007	106	6.60377358490566
Haemophilus_influenzae	Groin	5	1.0	0.10576666666666666	88	5.681818181818182
Haemophilus_influenzae	Stool	9	2.375	0.2054546875	105	8.571428571428571
Helicobacter_pylori	Stool	1	1.0	0.9898	105	0.9523809523809524
Klebsiella_aerogenes	Axilla	2	1.0	0.02235	106	1.8867924528301887
Klebsiella_aerogenes	Groin	29	1.3265306122448979	0.08093469387755102	88	32.95454545454545
Klebsiella_aerogenes	Stool	63	1.1636363636363636	0.06930378787878788	105	60.0
Klebsiella_oxytoca	Axilla	2	1.0	0.02235	106	1.8867924528301887
Klebsiella_oxytoca	Groin	29	1.3265306122448979	0.08093469387755102	88	32.95454545454545
Klebsiella_oxytoca	Stool	63	1.1818181818181819	0.06376924242424242	105	60.0
Klebsiella_pneumoniae	Axilla	5	1.0	0.12357499999999999	106	4.716981132075472
