species	Location	n_samples	mean_n_mutations	mean_mutation_freq	total_samples	prevalence_pct
Acinetobacter_baumannii	UCMC	10	1.1	0.8409700000000001	299	3.3444816053511706
Acinetobacter_baumannii	ZCH	7	1.1428571428571428	0.7728142857142857	209	3.349282296650718
Actinomyces_naeslundii	UCMC	3	1.0	0.22966666666666666	299	1.0033444816053512
Actinomyces_naeslundii	ZCH	3	1.0	0.22966666666666666	209	1.4354066985645932
Actinomyces_oris	UCMC	4	1.0	0.058425000000000005	299	1.3377926421404682
Actinomyces_oris	ZCH	2	1.0	0.0606	209	0.9569377990430622
Aggregatibacter_actinomycetemcomitans	UCMC	5	1.2	0.76145	299	1.6722408026755853
Aggregatibacter_actinomycetemcomitans	ZCH	4	1.0	0.92955	209	1.9138755980861244
Akkermansia_muciniphila	UCMC	1	1.0	0.125	299	0.33444816053511706
Bacteroides_caccae	UCMC	1	1.0	0.0278	299	0.33444816053511706
Bacteroides_caccae	ZCH	1	1.0	0.0278	209	0.4784688995215311
Bacteroides_cellulosilyticus	UCMC	6	1.0	0.033916666666666664	299	2.0066889632107023
Bacteroides_cellulosilyticus	ZCH	6	1.0	0.033916666666666664	209	2.8708133971291865
Bacteroides_fragilis	UCMC	7	1.0	0.5767999999999999	299	2.341137123745819
Bacteroides_fragilis	ZCH	6	1.0	0.5062666666666666	209	2.8708133971291865
Bacteroides_ovatus	UCMC	5	1.2	0.23373	299	1.6722408026755853
Bacteroides_ovatus	ZCH	5	1.2	0.23373	209	2.3923444976076556
Bacteroides_thetaiotaomicron	UCMC	2	1.0	0.5238	299	0.6688963210702341
Bacteroides_thetaiotaomicron	ZCH	2	1.0	0.5238	209	0.9569377990430622
Bacteroides_uniformis	UCMC	2	1.0	0.01665	299	0.6688963210702341
Bacteroides_uniformis	ZCH	2	1.0	0.01665	209	0.9569377990430622
Bifidobacterium_adolescentis	UCMC	6	1.5	0.17675555555555555	299	2.0066889632107023
Bifidobacterium_adolescentis	ZCH	5	1.6	0.19210666666666668	209	2.3923444976076556
Bifidobacterium_bifidum	UCMC	2	1.0	0.0672	299	0.6688963210702341
Bifidobacterium_bifidum	ZCH	1	1.0	0.0435	209	0.4784688995215311
Bifidobacterium_breve	UCMC	8	1.375	0.03679375	299	2.6755852842809364
Bifidobacterium_breve	ZCH	5	1.2	0.03895	209	2.3923444976076556
Bifidobacterium_longum	UCMC	8	1.25	0.13367083333333335	299	2.6755852842809364
Bifidobacterium_longum	ZCH	4	1.0	0.0884	209	1.9138755980861244
Blautia_obeum	UCMC	1	1.0	1.0	299	0.33444816053511706
Burkholderia_cepacia	UCMC	37	1.0	0.3645918918918919	299	12.37458193979933
Burkholderia_cepacia	ZCH	34	1.0	0.3639970588235294	209	16.267942583732058
Citrobacter_freundii	UCMC	36	1.2777777777777777	0.16086555555555554	299	12.040133779264215
Citrobacter_freundii	ZCH	30	1.2	0.18503999999999998	209	14.354066985645932
Clostridioides_difficile	UCMC	24	1.0	0.7283624999999999	299	8.02675585284281
Clostridioides_difficile	ZCH	16	1.0	0.75966875	209	7.655502392344498
Collinsella_aerofaciens	UCMC	2	1.0	0.41165	299	0.6688963210702341
Collinsella_aerofaciens	ZCH	2	1.0	0.41165	209	0.9569377990430622
Coprococcus_eutactus	UCMC	2	1.0	0.57145	299	0.6688963210702341
Coprococcus_eutactus	ZCH	1	1.0	0.1429	209	0.4784688995215311
Dorea_longicatena	UCMC	1	1.0	1.0	299	0.33444816053511706
Enterobacter_cloacae	UCMC	70	1.4	0.029260833333333337	299	23.411371237458194
Enterobacter_cloacae	ZCH	50	1.4	0.0271775	209	23.923444976076556
Enterobacter_hormaechei	UCMC	9	1.2222222222222223	0.026094444444444444	299	3.0100334448160537
Enterobacter_hormaechei	ZCH	8	1.25	0.02730625	209	3.827751196172249
Enterococcus_faecalis	UCMC	38	1.3157894736842106	0.10609035087719298	299	12.709030100334449
Enterococcus_faecalis	ZCH	27	1.3703703703703705	0.13446604938271606	209	12.918660287081341
Enterococcus_faecium	UCMC	9	1.0	0.11993333333333335	299	3.0100334448160537
Enterococcus_faecium	ZCH	3	1.0	0.15953333333333333	209	1.4354066985645932
Escherichia_coli	UCMC	149	3.221476510067114	0.07978202749711139	299	49.83277591973244
Escherichia_coli	ZCH	111	3.081081081081081	0.08981655936155936	209	53.110047846889955
Faecalibacterium_prausnitzii	UCMC	1	1.0	0.0192	299	0.33444816053511706
Faecalibacterium_prausnitzii	ZCH	1	1.0	0.0192	209	0.4784688995215311
