Species	BodySite	N_Samples	Mean_AlleleFreq	Median_AlleleFreq	SD_AlleleFreq
Mycobacterium_tuberculosis	Axilla	89	0.6899999357945426	0.593	0.309256456244183
Mycobacterium_tuberculosis	Groin	56	0.7470085650510203	0.9483999999999999	0.3008560325208418
Mycobacterium_tuberculosis	Stool	4	0.738675	0.7273499999999999	0.26893411057977257
Escherichia_coli	Axilla	13	0.2532371794871795	0.12935	0.31168641300739885
Escherichia_coli	Groin	54	0.052594279835390945	0.015475000000000001	0.14249696965073294
Escherichia_coli	Stool	82	0.0701871664954287	0.014329166666666667	0.17004984450796098
Salmonella_enterica	Axilla	4	0.10455	0.11125	0.07366186258845211
Salmonella_enterica	Groin	38	0.014945206766917293	0.009825	0.016434817626323876
Salmonella_enterica	Stool	65	0.022367874236874235	0.0083	0.03616855524254891
Klebsiella_pneumoniae	Axilla	5	0.12426	0.1111	0.1299008198588446
Klebsiella_pneumoniae	Groin	31	0.08488387096774194	0.0164	0.24422481118397749
Klebsiella_pneumoniae	Stool	64	0.05645651041666666	0.012050000000000002	0.17657432728624214
Klebsiella_aerogenes	Axilla	2	0.02235	0.02235	0.022839549032325483
Klebsiella_aerogenes	Groin	29	0.08914137931034487	0.0164	0.25219520998799067
Klebsiella_aerogenes	Stool	63	0.06224074074074074	0.0119	0.19073514978524586
Klebsiella_oxytoca	Axilla	2	0.02235	0.02235	0.022839549032325483
Klebsiella_oxytoca	Groin	29	0.08914137931034487	0.0164	0.25219520998799067
Klebsiella_oxytoca	Stool	63	0.05740899470899471	0.0119	0.17864848419019227
