Species	UCMC_N	UCMC_%	ZCH_N	ZCH_%	Location_p	Axilla_%	Groin_%	Stool_%	BodySite_p	BodySite_FDR	Top_Mutation
Burkholderia_cepacia	37	12.4	34	16.3	0.242	4.7	8.0	23.8	4.586e-05	2.035e-04	Burkholderia_cepacia_gyrA_87_D->Y
Mycobacterium_tuberculosis	149	49.8	94	45.0	0.321	84.0	63.6	3.8	3.169e-32	2.250e-30	Mycobacterium_tuberculosis_gyrB_486_I->L
Enterococcus_faecium	9	3.0	3	1.4	0.375	0.0	3.4	5.7	0.051	0.138	Enterococcus_faecium_parC_80_S->I
Salmonella_enterica	107	35.8	83	39.7	0.402	3.8	43.2	61.9	3.247e-18	4.611e-17	Salmonella_enterica_gyrB_466_E->D
Escherichia_coli	149	49.8	111	53.1	0.472	12.3	61.4	78.1	5.055e-22	1.795e-20	Escherichia_coli_gyrA_87_D->A
Citrobacter_freundii	36	12.0	30	14.4	0.503	0.9	14.8	21.0	3.013e-05	1.426e-04	Citrobacter_freundii_parE_423_G->R
Granulicatella_adiacens	19	6.4	10	4.8	0.561	7.5	9.1	2.9	0.172	0.339	Granulicatella_adiacens_gyrA_87_S->A
Bacteroides_cellulosilyticus	6	2.0	6	2.9	0.563	0.0	2.3	3.8	0.140	0.300	Bacteroides_cellulosilyticus_parE_37_I->D
Shigella_flexneri	59	19.7	46	22.0	0.578	1.9	22.7	35.2	6.348e-09	3.756e-08	Shigella_flexneri_parC_80_S->R
Enterobacter_hormaechei	9	3.0	8	3.8	0.625	0.9	5.7	2.9	0.156	0.317	Enterobacter_hormaechei_parE_529_I->L
Staphylococcus_aureus	59	19.7	37	17.7	0.645	30.2	13.6	14.3	0.003	0.013	Staphylococcus_aureus_gyrA_85_S->P
Proteus_mirabilis	12	4.0	10	4.8	0.665	0.0	3.4	8.6	0.006	0.022	Proteus_mirabilis_gyrB_447_K->E
Streptococcus_mitis	3	1.0	3	1.4	0.694	0.0	1.1	1.9	0.377	0.491	Streptococcus_mitis_parE_475_E->D
Actinomyces_naeslundii	3	1.0	3	1.4	0.694	0.9	1.1	1.0	0.989	0.989	Actinomyces_naeslundii_gyrA_121_Q->H
Staphylococcus_saprophyticus	42	14.0	32	15.3	0.703	7.5	10.2	23.8	0.001	0.006	Staphylococcus_saprophyticus_gyrA_82_G->C
Phocaeicola_vulgatus	4	1.3	4	1.9	0.722	0.0	1.1	2.9	0.192	0.359	Phocaeicola_vulgatus_parE_39_I->D
Prevotella_melaninogenica	4	1.3	4	1.9	0.722	0.0	2.3	1.9	0.320	0.491	Prevotella_melaninogenica_gyrA_85_G->D
Parabacteroides_distasonis	4	1.3	4	1.9	0.722	0.0	1.1	2.9	0.192	0.359	Parabacteroides_distasonis_parE_46_I->D
Streptococcus_pneumoniae	4	1.3	4	1.9	0.722	0.9	1.1	1.9	0.816	0.836	Streptococcus_pneumoniae_parE_475_E->D
Shigella_sonnei	63	21.1	47	22.5	0.743	0.9	26.1	37.1	3.604e-10	3.199e-09	Shigella_sonnei_parE_460_E->D
Bacteroides_ovatus	5	1.7	5	2.4	0.747	0.0	1.1	3.8	0.087	0.199	Bacteroides_ovatus_parE_37_I->D
Bifidobacterium_adolescentis	6	2.0	5	2.4	0.766	0.9	2.3	2.9	0.598	0.634	Bifidobacterium_adolescentis_gyrA_99_A->S
Bifidobacterium_longum	8	2.7	4	1.9	0.769	1.9	4.5	1.9	0.433	0.512	Bifidobacterium_longum_gyrA_119_D->A
Pseudomonas_aeruginosa	30	10.0	23	11.0	0.769	0.9	5.7	22.9	2.180e-07	1.190e-06	Pseudomonas_aeruginosa_gyrA_87_D->A
Klebsiella_oxytoca	94	31.4	69	33.0	0.772	1.9	33.0	60.0	1.059e-18	1.879e-17	Klebsiella_oxytoca_gyrA_87_D->A
Klebsiella_aerogenes	94	31.4	69	33.0	0.772	1.9	33.0	60.0	1.059e-18	1.879e-17	Klebsiella_aerogenes_gyrA_87_D->A
Bacteroides_fragilis	7	2.3	6	2.9	0.779	0.0	1.1	5.7	0.016	0.048	Bacteroides_fragilis_gyrA_105_Q->H
