gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
aph(3'')-Ib	92	6.661213032608695	17.451995201086955	1.3762810269248473	1.3188829812884711e-08	
aph(6)-Id	92	7.486267652173913	19.72554957608696	1.3858986812836593	2.499790827493515e-08	
aph(3')-Ia	92	6.191011492753622	16.052900286231882	1.3604293241555858	9.46639201981072e-08	
erm(X)	92	12.020326047360244	27.841711989130435	1.2049919083131786	4.299892369488401e-07	
aac(3)-XI	92	1.8860970217391304	5.505309097826087	1.4968578299610642	7.765084153947151e-07	
tet(O/W/O)	92	4.649958673913043	16.359694130434782	1.792950659763647	2.4766331223196484e-06	
tet(W)	92	6.124032041189931	21.238432729818204	1.777532824231371	2.5326887880746557e-06	
tet(O/W)	92	5.258514891304348	18.135580304347826	1.7668509915119304	2.905918852411897e-06	
tet(W/N/W)	92	4.935016032608695	16.591995239130437	1.7290881370171038	3.331610646102965e-06	
pbp2m	92	23.885825684782613	43.83293031521739	0.8731206264993099	5.59516267549992e-06	
tufA	92	1.7973841304347824	4.724261510869565	1.3462963284180351	0.0002133904415441917	
mecI_of_mecA	92	0.25608690217391306	0.059628304347826094	-1.1575128861016966	0.0002461822175086417	
blaTEM	92	0.043782066539185455	0.5248573387725652	2.1196431011277723	0.0002461822175086417	
fosB_gen	92	0.13442552173913044	0.022120228260869564	-0.940827452217876	0.0012063162374292998	
lon	92	0.688145	1.8462576521739131	1.3041697307066253	0.0014302832356022808	
lukD	92	0.4021703804347826	0.0628713695652174	-1.6244439152983035	0.001887179308509098	
splB	92	0.26523341304347825	0.042068358695652175	-1.3622334800437548	0.002976637011170516	
cyaA	92	0.8228801086956522	1.942224206521739	1.1459261171249753	0.0031751641568663422	
ant(9)-Ia	92	2.085678010869565	0.553265804347826	-1.7423388541455607	0.0041140307793227126	
sem	92	0.18431895652173913	0.02185195652173913	-1.222380875708824	0.004439092656792155	
sasG	92	1.9283907608695652	0.3704823913043478	-2.108122974711773	0.004455352355471741	
seo	92	0.16495851086956523	0.013024347826086956	-1.229132876648707	0.005062032126267864	
splA	92	0.2510389782608695	0.05160366304347826	-1.2113266194433128	0.0057715890441035304	
selX	92	0.21152656521739133	0.04570290217391304	-1.0963255794227058	0.006133369443507692	
soxS	92	0.1161015652173913	0.24192804347826086	0.6619832296776789	0.0064246026289671515	
envZ	92	0.497005652173913	1.1715878478260868	1.0908146388236668	0.00679084031771983	
tet(38)	92	0.8574608623188403	0.16813769565217393	-1.83623946362353	0.007013002905356987	
blaZ	92	5.932548880434783	3.0129723260869574	-0.9544749488376689	0.007097738944442819	
fieF	92	0.26599397282608694	0.6822838152173913	1.0958722266890013	0.008146173731078668	
mepA	92	0.6823360489130434	0.14507778804347826	-1.6745487083971422	0.008418773595809824	
hlgB	92	0.47396549999999993	0.11187006521739129	-1.4377842557541778	0.00860742903798411	
ompR	92	0.24898853260869566	0.6155836086956521	1.0359407093088981	0.008962405865199126	
lukE	92	0.41238902173913045	0.09527389130434784	-1.391740495817951	0.009725523541639646	
hlgA	92	0.4237987826086956	0.0868756847826087	-1.4869338407444739	0.009882125340139674	
tetAB_A	92	5.265231782608696	10.895149673913044	1.0351548402304376	0.010695391826949363	
selV	92	0.14692392391304349	0.021996739130434782	-1.017224036499002	0.010862224704815628	
sei	92	0.11533870652173912	0.021348532608695653	-0.8274510001628197	0.011718685599768628	
rpsL	92	0.2981003152173913	0.6443809673913043	0.9029091547453634	0.011947472843969775	
cpxA	92	0.49223869565217393	1.181722195652174	1.113832940329881	0.01237422010582018	
hlgC	92	0.508041347826087	0.11418280434782609	-1.5053267746121366	0.012948886352603273	
tetAB_B	92	4.9763345	10.403987282608695	1.0490780322691977	0.01424976334167987	
fabI	92	0.17702176086956523	0.40313982608695653	0.8609600821831902	0.014772349168537114	
emrD	92	0.3771604221014493	0.9231352264492753	1.1004505475182196	0.015240061183200121	
baeS	92	0.2576878804347826	0.8426611086956521	1.3980379719284555	0.015755486091547432	
ptsI	92	0.43194888043478263	0.8803531521739131	0.8820139328873495	0.016822040672875557	
ompC	92	0.029216413043478263	0.34662267391304347	1.7892671625159984	0.017960477526078766	
nfsA	92	0.0	0.20997391304347826	1.6321468054787485	0.017960477526078766	
sel26	92	0.08582454347826086	0.015484565217391303	-0.6862410187460993	0.017960477526078766	
pbp4	92	0.7061841521739131	0.1453886847826087	-1.71604069738562	0.01980910968997144	
mdrA	92	0.4490619565217391	1.2689740326086956	1.3180542228758756	0.021801738635254905	
oqxB	92	0.7194304882943143	2.075902252208045	1.4089202711968885	0.02276874371892181	
silA	92	0.6643614130434783	1.617021010869565	1.167580839181218	0.02422372469374016	
arnC	92	0.35441904347826086	0.7644233260869564	0.9277147076468631	0.02509350819808047	
phoP	92	0.16891195652173913	0.3960717934782608	0.883415025679675	0.026183648097068732	
clpK	92	0.04687119565217391	0.6190121739130435	2.2914647151895586	0.026231237263180107	
silR	92	0.03745290217391304	0.23702299999999998	1.293909682747969	0.02675655362446764	
uhpA	92	0.2414268695652174	0.5164694347826088	0.8524527661790305	0.02687559167118386	
marR	92	0.0027055217391304346	0.06835602173913044	0.7130015771372095	0.027707849358079864	
arsB_pKW301	92	0.26546902173913045	0.7901569782608696	1.2843106521303858	0.02772031386394524	
blaCTX-M	92	0.012254237986270022	0.4358628412987738	2.2550938650057826	0.027991815485665747	
fusE	92	4.771713565217391	3.405257586956522	-0.4749088459233959	0.02952751009728143	
emrR	92	0.10040916304347826	0.30250107608695653	1.0060441677976952	0.029873144019229032	
erm(33)	92	12.88048641304348	11.437212347826087	-0.1700497676892945	0.030396722854506442	
arsC_gluta	92	0.015111652173913043	0.09990057246376811	0.7962487259667209	0.032854219928643694	
mprF	92	1.3914426086956522	0.46250630434782614	-1.4067672925752366	0.034669963150986444	
pgsA	92	1.6963926739130435	1.0258610652173914	-0.6740739382980454	0.03614722661752343	
erm(B)	92	0.3365498105590062	0.8888004549689442	1.1795331315619229	0.03638546131456511	
cls	92	5.473764347826087	2.270451206521739	-1.2334903114207219	0.036799831501713474	
soxR	92	0.14683138043478258	0.32071241304347825	0.7693085647722314	0.038607051842430073	
blaSHV	92	0.022190312435953742	0.4644113503492301	2.2076170918228297	0.04085984371280629	
lapB	92	0.2352226847826087	0.5573101304347826	0.9714544393247961	0.04088813291185591	
erm(A)	92	1.8711164293478262	0.6982579528985507	-1.3040860693135086	0.042560390069586486	
ileS	92	15.728592826086954	10.909952391304348	-0.5237247740072601	0.04458110137398573	
parE	92	10.879428711956521	7.347431264492753	-0.5599881807421234	0.04556305110880492	
pcoR	92	0.020800869565217393	0.09838894565217392	0.715700800451086	0.04685328478814715	
dfrB	92	0.32462959782608697	0.06794419565217391	-1.3382229992701726	0.049421966979675956	
icaC	92	0.46752739130434795	0.16701916304347825	-1.0877467418594555	0.049468494673688884	
aph(2'')-Ia	92	3.1166465471014497	1.9870049202898548	-0.6241234161041782	0.05004315446809792	
aac(6')-Ie	92	3.1166465471014497	1.9870049202898548	-0.6241234161041782	0.05004315446809792	
silC	92	0.024960978260869564	0.18604072826086956	1.1947429287178464	0.050612432239184685	
baeR	92	0.19999822826086955	0.43185842391304347	0.8260882835257034	0.05340584148798349	
murA	92	9.46207845652174	6.3532924728260864	-0.5672888309451078	0.05653918678659537	
blaR1	92	19.118253264492754	12.958049130434782	-0.5575378417107049	0.06021410524668453	
oqxA	92	0.2572782213438735	0.7058991808300396	1.173551392725614	0.06150392570318533	
silS	92	0.042394532608695655	0.18709635869565214	1.0116412791130203	0.06188375105213765	
gyrB	92	26.190764938405792	20.299952307971015	-0.36599033885467186	0.062378786049472106	
fabG	92	0.15362959782608696	0.35361613043478257	0.8387488293774142	0.06267138786896245	
blaR1-2	92	19.40052402173913	13.180950326086956	-0.5541545096104579	0.063438175807218	
