gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
acrF	86	11.101803953488375	41.846881046511626	1.9048324587676848	1.839327390491251e-06	0.00023577700127351033
pbp2m	86	1.3636811860465115	13.818442093023254	3.2493244876055747	3.3808075204052003e-06	0.00023577700127351033
erm(X)	86	0.9170950886627907	11.151463168189368	3.467586156484051	4.429096437242865e-06	0.00023577700127351033
arsB_pKW301	86	4.59780661627907	19.720891372093025	2.0769626123152123	5.378103296945853e-06	0.00023577700127351033
lpxM	86	1.5704668837209304	6.619262558139535	2.0080515231563725	5.464092320853507e-06	0.00023577700127351033
phoQ	86	3.3257619069767443	11.861257000000002	1.803872217669018	8.358567379064472e-06	0.00023577700127351033
silR	86	2.1374352558139535	8.742415813953489	1.9825946424927186	9.055963616719234e-06	0.00023577700127351033
ybtQ	86	1.437329418604651	7.248022418604651	2.2569296895509723	9.475041790004452e-06	0.00023577700127351033
arsB_pYV	86	3.748490639534883	16.836752488372095	2.1377926304036925	1.1057016127208045e-05	0.00023577700127351033
ybtP	86	1.3068322093023257	6.7318234883720915	2.2798204301590452	1.2380795614564472e-05	0.00023577700127351033
arnC	86	2.958574523255814	9.414539116279071	1.6372743458464605	1.2408840384680682e-05	0.00023577700127351033
ompK36	86	3.3461366976744187	11.586031372093025	1.7617332323334383	1.3613664513326186e-05	0.00023577700127351033
fieF	86	3.9386468313953484	11.106292813953488	1.4723651980214227	1.366533344643436e-05	0.00023577700127351033
emrD	86	4.484100174418605	13.136264461240312	1.5297855460100842	1.4032900423244018e-05	0.00023577700127351033
tufA	86	14.104990174418605	35.17723219767442	1.31233953988273	1.4227506309583341e-05	0.00023577700127351033
kdeA	86	3.5691231744186047	10.205693744186048	1.4899343829075185	1.5862392112724348e-05	0.00023577700127351033
aph(6)-Id	86	1.1396978488372094	6.666203872093024	2.448358111694358	1.6608218182342477e-05	0.00023577700127351033
aph(3'')-Ib	86	1.0773647674418605	6.078965744186047	2.391804014387387	1.7498423954877576e-05	0.00023577700127351033
arsB_R773	86	4.0852743023255815	18.20926719767442	2.1291799654482686	1.7919052096786783e-05	0.00023577700127351033
emrR	86	1.6884833604651164	4.712895500000001	1.428168403149054	2.1423819215552174e-05	0.00026779774019440215
arsR_pKW301	86	0.25790458139534883	2.783023162790698	3.0099355114276927	2.3807341815615703e-05	0.0002834207359001869
soxS	86	1.442634796511628	4.110375872674418	1.448552474094646	2.708626121370498e-05	0.00029555688175376293
soxR	86	1.5380345465116276	4.752604302325581	1.566793438634874	2.7676938341310005e-05	0.00029555688175376293
rseA	86	1.034722023255814	4.08928911627907	1.8843665338039834	3.125045926705092e-05	0.00029555688175376293
mdrA	86	7.390518837209303	19.835433069767443	1.4121973894675528	3.167573569471566e-05	0.00029555688175376293
ftsI	86	7.528071744186047	20.1170348961794	1.4061811040726722	3.1876644663126705e-05	0.00029555688175376293
silA	86	10.801795116279072	37.09696459302326	1.7706191847372879	3.1920143229406396e-05	0.00029555688175376293
uhpA	86	2.2917569302325576	6.68135438372093	1.5035026610687414	3.5296478917583985e-05	0.0002979566801961984
lapB	86	3.1415703837209303	8.801715058139536	1.4573904229164338	3.619079376390725e-05	0.0002979566801961984
arsC_gluta	86	1.247659831395349	5.280070486434108	1.9971686886035045	3.678834025023841e-05	0.0002979566801961984
acrB	86	22.036483691860465	58.38108989534883	1.4015441257126176	3.888241306929857e-05	0.0002979566801961984
rpsL	86	2.9577058837209296	7.299298488372095	1.27493885576495	3.8929634799809994e-05	0.0002979566801961984
