gene	n_subjects	week1_mean	week3_mean	log2_fold_change	pvalue	fdr
emrR	95	3.9025635789473685	10.187446852631577	1.3618887527573882	6.318473549011854e-09	
fieF	95	8.89362502631579	22.010790910526314	1.297775992078476	2.771665342325993e-08	
fabI	95	5.455047442105263	13.683518210526316	1.3110730416400558	4.481652125129001e-08	
silR	95	5.997402673684212	19.351558631578946	1.673619031258562	4.531786042868202e-08	
silA	95	25.70995157894737	77.63166273684209	1.5905749420161905	5.892031884915709e-08	
mdrA	95	15.661760821052631	38.12128610526316	1.2779476101695262	9.534565690402947e-08	
acrF	95	32.00031042105264	81.50522715789472	1.3460743170667333	1.025660633446334e-07	
emrD	95	9.670476694736843	24.71872669824561	1.3449282441285682	1.1388349868002793e-07	
kdeA	95	8.383787484210528	21.37672856842105	1.3399938648345104	1.3118786515944989e-07	
phoP	95	5.323420215789473	13.046981005263158	1.2774566833646004	1.353794095345212e-07	
cyaA	95	23.96526445263158	58.36326484210526	1.2805781206056142	1.5221368658273025e-07	
baeS	95	8.009904901754386	22.801799822105266	1.4977040799240986	1.5412508455430694e-07	
pmrB	95	4.890575445614036	14.483228181403508	1.5470320314197537	1.6358560766746842e-07	
ompR	95	8.2553538	19.56704894736842	1.2350076722630374	1.7031311163150833e-07	
acrR	95	3.5228142736842103	9.483849210526316	1.4034943625307206	2.0341106639000814e-07	
envZ	95	12.929092557894737	31.278181736842107	1.2680251477806193	2.0940668244667192e-07	
uhpA	95	4.487158663157894	12.020488557894735	1.4017751386362824	2.5504404191214086e-07	
ptsI	95	15.17140290526316	34.82344415789474	1.1933632436939459	2.5845825527032773e-07	
arsB_pKW301	95	12.48766752631579	37.207498947368414	1.5674546678989623	2.730729362511577e-07	
arsB_pYV	95	10.98870647368421	33.3368854631579	1.592349390135095	2.732953755456965e-07	
cpxA	95	11.898199642105261	30.645161284210523	1.35754143267473	3.039624719339845e-07	
pmrA	95	4.106126357894737	11.388415731578949	1.4496157656567084	3.725178670584733e-07	
lapB	95	7.4277297578947366	18.213342178947368	1.282608364528704	4.2047843435735997e-07	
fabG	95	5.650756378947369	13.200681221052632	1.209676511334647	4.2831881489698926e-07	
ybtQ	95	3.9721612631578944	12.984180210526315	1.6839569347866947	4.980949993458693e-07	
soxS	95	3.254108921052631	7.596632694736843	1.198297859804018	5.375687370747008e-07	
rpsL	95	6.851260926315789	13.366273263157893	0.9540040411601909	5.604815550551995e-07	
phoQ	95	8.814128736842106	21.978213021052635	1.3084577057178817	5.813357824813428e-07	
soxR	95	2.6494137578947368	8.813552526315789	1.696876503676438	6.313652926845476e-07	
ompK36	95	10.436084642105264	23.73892347368421	1.1779802468430802	6.441982318590499e-07	
ftsI	95	17.11364442681704	39.78734826967419	1.2123786422877132	6.471477598787118e-07	
baeR	95	5.459931905263158	13.509235994736839	1.2914469591443578	8.288265604815604e-07	
oqxA	95	7.782736754066985	20.010354334928227	1.3511700001732287	8.709440141085029e-07	
lpxM	95	5.122313810526316	13.001911315789474	1.3270162310753641	9.495739650587321e-07	
lon	95	21.93433210526316	49.426386631578964	1.1684442010605798	1.0649838340966469e-06	
cirA	95	9.833289368421053	25.435437157894743	1.362157313117308	1.2869841659430458e-06	
arsB_R773	95	11.20993603157895	33.72759578947368	1.5806098753452908	1.337258861436996e-06	
arsC_gluta	95	3.694251614035087	10.04579709122807	1.4189949543023792	1.4223291226483314e-06	
ybtP	95	3.6602656736842105	12.078915789473683	1.6954792038933268	1.4758790864130068e-06	
tufA	95	31.996329136842107	64.91981263157894	1.018471093120409	1.66947037035024e-06	
silF	95	1.8004057578947368	6.00093209473684	1.6827221901425247	1.7525031491288534e-06	
acrB	95	52.517230403508776	113.60182301403509	1.1116481686271542	1.957937185304314e-06	
silS	95	8.623701357894737	26.147660399999996	1.589176545518329	2.0348657814256303e-06	
pcoC	95	1.9165983789473684	6.242039105263158	1.653022984421084	2.319041279557301e-06	
fosA_gen	95	1.7341011684210526	4.89765294736842	1.4461774999381465	2.3272879858407235e-06	
fosA5_fam	95	2.158933852631579	5.677927643508773	1.3549101117257405	2.459895155434852e-06	
pcoS	95	7.807276210526315	22.971078957894736	1.544832749973985	2.6681410229360958e-06	
oqxR	95	3.156539515789474	7.912714789473684	1.2989513923903704	2.8853058646734312e-06	
rseA	95	3.3417452631578946	8.480463484210526	1.3179152568586574	2.945014037380471e-06	
silC	95	6.862629831578947	21.347842315789475	1.6231282881696265	3.2081568132633523e-06	
pcoA	95	9.420379578947369	27.815010736842105	1.5519501107584661	4.212845722172931e-06	
silP	95	11.285241684210524	33.576054210526316	1.5645581920620817	4.380965583189608e-06	
pcoB	95	4.41936754736842	13.516580526315789	1.5911716537961829	4.9247687617705166e-06	
ompK35	95	6.0256756631578945	14.576563105263157	1.2605732760478405	5.098263660210351e-06	
silB	95	7.327607463157895	21.470458663157892	1.5380873752114057	5.399642580843841e-06	
ramR	95	3.0213416842105265	7.7535939578947355	1.331186716984885	5.569421613489575e-06	
pcoR	95	4.011006989473684	11.809641842105261	1.5345662979135313	5.607137484436239e-06	
folP	95	7.268494963157895	15.438810761403511	1.0764342137571972	5.957932878202721e-06	
pcoD	95	7.371678884210526	20.668487115789475	1.4748917688920276	7.501169260206917e-06	
arnC	95	7.5034304947368415	17.432239652631576	1.205287922965767	7.632505245956896e-06	
oqxB	95	20.680354153522266	50.01944225580296	1.2701501181227037	8.108866628259248e-06	
lamB	95	5.0078471473684205	14.790958926315788	1.5436494034247275	8.389784493551585e-06	
ompC	95	6.046385894736841	13.116308736842104	1.1045090409792193	1.3422209580753195e-05	
arsR_pKW301	95	1.1667086842105263	5.739253842105264	2.2046992551001168	1.8387200391896743e-05	
pcoE	95	1.8903108842105265	5.061183694736842	1.3747081837144381	2.9117490862090777e-05	
murA	95	16.366929847368418	29.14903645789474	0.8288175002443121	3.9613015356986545e-05	
LHR_hsp20A	95	1.1967162631578947	5.447172010526316	2.096889626839386	7.208923464378782e-05	
mgrB	95	0.8634748789473685	1.8249746157894737	0.9985204652565224	7.952760493022661e-05	
arsA	95	4.068463322807018	16.38334802105263	1.983421759256906	8.265691474916064e-05	
arsR_R46	95	1.1761679052631577	5.653455157894737	2.172610450047516	8.270118178168738e-05	
