	coefficient	std_err	z_value	p_value	ci_lower	ci_upper
Intercept	3.209795165521454	0.13016038415911466	24.660308021199736	2.8530328678970776e-134	2.9546855003556916	3.4649048306872166
Location[T.ZCH]	-0.42334985031536404	0.1944602498523562	-2.177050840142354	0.02947677437290938	-0.8044849364506426	-0.04221476418008557
BodySite[T.Groin]	-0.5600602442472894	0.1727754404169093	-3.2415500889238484	0.0011888154066325633	-0.8986938848774777	-0.22142660361710115
BodySite[T.Stool]	0.27965346385861317	0.17482945298073346	1.5995786699019845	0.10969208348062287	-0.06300596742046322	0.6223128951376895
Week[T.Week.3]	0.1994140699826509	0.17732894159262355	1.1245432820591879	0.26078261972620587	-0.14814426895549807	0.5469724089207999
Location[T.ZCH]:BodySite[T.Groin]	-0.8403917483338601	0.26515575117347745	-3.1694268165582273	0.0015273991743367417	-1.3600874709275401	-0.3206960257401801
Location[T.ZCH]:BodySite[T.Stool]	-1.100207789129019	0.2577071079491149	-4.269217864748452	1.9615959838440494e-05	-1.60530443926926	-0.5951111389887779
Location[T.ZCH]:Week[T.Week.3]	0.3976185552619637	0.2674907168314186	1.4864760914770583	0.13715323623551254	-0.12665361592641883	0.9218907264503462
BodySite[T.Groin]:Week[T.Week.3]	0.3813736531287813	0.24807565590166486	1.5373280048081568	0.12421300690576259	-0.10484569787963316	0.8675930041371958
BodySite[T.Stool]:Week[T.Week.3]	0.059513883819020306	0.2544621637605359	0.23388107268877284	0.8150773075478402	-0.4392227925797634	0.558250560217804
Location[T.ZCH]:BodySite[T.Groin]:Week[T.Week.3]	0.6415464552814021	0.3839228104313861	1.6710297951834199	0.0947157927917634	-0.11092842600751329	1.3940213365703173
Location[T.ZCH]:BodySite[T.Stool]:Week[T.Week.3]	1.0144241088966541	0.37513637165835334	2.704147572820577	0.006847986892776623	0.27917033115524936	1.749677886638059
Group Var	0.14013296470511052	0.04798716460591833	2.920217642694974	0.0034978700783753563	0.04607985035731539	0.23418607905290567
