gene_name	n_samples	mean_rpm	median_rpm	max_rpm	prevalence
BcII	6	2.32614475	2.73161	3.71307	0.01020408163265306
LHR_hdeD	63	7.687521650793651	4.44941	41.842	0.10714285714285714
LHR_hsp20A	124	8.493884024193548	5.734795	79.1343	0.2108843537414966
LHR_hsp20B	61	6.688441016393443	3.99947	42.8133	0.10374149659863946
LHR_kefB	59	21.901101576271188	15.552	123.635	0.10034013605442177
LHR_psiE	62	7.68991014516129	5.193275	43.6057	0.1054421768707483
LHR_trx	66	5.492767181818182	2.85616	41.2158	0.11224489795918367
LHR_yfdX1	61	10.944828295081969	6.63731	68.3863	0.10374149659863946
LHR_yfdX2	63	9.910995587301587	6.48001	57.4976	0.10714285714285714
MerP_Gneg	60	4.920361087591241	3.10215	29.4869	0.10204081632653061
SMR_efflux_bcrB	1	0.617948	0.617948	0.617948	0.0017006802721088435
SMR_efflux_bcrC	1	0.42484	0.42484	0.42484	0.0017006802721088435
SMR_efflux_emrE	30	7.923551066666667	4.38148	39.4849	0.05102040816326531
aac(3)-IIa	11	19.53613881818182	18.7689	50.8356	0.01870748299319728
aac(3)-IIc	11	19.44595009090909	18.7689	50.772	0.01870748299319728
aac(3)-IId	11	19.560975181818183	18.8164	50.8832	0.01870748299319728
aac(3)-IIe	11	19.32040115909091	18.7689	50.7561	0.01870748299319728
aac(3)-XI	152	5.918080492105264	2.941375	32.0923	0.2585034013605442
aac(6')-II	1	1.73009	1.73009	1.73009	0.0017006802721088435
aac(6')-IIa	4	24.828650749999998	1.7530329999999998	95.3317	0.006802721088435374
aac(6')-Ib'	3	7.458486333333333	2.84208	18.5796	0.00510204081632653
aac(6')-Ib-AGKT	3	6.665119999999999	2.53648	16.5553	0.00510204081632653
aac(6')-Ib-AKT	5	7.053218333333334	2.71984	24.6211	0.008503401360544218
aac(6')-Ib-D181Y	3	9.243023333333333	3.2088	23.3657	0.00510204081632653
aac(6')-Ib-G	3	6.804535764705882	2.81152	21.9534	0.00510204081632653
aac(6')-Ib-K	3	7.055653333333333	2.38368	17.7793	0.00510204081632653
aac(6')-Ib-W104R	1	11.0003	11.0003	11.0003	0.0017006802721088435
aac(6')-Ib-cr	5	6.985564466666667	2.73512	24.574	0.008503401360544218
aac(6')-Ib11	3	7.138967000000001	2.65872	17.9048	0.00510204081632653
aac(6')-Ie	215	11.221155471874999	3.90152	210.195	0.3656462585034014
aac(6')-Ie2	8	5.316971000000001	5.438575	10.8292	0.013605442176870748
aac(6')-Im	1	30.89506666666667	31.2046	31.3623	0.0017006802721088435
aac(6')-set_A	4	30.056375600000003	2.82803	85.7505	0.006802721088435374
aac(6')_Entco	41	6.469206341463415	1.51055	41.9814	0.06972789115646258
aac(6')_Serra	14	7.369048837765957	3.8821149999999998	34.8525	0.023809523809523808
aacA-ENT1	41	6.46994768699187	1.51055	41.9814	0.06972789115646258
aad9	2	0.5006865	0.5006865	0.638734	0.003401360544217687
aadA1	50	11.990771925714284	3.24247	89.8409	0.08503401360544217
aadA10	6	10.441659464285715	3.11712	31.4629	0.01020408163265306
aadA11	7	9.878195142857143	1.65656	34.1053	0.011904761904761904
aadA12	2	6.5405	6.5405	11.4416	0.003401360544217687
